osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,maxspeed,junction
"[23398011, 23398012, 23398013]",CA-300,Avenida de Menéndez Pelayo,tertiary,False,False,182.66,yes,"LINESTRING (-3.9046456 43.4385596, -3.9049592 43.4393159, -3.9050818 43.4395939, -3.9051047 43.4396459, -3.9051504 43.4397882, -3.9051635 43.4399201, -3.9051451 43.4401477)",,
310773206,,Calle de la Respuela,residential,False,True,93.832,,"LINESTRING (-3.9046456 43.4385596, -3.9047134 43.4385608, -3.9048039 43.4385619, -3.9048929 43.4385937, -3.9049472 43.4386375, -3.904982 43.4387032, -3.9052177 43.4392022)",,
23398012,CA-300,Avenida de Menéndez Pelayo,tertiary,False,False,4.902,,"LINESTRING (-3.9051403 43.4402076, -3.9051323 43.4402513)",,
23398012,CA-300,Avenida de Menéndez Pelayo,tertiary,False,True,6.672,,"LINESTRING (-3.9051403 43.4402076, -3.9051451 43.4401477)",,
65685764,,Calle de la Calzada,residential,False,False,225.89000000000001,,"LINESTRING (-3.9051403 43.4402076, -3.9052364 43.4402068, -3.905291 43.4401848, -3.9053229 43.4401198, -3.9053396 43.4400305, -3.9053456 43.4399247, -3.9053957 43.4398256, -3.9055368 43.4396449, -3.9055945 43.4395369, -3.905634 43.4395028, -3.9056901 43.4394972, -3.9057629 43.439505, -3.9062197 43.4395512, -3.9064958 43.4395854, -3.9072394 43.4396584)",,
23398012,CA-300,Avenida de Menéndez Pelayo,tertiary,False,False,104.78399999999999,,"LINESTRING (-3.9048464 43.4418814, -3.9047909 43.4423823, -3.9047778 43.4426361, -3.9047722 43.4428219)",,
23398012,CA-300,Avenida de Menéndez Pelayo,tertiary,False,True,79.566,,"LINESTRING (-3.9048464 43.4418814, -3.9049445 43.4412045, -3.9049519 43.44117)",,
34779382,,,residential,False,False,26.344,,"LINESTRING (-3.9048464 43.4418814, -3.9047495 43.4419206, -3.9045551 43.4419879)",,
23398012,CA-300,Avenida de Menéndez Pelayo,tertiary,False,False,149.24699999999999,,"LINESTRING (-3.9047722 43.4428219, -3.9047733 43.4431232, -3.90475 43.4433685, -3.9047074 43.4435567, -3.9046793 43.4436589, -3.9046795 43.443849, -3.9047297 43.4440264, -3.9048093 43.4441416)",,
23398012,CA-300,Avenida de Menéndez Pelayo,tertiary,False,True,104.78399999999999,,"LINESTRING (-3.9047722 43.4428219, -3.9047778 43.4426361, -3.9047909 43.4423823, -3.9048464 43.4418814)",,
23400218,CA-301,Avenida de José María de Pereda,tertiary,False,False,142.5,,"LINESTRING (-3.9047722 43.4428219, -3.9045057 43.4428082, -3.9034559 43.4427407, -3.9030136 43.4427128)",,
106082147,,Avenida de Mompia,residential,False,True,56.894000000000005,,"LINESTRING (-3.9047722 43.4428219, -3.9050646 43.4428693, -3.9054609 43.4429303)",,
