osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,junction,tunnel,bridge
412660595,True,1,Calle de Ramiro «El Monje»,residential,False,8.85,,"LINESTRING (-0.3638364 42.5193021, -0.3638178 42.5192237)",,,,
26206257,False,2,Calle del General Villacampa,residential,False,100.98700000000001,30,"LINESTRING (-0.3638364 42.5193021, -0.3637859 42.5193469, -0.3637506 42.5193779, -0.3632773 42.519858, -0.3631085 42.5200346)",,,,
26206600,True,,Calle del Serrablo,secondary,False,24.697,,"LINESTRING (-0.3638994 42.5182457, -0.3636541 42.5183747)",N-330a,,,
756935384,True,,Plaza de España,secondary,False,16.829,20,"LINESTRING (-0.3638994 42.5182457, -0.3638969 42.5182768, -0.3639063 42.5183066, -0.3639263 42.518333, -0.3639549 42.518354, -0.36399 42.5183684)",N-330a,roundabout,,
26206587,True,,Plaza de España,secondary,False,11.394,20,"LINESTRING (-0.36399 42.5183684, -0.3640332 42.5183755, -0.3640772 42.5183728, -0.3641237 42.5183581)",N-330a,roundabout,,
756935383,True,,Plaza de España,secondary,False,8.190999999999999,20,"LINESTRING (-0.3639506 42.5181837, -0.3639175 42.5182117, -0.3638994 42.5182457)",N-330a,roundabout,,
207640856,False,2,Calle del Serrablo,secondary,False,17.291,,"LINESTRING (-0.3636541 42.5183747, -0.363446 42.5184003)",N-330a,,,
207640857,True,,Calle del Serrablo,secondary,False,27.538,,"LINESTRING (-0.3636541 42.5183747, -0.3639482 42.5183692, -0.36399 42.5183684)",N-330a,,,
207640856,False,2,Calle del Serrablo,secondary,True,17.291,,"LINESTRING (-0.363446 42.5184003, -0.3636541 42.5183747)",N-330a,,,
207640856,False,2,Calle del Serrablo,secondary,False,39.629000000000005,,"LINESTRING (-0.363446 42.5184003, -0.3632889 42.5184435, -0.3631799 42.5184898, -0.3631519 42.5185017, -0.3630416 42.5185848)",N-330a,,,
162370893,True,,Calle del Serrablo,residential,False,20.142,,"LINESTRING (-0.3630416 42.5185848, -0.3629669 42.5185649, -0.36281 42.5185242)",,,,
207640856,False,2,Calle del Serrablo,secondary,True,39.629000000000005,,"LINESTRING (-0.3630416 42.5185848, -0.3631519 42.5185017, -0.3631799 42.5184898, -0.3632889 42.5184435, -0.363446 42.5184003)",N-330a,,,
