osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,junction,maxspeed,access,lanes,width
54044421,GC-41,Calle Deán Pedro Jiménez,primary,False,False,128.207,"LINESTRING (-15.421727 28.0012565, -15.4215255 28.0013948, -15.4212824 28.001497, -15.4207885 28.0016467, -15.4206104 28.0017391, -15.4205737 28.0017724)",,,,,,
"[440362216, 440362217, 146369278]",,Calle Deán Pedro Jiménez,unclassified,True,False,188.827,"LINESTRING (-15.421727 28.0012565, -15.421125 28.0014653, -15.4208757 28.0014873, -15.4206299 28.0013911, -15.4204838 28.001319, -15.4204357 28.0012891, -15.4204108 28.0012058, -15.4204037 28.0010721, -15.4203734 28.000973, -15.4203004 28.0009086, -15.4202682 28.0008919, -15.4202459 28.000882)",yes,,,,,
30538138,GC-10,Lugar Rotonda de Daora,primary,True,False,8.266,"LINESTRING (-15.4142649 27.9990121, -15.414249 27.9989391)",,roundabout,,,,
30538138,GC-10,Lugar Rotonda de Daora,primary,True,False,32.748000000000005,"LINESTRING (-15.4141875 27.998852, -15.4141214 27.9988078, -15.4140434 27.998783, -15.4139606 27.9987798, -15.4138787 27.9987994)",,roundabout,,,,
179551809,GC-102,Calle Poeta Pablo Neruda,tertiary,True,False,75.885,"LINESTRING (-15.4141875 27.998852, -15.414053 27.9984643, -15.414029 27.998395, -15.4139247 27.9982124)",,,40,yes,,
30538138,GC-10,Lugar Rotonda de Daora,primary,True,False,30.182000000000002,"LINESTRING (-15.4137225 27.9989676, -15.4137163 27.9990352, -15.4137315 27.9991018, -15.413767 27.9991619, -15.41382 27.9992111)",,roundabout,,,,
41914386,GC-10,Avenida Cabildo Insular,primary,True,False,148.767,"LINESTRING (-15.4137225 27.9989676, -15.4136214 27.9990309, -15.4135286 27.9990826, -15.4133665 27.9990932, -15.4122498 27.999157)",,,90,yes,2,
30538138,GC-10,Lugar Rotonda de Daora,primary,True,False,29.032,"LINESTRING (-15.4141286 27.9992305, -15.4141869 27.9991903, -15.414231 27.9991379, -15.4142576 27.999077, -15.4142649 27.9990121)",,roundabout,,,,
41914411,GC-10,Avenida Cabildo Insular,primary,True,False,39.143,"LINESTRING (-15.4141286 27.9992305, -15.4141918 27.9992483, -15.4143289 27.9992427, -15.4145238 27.9992348)",,,40,,2,
179551810,GC-102,Calle Poeta Pablo Neruda,tertiary,False,False,7.411,"LINESTRING (-15.4139247 27.9982124, -15.4138988 27.9981498)",,,40,yes,,
30538188,GC-102,Calle Poeta Pablo Neruda,tertiary,True,False,69.949,"LINESTRING (-15.4139247 27.9982124, -15.4139831 27.9984085, -15.4140118 27.9985976, -15.413945 27.9987284, -15.4138787 27.9987994)",,,40,yes,,
54044410,GC-102,Callejón del Castillo,tertiary,False,False,41.423,"LINESTRING (-15.412764 27.9970387, -15.4126167 27.99711, -15.412394 27.9972177)",,,,,,
54044410,GC-102,Callejón del Castillo,tertiary,False,True,57.065000000000005,"LINESTRING (-15.412764 27.9970387, -15.412939 27.9969937, -15.4132196 27.9969336, -15.4133297 27.9969294)",,,,,,
126855629,,Calle Los Gofiones,residential,True,False,93.363,"LINESTRING (-15.412764 27.9970387, -15.4128081 27.9971365, -15.4130793 27.9977566, -15.4131093 27.997821)",,,40,yes,,
