osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,junction,lanes,access,tunnel
28968697,True,Rambla Josep Maria Jujol,tertiary,30,False,71.519,"LINESTRING (2.0544222 41.3644462, 2.0545478 41.3643423, 2.0548454 41.3640962, 2.0549981 41.3639699)",,,,,
28984722,True,Rambla de Josep Maria Jujol,tertiary,30,False,17.331,"LINESTRING (2.0544222 41.3644462, 2.0544973 41.3644917, 2.0545439 41.36452, 2.0545635 41.3645555)",,,,,
862759058,True,,tertiary,50,False,12.653,"LINESTRING (2.0520239 41.3692555, 2.0520143 41.3692183, 2.0520187 41.3691805, 2.0520366 41.369145)",BV-2001,roundabout,,,
28991701,False,Carrer Major,tertiary,30,True,115.547,"LINESTRING (2.0523587 41.3691436, 2.0525097 41.3690358, 2.0526375 41.3689497, 2.0527227 41.3688883, 2.0532349 41.3685157, 2.0533599 41.3684259)",BV-2001,,2,,
540228156,True,,tertiary,50,False,22.784999999999997,"LINESTRING (2.0523587 41.3691436, 2.052378 41.369182, 2.0523815 41.3692228, 2.0523689 41.3692627, 2.0523412 41.369298, 2.0523009 41.3693257)",BV-2001,roundabout,,,
28984914,False,Carrer de la Creu d'en Muntaner,residential,,False,128.05100000000002,"LINESTRING (2.0523009 41.3693257, 2.0523734 41.3694153, 2.0532932 41.3700326, 2.0534131 41.3701131)",,,3,,
550732990,True,,tertiary,50,False,11.623000000000001,"LINESTRING (2.0523009 41.3693257, 2.0522368 41.3693462, 2.0521672 41.3693473)",BV-2001,roundabout,,,
123326434,True,Carretera de Sant Feliu de Llobregat,tertiary,50,False,14.717,"LINESTRING (2.0521672 41.3693473, 2.0520864 41.3693541, 2.0519946 41.3693726)",BV-2001,,,,
550736244,True,,tertiary,50,False,16.308,"LINESTRING (2.0521672 41.3693473, 2.0520787 41.3693162, 2.0520239 41.3692555)",BV-2001,roundabout,,,
28984914,False,Carrer de la Creu d'en Muntaner,residential,,True,128.051,"LINESTRING (2.0534131 41.3701131, 2.0532932 41.3700326, 2.0523734 41.3694153, 2.0523009 41.3693257)",,,3,,
540228155,True,,residential,,False,10.97,"LINESTRING (2.0534131 41.3701131, 2.053452 41.3700978, 2.0534957 41.370096, 2.0535366 41.3701077)",,roundabout,,,
28984920,False,Carrer de la Creu d'en Muntaner,residential,30,False,173.505,"LINESTRING (2.053575 41.3702049, 2.0536914 41.3702734, 2.0552108 41.3711681)",,,2,,
394729031,True,,residential,,False,15.237,"LINESTRING (2.053575 41.3702049, 2.0535478 41.3702324, 2.0535076 41.3702486, 2.053462 41.3702503, 2.0534198 41.3702372)",,roundabout,,,
47906226,False,Carrer Baltasar d'Espanya,residential,,True,65.816,"LINESTRING (2.0539583 41.3644791, 2.0538513 41.3644138, 2.053534 41.3642201, 2.0533465 41.3641056)",,,,,
910043206,True,Rambla de Josep Maria Jujol,tertiary,30,False,39.015,"LINESTRING (2.0539583 41.3644791, 2.0540371 41.3644628, 2.0542848 41.3644502, 2.0544222 41.3644462)",,,2,,
28984722,True,Rambla de Josep Maria Jujol,tertiary,30,False,37.409,"LINESTRING (2.0545787 41.3649035, 2.0541453 41.3649894)",,,,,
884682674,False,Carrer Baltasar d'Espanya,residential,,True,56.471000000000004,"LINESTRING (2.0545787 41.3649035, 2.054686 41.3649694, 2.054937 41.3651235, 2.0551024 41.3652251)",,,,,
914783115,True,Rambla de Josep Maria Jujol,tertiary_link,30,False,12.729000000000001,"LINESTRING (2.0515278 41.3673638, 2.0515622 41.3673357, 2.0516061 41.3673165, 2.0516557 41.367308)",,circular,2,,
28968696,True,Rambla de Josep Maria Jujol,tertiary,30,False,152.701,"LINESTRING (2.0516557 41.367308, 2.051697 41.3672625, 2.0517362 41.3672099, 2.0517654 41.3671793, 2.0525893 41.3663136, 2.0527105 41.3661863)",,,,,
"[708594033, 1109182449]",True,Rambla de Josep Maria Jujol,tertiary_link,30,False,16.017,"LINESTRING (2.0516557 41.367308, 2.0516884 41.3673085, 2.0517205 41.3673138, 2.0517458 41.3673178, 2.0517572 41.3673196, 2.0517867 41.3673438, 2.0518145 41.3673705)",,circular,2,,
28984775,False,Riera d'en Nofre,tertiary,30,False,74.633,"LINESTRING (2.0517914 41.3675219, 2.0518993 41.3675811, 2.0523502 41.3678284, 2.0525134 41.367918)",,,,,
540228152,True,Rambla de Josep Maria Jujol,tertiary_link,30,False,41.883999999999986,"LINESTRING (2.0517914 41.3675219, 2.0517491 41.3675463, 2.0516989 41.3675596, 2.0516457 41.3675606, 2.0515947 41.367549, 2.0515707 41.3675365, 2.0515509 41.3675262, 2.051543 41.3675187, 2.0515219 41.3674984, 2.0515042 41.3674656, 2.0514992 41.3674305, 2.0515073 41.3673956, 2.0515278 41.3673638)",,circular,2,,
708594033,True,Rambla de Josep Maria Jujol,tertiary_link,30,False,18.094,"LINESTRING (2.0518145 41.3673705, 2.051834 41.3674085, 2.0518366 41.3674491, 2.0518218 41.3674883, 2.0517914 41.3675219)",,circular,2,,
28984722,True,Rambla de Josep Maria Jujol,tertiary,30,False,18.58,"LINESTRING (2.0541453 41.3649894, 2.0540839 41.3649564, 2.0540379 41.364926, 2.0539734 41.3648835)",,,,,
28984748,True,Rambla de Josep Maria Jujol,tertiary,30,False,86.66399999999999,"LINESTRING (2.0541453 41.3649894, 2.0540348 41.3651017, 2.0536487 41.3654937, 2.0535281 41.3656162)",,,,,
28984722,True,Rambla de Josep Maria Jujol,tertiary,30,False,38.753,"LINESTRING (2.0545635 41.3645555, 2.0545837 41.3648329, 2.0545787 41.3649035)",,,,,
28984748,True,Rambla de Josep Maria Jujol,tertiary,30,False,80.29700000000001,"LINESTRING (2.052379 41.3667863, 2.0519279 41.3672647, 2.0518733 41.3673226, 2.0518145 41.3673705)",,,,,
28984773,True,Carrer de Frederic Cases,residential,,False,96.238,"LINESTRING (2.0541939 41.3676437, 2.0541298 41.367612, 2.0540935 41.367594, 2.0540089 41.3675522, 2.0533013 41.367202, 2.0532311 41.3671673)",,,1,,
