osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,junction,bridge
4798122,True,1,N-625,Carretera Les Arriondes - Riaño,trunk,False,82.66099999999999,"LINESTRING (-5.1791393 43.388214, -5.1792052 43.3883162, -5.1793179 43.3885136, -5.1793318 43.3885385, -5.1794042 43.3886585, -5.1795441 43.3887993, -5.1796122 43.3888687)",,,
4798116,True,1,,,trunk_link,False,268.85699999999997,"LINESTRING (-5.1804989 43.3908, -5.1807207 43.3904805, -5.1810816 43.389848, -5.1812624 43.3896607, -5.1814606 43.3895077, -5.1816712 43.3893692, -5.1818848 43.3892495, -5.1823409 43.3890227, -5.1824974 43.388955)",70,,
400412134,False,,N-634,Carretera Irún - La Coruña,trunk,True,204.911,"LINESTRING (-5.1804989 43.3908, -5.1809735 43.3898202, -5.1810751 43.3895488, -5.1811556 43.3892648, -5.1811847 43.3890329)",,,
4798398,False,,,,tertiary,False,43.564,"LINESTRING (-5.1826116 43.3887125, -5.182924 43.3890318)",50,,
"[844863961, 844863962, 4798124]",False,2,,,trunk_link,False,122.09400000000002,"LINESTRING (-5.1826116 43.3887125, -5.1824612 43.3885926, -5.182296 43.3884885, -5.1820336 43.3883728, -5.1818391 43.3883278, -5.1817478 43.3883167, -5.1816427 43.3883097, -5.1815479 43.3883105, -5.1814388 43.3883164, -5.181285 43.388334)",,,
4798125,True,2,,,trunk,False,13.587,"LINESTRING (-5.1799198 43.3887732, -5.1798707 43.3887536, -5.1798159 43.3887451, -5.17976 43.3887484)",,roundabout,
4798121,True,1,N-625,Carretera Les Arriondes - Riaño,trunk,False,79.056,"LINESTRING (-5.17976 43.3887484, -5.1796113 43.3886893, -5.1795242 43.3886178, -5.1794279 43.3885102, -5.1792432 43.3882989, -5.1791393 43.388214)",,,
4798125,True,2,,,trunk,False,19.04,"LINESTRING (-5.17976 43.3887484, -5.1797053 43.3887643, -5.1796598 43.3887915, -5.1796278 43.3888275, -5.1796122 43.3888687)",,roundabout,
4798125,True,2,,,trunk,False,15.084,"LINESTRING (-5.1796122 43.3888687, -5.1796168 43.3889107, -5.1796259 43.3889371, -5.1796457 43.388963, -5.1796783 43.388991)",,roundabout,
4798117,True,,,,trunk_link,False,245.364,"LINESTRING (-5.1796783 43.388991, -5.1797705 43.3892882, -5.1798339 43.3894005, -5.1799101 43.3894774, -5.1800491 43.3895596, -5.1806391 43.3897938, -5.180763 43.389916, -5.1807912 43.3900275, -5.1807219 43.3901885, -5.1806205 43.3904157, -5.1804989 43.3908)",,,
4798125,True,2,,,trunk,False,22.591,"LINESTRING (-5.1796783 43.388991, -5.1797257 43.3890127, -5.1797795 43.3890235, -5.1798354 43.3890227, -5.1798886 43.3890102, -5.1799346 43.3889871)",,roundabout,
4798125,True,2,,,trunk,False,11.036,"LINESTRING (-5.1799346 43.3889871, -5.1799641 43.3889619, -5.1799845 43.3889323, -5.1799948 43.3889001)",,roundabout,
4798123,True,1,,,trunk_link,False,40.453,"LINESTRING (-5.1799948 43.3889001, -5.1800533 43.3888602, -5.1802342 43.3887453, -5.1803668 43.3886567)",,,
