osmid,oneway,ref,highway,maxspeed,reversed,length,geometry,lanes,name,access,bridge,junction,width,tunnel
246514897,True,C-462z,tertiary,50,False,32.855000000000004,"LINESTRING (1.5216777 41.9983929, 1.5216082 41.9983793, 1.5214503 41.9983293, 1.5212983 41.9983105)",,,,,,,
49715812,True,C-462z,tertiary,50,False,38.814,"LINESTRING (1.5212983 41.9983105, 1.5211516 41.9983395, 1.521063 41.9983714, 1.5209635 41.9984271, 1.5208772 41.9984564)",,,,,,,
1178368325,True,C-462z,tertiary,50,False,21.554,"LINESTRING (1.5212983 41.9983105, 1.5212239 41.9982786, 1.5211752 41.9982521, 1.521146 41.9982256, 1.5210987 41.9981888)",,,,,,,
49715813,True,C-462z,tertiary,50,False,15.911999999999999,"LINESTRING (1.5213566 41.9982158, 1.521392 41.9982364, 1.5214608 41.9982833, 1.5215071 41.9983043)",,,,,,,
79421488,False,LV-3005b,secondary,50,False,47.305,"LINESTRING (1.5129815 41.9922094, 1.5132912 41.9924894, 1.513346 41.9925374)",2,Carretera de Torà,,,,,
79421488,False,LV-3005b,secondary,50,True,35.147999999999996,"LINESTRING (1.5129815 41.9922094, 1.5128184 41.9920677, 1.5126986 41.9919735)",2,Carretera de Torà,,,,,
169544100,True,,residential,,False,66.67,"LINESTRING (1.5129815 41.9922094, 1.51303 41.9921794, 1.5136175 41.9918406)",,Carrer de Pau Alinyà,,,,,
613872316,False,C-26,primary,50,False,22.379,"LINESTRING (1.517413 41.996419, 1.5175524 41.9964138, 1.5176829 41.9964035)",2,Carretera de Bassella,yes,,,,
613872316,False,C-26,primary,50,True,24.816000000000003,"LINESTRING (1.517413 41.996419, 1.5172259 41.9964251, 1.517113 41.9964288)",2,Carretera de Bassella,yes,,,,
"[79421498, 973215295]",False,,residential,50,False,31.591,"LINESTRING (1.517413 41.996419, 1.5173549 41.9963503, 1.5172095 41.9961785)",,Carrer de Vall Fred,,,,,
244769571,True,,residential,50,False,38.816,"LINESTRING (1.5153028 41.9944229, 1.5152062 41.994413, 1.5151197 41.9944047, 1.5148371 41.9943775)",,Passeig de Sant Antoni Maria Claret,,,,,
"[244769570, 758745052]",False,,residential,50,True,11.442,"LINESTRING (1.5153028 41.9944229, 1.5152829 41.9943651, 1.5152746 41.9943223)",,passeig de Sant Antoni M. Claret,,,,,
973215296,False,,residential,50,True,22.863999999999997,"LINESTRING (1.5153028 41.9944229, 1.5153644 41.9944319, 1.5155053 41.9945515)",2,Carrer de Vall Fred,,,,,
528662083,False,,residential,50,True,35.412,"LINESTRING (1.5197489 41.9980534, 1.5200111 41.9983053)",,Carrer del Pallars,yes,,,,
