osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,access,ref,tunnel,bridge
316026854,2,tertiary,50,roundabout,True,False,7.025,"LINESTRING (2.2488881 41.9280697, 2.248943 41.9280215)",,,,,
28942518,2,tertiary,50,roundabout,True,False,14.280000000000001,"LINESTRING (2.2491497 41.9282227, 2.2490786 41.9282486, 2.2489853 41.9282446)",,,,,
28943072,2,tertiary,50,,True,False,87.114,"LINESTRING (2.2491497 41.9282227, 2.2491275 41.9283622, 2.2491396 41.9290051)",Carrer de Mossèn Josep Gudiol,,,,
316026865,2,tertiary,50,roundabout,True,False,23.54,"LINESTRING (2.2489853 41.9282446, 2.2489135 41.9282086, 2.2488734 41.9281458, 2.2488749 41.9280981, 2.2488881 41.9280697)",,,,,
316026859,2,tertiary,50,roundabout,True,False,14.354,"LINESTRING (2.248943 41.9280215, 2.2489966 41.9280027, 2.2490599 41.9279977, 2.249109 41.9280068)",,,,,
316026863,2,tertiary,50,roundabout,True,False,23.224,"LINESTRING (2.249109 41.9280068, 2.2491484 41.9280265, 2.2491985 41.9280763, 2.2492111 41.9281342, 2.2491914 41.9281848)",,,,,
316026855,2,tertiary,50,roundabout,True,False,5.446,"LINESTRING (2.2491914 41.9281848, 2.2491497 41.9282227)",,,,,
28942933,2,residential,50,,False,False,72.886,"LINESTRING (2.2491914 41.9281848, 2.2493157 41.928188, 2.2494285 41.9281974, 2.2500697 41.9282348)",Carrer del Doctor Junyent,,,,
28942933,2,residential,50,,False,False,13.636,"LINESTRING (2.2500697 41.9282348, 2.2502343 41.9282413)",Carrer del Doctor Junyent,,,,
28942933,2,residential,50,,False,True,72.886,"LINESTRING (2.2500697 41.9282348, 2.2494285 41.9281974, 2.2493157 41.928188, 2.2491914 41.9281848)",Carrer del Doctor Junyent,,,,
316018782,,residential,30,roundabout,True,False,28.785,"LINESTRING (2.2491341 41.931075, 2.2491262 41.9308162)",Plaça de l'Estació,,,,
28943071,,residential,30,roundabout,True,False,20.003999999999998,"LINESTRING (2.2493006 41.9311991, 2.249203 41.9311548, 2.2491341 41.931075)",Plaça de l'Estació,,,,
"[33083918, 778006038]",2,residential,30,,True,False,55.408,"LINESTRING (2.2493006 41.9311991, 2.2492356 41.9312362, 2.2491964 41.9312783, 2.2491831 41.9313214, 2.2491838 41.9313358, 2.2491818 41.9316633)",Carrer del Pare Gallissà,,,,
316018781,,residential,30,roundabout,True,False,51.776,"LINESTRING (2.2496472 41.9308967, 2.2496474 41.9310047, 2.2495907 41.9311058, 2.2494729 41.9311854, 2.249349 41.9312017, 2.2493006 41.9311991)",Plaça de l'Estació,,,,
704138268,,residential,30,,False,True,98.633,"LINESTRING (2.2496472 41.9308967, 2.2497302 41.9308854, 2.2506399 41.9307618, 2.2508201 41.9307373)",Carrer de Jacint Verdaguer,,,,
316018784,,residential,30,roundabout,True,False,42.477999999999994,"LINESTRING (2.2492865 41.9306992, 2.2493457 41.9306901, 2.2494861 41.9307133, 2.2495997 41.9307787, 2.2496472 41.9308967)",Plaça de l'Estació,,,,
"[839021465, 33083763, 837206190]",2,"['residential', 'tertiary']","['30', '50']",,True,False,286.673,"LINESTRING (2.2491262 41.9308162, 2.2490569 41.9305938, 2.2490565 41.9305789, 2.2490558 41.9305563, 2.2490537 41.9305079, 2.2490242 41.9295205, 2.2489891 41.9283707, 2.2489853 41.9282446)",Carrer de Mossèn Josep Gudiol,,,,
316018783,,residential,50,roundabout,True,False,18.772999999999996,"LINESTRING (2.2491262 41.9308162, 2.2491975 41.9307501, 2.2492366 41.9307216, 2.2492865 41.9306992)",Plaça de l'Estació,,,,
28943073,,residential,30,,False,False,190.06,"LINESTRING (2.2530795 41.9304276, 2.2528942 41.9304514, 2.2525933 41.9304901, 2.2520554 41.9305616, 2.2517942 41.9305963, 2.2510202 41.9307083, 2.2508201 41.9307373)",Carrer de Jacint Verdaguer,,,,
309658313,1,residential,20,,True,False,42.634,"LINESTRING (2.2530795 41.9304276, 2.253016 41.9302448, 2.2529386 41.9300589)",Rambla de l'Hospital,,,,
"[316018778, 200897157]",,"['residential', 'living_street']",20,,False,False,65.354,"LINESTRING (2.2530795 41.9304276, 2.2531668 41.9304076, 2.2538381 41.9302635)",Carrer de Jacint Verdaguer,destination,,,
527659599,3,residential,30,,True,False,36.775,"LINESTRING (2.2539358 41.9273259, 2.2541372 41.9272767, 2.2543332 41.9271836)",Rambla de Sant Domènec,,,,
42505752,3,residential,30,,True,False,13.686,"LINESTRING (2.25436 41.9271769, 2.2545241 41.9271613)",Rambla del Bisbat,,,,
41603347,2,residential,50,,False,False,149.264,"LINESTRING (2.25436 41.9271769, 2.2543137 41.9270592, 2.2539932 41.925928, 2.2539784 41.9258653)",Passeig de la Generalitat,,B-521,,
"[619961825, 28943074]",2,residential,50,,True,False,96.72300000000001,"LINESTRING (2.2535232 41.9312162, 2.2534316 41.9311668, 2.2534018 41.9311264, 2.2533308 41.9310093, 2.2532737 41.9308852, 2.2531949 41.9307141, 2.253126 41.930551, 2.2530795 41.9304276)",Rambla de les Davallades,,,,
42505747,,living_street,20,,False,True,116.407,"LINESTRING (2.2535232 41.9312162, 2.2534706 41.931319, 2.2532419 41.9315837, 2.2527273 41.9320742)",Carrer de Gurb,destination,,,
1213969233,1,tertiary,50,,True,False,36.394,"LINESTRING (2.2502249 41.933108, 2.2504975 41.9333649)",Carrer del Pare Gallissà,,,,
150261285,1,tertiary,50,,True,False,16.334,"LINESTRING (2.250574 41.9335052, 2.2507321 41.9335932)",Carrer del Pare Gallissà,,,,
316026848,3,tertiary,50,roundabout,True,False,24.952,"LINESTRING (2.250574 41.9335052, 2.2505891 41.9335447, 2.2505913 41.9336232, 2.2505785 41.9337015, 2.2505656 41.9337256)",Plaça del Mil·lenari de Catalunya,,,,
42213560,2,tertiary,50,,True,False,74.5,"LINESTRING (2.250229 41.9339971, 2.2501101 41.9341865, 2.2501014 41.9342299, 2.2500989 41.9342494, 2.2500592 41.9344273, 2.250036 41.9345353, 2.2500076 41.934641)",Carrer de l'Era d'en Sellés,,,,
307639765,2,tertiary,50,roundabout,True,False,30.241999999999997,"LINESTRING (2.250229 41.9339971, 2.250133 41.9340297, 2.250032 41.9340424, 2.2499163 41.9340254, 2.2498774 41.9340195)",Plaça del Mil·lenari de Catalunya,,,,
"[316018786, 1213969229, 888315695, 316026846, 34055871]",2,tertiary,50,,True,False,197.15,"LINESTRING (2.2501445 41.9334797, 2.2501722 41.9333472, 2.2501353 41.9332044, 2.2499352 41.9329942, 2.2497992 41.9328499, 2.2496983 41.9327439, 2.2492868 41.9323167, 2.2492667 41.9322919, 2.2492421 41.9322459, 2.2491291 41.9320342, 2.2490805 41.9319431)",Carrer del Pare Gallissà,,,,
307639763,3,tertiary,50,roundabout,True,False,27.068,"LINESTRING (2.2501445 41.9334797, 2.2502522 41.9334483, 2.250371 41.9334375, 2.2504619 41.9334474)",Plaça del Mil·lenari de Catalunya,,,,
34342885,,living_street,20,,True,False,29.09,"LINESTRING (2.2522992 41.9280791, 2.2524175 41.9280921, 2.252642 41.9281358)",Carrer de la Ramada,yes,,,
42505751,3,residential,20,,True,False,29.166,"LINESTRING (2.2522992 41.9280791, 2.2523581 41.9280056, 2.2524875 41.9278574)",Rambla de Sant Domènec,,,,
564416321,2,residential,20,,False,True,20.552,"LINESTRING (2.2522992 41.9280791, 2.2522391 41.9281628, 2.252188 41.9282443)",Rambla de l'Hospital,,,,
34342885,,living_street,20,,True,False,55.08,"LINESTRING (2.2529496 41.9282138, 2.2536033 41.9283078)",Carrer de la Ramada,yes,,,
42982430,,living_street,20,,False,True,41.03,"LINESTRING (2.2534904 41.9292315, 2.2530159 41.9293389)",Carrer de Sant Just,destination,,,
