osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,junction
25534672,Paseo El Ferial,residential,False,True,37.037,,,"LINESTRING (-2.0778381 42.4220847, -2.0782776 42.4220093)",,
367152667,Avenida de la Ribera,tertiary,False,False,77.901,NA-6220,40,"LINESTRING (-2.0778381 42.4220847, -2.0773234 42.4214961)",,
490504035,Avenida de la Ribera,tertiary,False,True,34.58,,40,"LINESTRING (-2.0778381 42.4220847, -2.0780401 42.4223576)",,
334137584,Carretera Carcar,tertiary,False,True,60.117999999999995,NA-8716,40,"LINESTRING (-2.0778381 42.4220847, -2.0773613 42.4223033, -2.0771971 42.4223389)",,
25534690,Avenida del Ebro,residential,True,False,53.292,,30,"LINESTRING (-2.0781909 42.4225144, -2.0783591 42.4220515)",,
490504035,Avenida de la Ribera,tertiary,False,False,21.383,,40,"LINESTRING (-2.0781909 42.4225144, -2.0780401 42.4223576)",,
490504035,Avenida de la Ribera,tertiary,False,True,136.677,,40,"LINESTRING (-2.0781909 42.4225144, -2.0782398 42.4226761, -2.0782329 42.4227257, -2.0782253 42.4233977, -2.0782329 42.4236189, -2.0782552 42.4237381)",,
490504035,Avenida de la Ribera,tertiary,False,True,40.098,,40,"LINESTRING (-2.0782552 42.4237381, -2.0783766 42.4240874)",,
216991688,San Juan,residential,False,True,45.5,,20,"LINESTRING (-2.0782552 42.4237381, -2.0777563 42.4236434, -2.077722 42.4236574)",,
490504035,Avenida de la Ribera,tertiary,False,False,136.677,,40,"LINESTRING (-2.0782552 42.4237381, -2.0782329 42.4236189, -2.0782253 42.4233977, -2.0782329 42.4227257, -2.0782398 42.4226761, -2.0781909 42.4225144)",,
367415296,Avenida de Navarra,tertiary,False,True,34.041,NA-8716,40,"LINESTRING (-2.083988 42.4255568, -2.0844006 42.4255878)",2,
490489939,Tejería,residential,False,False,14.737,,30,"LINESTRING (-2.083988 42.4255568, -2.0840645 42.4254369)",,
490493506,Olivar,residential,False,False,8.269,,30,"LINESTRING (-2.083988 42.4255568, -2.0839511 42.425626)",,
