osmid,highway,junction,oneway,reversed,length,geometry,name,maxspeed,bridge,ref,lanes
22734331,residential,roundabout,True,False,34.266999999999996,"LINESTRING (-1.6215678 42.7888335, -1.6215605 42.7887776, -1.6215342 42.7887352, -1.6214704 42.7886929, -1.6214293 42.7886809, -1.6213999 42.788677, -1.6212834 42.7886976)",,,,,
27430644,residential,,True,False,6.734,"LINESTRING (-1.6212306 42.7887349, -1.6211586 42.7887645)",Calle Cordovilla,30,,,
552823405,residential,roundabout,True,False,20.464,"LINESTRING (-1.6212306 42.7887349, -1.6212022 42.7887835, -1.6212026 42.788841, -1.6212503 42.7889058)",,,,,
22734331,residential,roundabout,True,False,32.955,"LINESTRING (-1.6212503 42.7889058, -1.6213164 42.7889377, -1.6214138 42.7889447, -1.621503 42.7889135, -1.6215468 42.7888721, -1.6215678 42.7888335)",,,,,
27430636,residential,,True,False,61.345,"LINESTRING (-1.6167834 42.7885039, -1.6167408 42.7890547)",Calle La Cruz,,,,
27430595,residential,,True,False,23.805,"LINESTRING (-1.6167834 42.7885039, -1.616655 42.788477, -1.616497 42.7884712)",Avenida del Sadar,,,,
"[28776891, 22734372, 22734373]",residential,,False,True,255.942,"LINESTRING (-1.6126236 42.7881863, -1.6127274 42.7881581, -1.6128986 42.7881322, -1.613091 42.7880838, -1.6132356 42.7880009, -1.6133413 42.7878382, -1.6134163 42.7877777, -1.6135671 42.78772, -1.6142227 42.7878775, -1.614303 42.7879393, -1.6143542 42.788028, -1.6143561 42.7881211, -1.6143119 42.7881979, -1.6142426 42.7882877, -1.6141975 42.7883843, -1.614191 42.7885041, -1.6142154 42.7886093, -1.6142868 42.7887229)",Calle Zolina,,yes,,
"[24421128, 163963429]",residential,,False,False,93.389,"LINESTRING (-1.6126236 42.7881863, -1.6120233 42.7878532, -1.6116756 42.7877206)",Calle Zolina,,,,
163963429,residential,,False,True,329.374,"LINESTRING (-1.6126236 42.7881863, -1.6127352 42.7882733, -1.6132282 42.7885756, -1.6132886 42.7886427, -1.61329 42.7887492, -1.6132532 42.7889586, -1.6131289 42.7892964, -1.6130093 42.7896347, -1.61278 42.7906385, -1.6126373 42.790872)",Calle Zolina,,,,
24423398,residential,,False,False,22.17,"LINESTRING (-1.6153655 42.7894731, -1.6156234 42.7894104)",Calle Mayor,,,,
24421138,residential,,False,True,65.21600000000001,"LINESTRING (-1.6153655 42.7894731, -1.6151388 42.7892309, -1.6149194 42.7889865)",Calle Tajonar,,,,
24423398,residential,,False,True,104.033,"LINESTRING (-1.6153655 42.7894731, -1.6148902 42.7897026, -1.6143441 42.7900309)",Calle Mayor,,,,
24421260,residential,,True,False,4.831,"LINESTRING (-1.6157007 42.7895244, -1.6156861 42.7895665)",Calle Irulegui,,,,
94634411,residential,,True,False,71.227,"LINESTRING (-1.6157007 42.7895244, -1.6159281 42.7894884, -1.6165609 42.7895598)",Calle las Escuelas,,,,
24423373,residential,,True,False,116.32300000000001,"LINESTRING (-1.618324 42.7896476, -1.6189522 42.7896841, -1.6191095 42.7896807, -1.6193374 42.7896527, -1.6194569 42.789638, -1.6197273 42.7895702)",Calle Cordovilla,,,,
31452619,residential,,False,True,285.461,"LINESTRING (-1.6198148 42.7895865, -1.619857 42.7899771, -1.6202075 42.7904104, -1.6207182 42.791092, -1.6210252 42.7915017, -1.6213139 42.7918714)",Avenida El Soto,30,,,
552823406,residential,roundabout,True,False,18.631,"LINESTRING (-1.6198148 42.7895865, -1.6198738 42.7895733, -1.619916 42.7895463, -1.6199375 42.7895169, -1.6199439 42.7894693)",,,,,
31452618,unclassified,,False,True,19.436,"LINESTRING (-1.6214101 42.7922944, -1.6216122 42.7922019)",Paseo Mutilnova,,,,
31452619,residential,,False,False,47.692,"LINESTRING (-1.6214101 42.7922944, -1.6213359 42.7919522, -1.6213139 42.7918714)",Avenida El Soto,30,,,
171381578,residential,,False,True,80.301,"LINESTRING (-1.6214101 42.7922944, -1.62146 42.7924214, -1.6215887 42.7926476, -1.6217851 42.7929609)",Paseo Mutilnova,,,,
82909190,unclassified,,False,False,25.743,"LINESTRING (-1.6126373 42.790872, -1.6124549 42.7910609)",,,,,
163963429,residential,,False,False,329.374,"LINESTRING (-1.6126373 42.790872, -1.61278 42.7906385, -1.6130093 42.7896347, -1.6131289 42.7892964, -1.6132532 42.7889586, -1.61329 42.7887492, -1.6132886 42.7886427, -1.6132282 42.7885756, -1.6127352 42.7882733, -1.6126236 42.7881863)",Calle Zolina,,,,
