osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref,junction,bridge
62059062,Calle La Calzada,residential,False,False,27.74,"LINESTRING (-3.19785 43.1898865, -3.197786 43.1899447, -3.1976796 43.190011, -3.1976533 43.1900415, -3.1976457 43.190054, -3.1976428 43.1900648, -3.1976418 43.1900769)",,,,,
62059062,Calle La Calzada,residential,False,True,27.740000000000002,"LINESTRING (-3.1976418 43.1900769, -3.1976428 43.1900648, -3.1976457 43.190054, -3.1976533 43.1900415, -3.1976796 43.190011, -3.197786 43.1899447, -3.19785 43.1898865)",,,,,
"[691532217, 204786686, 62059063]","['Calle El Cristo', 'Calle La Calzada']",residential,False,"[False, True]",676.479,"LINESTRING (-3.1976418 43.1900769, -3.1976164 43.1900795, -3.1975901 43.1900861, -3.1975722 43.1900939, -3.1973103 43.1902508, -3.1969096 43.190491, -3.1967685 43.190589, -3.1965351 43.1907723, -3.1964919 43.1908198, -3.1964681 43.1908479, -3.1964437 43.1908823, -3.1964268 43.1909071, -3.1964156 43.1909323, -3.1964066 43.1909614, -3.1964027 43.1909866, -3.1964015 43.1910132, -3.1964062 43.1910392, -3.1964141 43.1910657, -3.1964287 43.1910956, -3.1964487 43.1911259, -3.1965816 43.1913469, -3.1967081 43.1915944, -3.1967231 43.1916341, -3.196732 43.1916699, -3.1967355 43.1917012, -3.1967341 43.1917297, -3.1967263 43.1917661, -3.196714 43.1917979, -3.1966982 43.1918289, -3.1966756 43.1918572, -3.1966278 43.1919126, -3.1965985 43.1919404, -3.1965662 43.1919631, -3.1965225 43.1919856, -3.1964697 43.1920056, -3.1961719 43.1920905, -3.1958945 43.1921748, -3.1955565 43.1923136, -3.1953095 43.1924256, -3.1951374 43.1925176, -3.1950179 43.1926008, -3.1949865 43.1926308, -3.1947882 43.1928208, -3.1947517 43.1928661, -3.1946652 43.1929735, -3.1945127 43.1931028, -3.1943468 43.1931622, -3.1940829 43.1932243, -3.1938878 43.1933571, -3.1938188 43.1934044, -3.1934524 43.1936557, -3.1933032 43.1937666, -3.1930518 43.1939534, -3.1927972 43.1941426, -3.192665 43.1942409)",2,50,,,
"[691532217, 204786686, 62059063]","['Calle El Cristo', 'Calle La Calzada']",residential,False,"[False, True]",676.4790000000002,"LINESTRING (-3.192665 43.1942409, -3.1927972 43.1941426, -3.1930518 43.1939534, -3.1933032 43.1937666, -3.1934524 43.1936557, -3.1938188 43.1934044, -3.1938878 43.1933571, -3.1940829 43.1932243, -3.1943468 43.1931622, -3.1945127 43.1931028, -3.1946652 43.1929735, -3.1947517 43.1928661, -3.1947882 43.1928208, -3.1949865 43.1926308, -3.1950179 43.1926008, -3.1951374 43.1925176, -3.1953095 43.1924256, -3.1955565 43.1923136, -3.1958945 43.1921748, -3.1961719 43.1920905, -3.1964697 43.1920056, -3.1965225 43.1919856, -3.1965662 43.1919631, -3.1965985 43.1919404, -3.1966278 43.1919126, -3.1966756 43.1918572, -3.1966982 43.1918289, -3.196714 43.1917979, -3.1967263 43.1917661, -3.1967341 43.1917297, -3.1967355 43.1917012, -3.196732 43.1916699, -3.1967231 43.1916341, -3.1967081 43.1915944, -3.1965816 43.1913469, -3.1964487 43.1911259, -3.1964287 43.1910956, -3.1964141 43.1910657, -3.1964062 43.1910392, -3.1964015 43.1910132, -3.1964027 43.1909866, -3.1964066 43.1909614, -3.1964156 43.1909323, -3.1964268 43.1909071, -3.1964437 43.1908823, -3.1964681 43.1908479, -3.1964919 43.1908198, -3.1965351 43.1907723, -3.1967685 43.190589, -3.1969096 43.190491, -3.1973103 43.1902508, -3.1975722 43.1900939, -3.1975901 43.1900861, -3.1976164 43.1900795, -3.1976418 43.1900769)",2,50,,,
185008487,Calle Cementerio,unclassified,False,True,86.545,"LINESTRING (-3.192665 43.1942409, -3.1925945 43.1942498, -3.1924038 43.1942738, -3.1921271 43.1943086, -3.191968 43.1943273, -3.1919454 43.1943305, -3.1918478 43.1943445, -3.1917794 43.1943543, -3.1916112 43.1943601)",,,,,
185008516,Avenida del Kadagua,residential,False,True,238.32899999999998,"LINESTRING (-3.192665 43.1942409, -3.1925864 43.194324, -3.1914086 43.1956136, -3.1913097 43.1957218, -3.1912014 43.1958283, -3.1910022 43.1960073)",,,,,
204910165,Calle La Torre,residential,False,False,51.24,"LINESTRING (-3.1939911 43.1969277, -3.1937298 43.1973473)",,,,,
62059080,Calle La Torre,residential,False,False,131.648,"LINESTRING (-3.1939911 43.1969277, -3.1936999 43.1967606, -3.1933665 43.1965983, -3.1932553 43.1965628, -3.1929345 43.1964618, -3.1925679 43.1963843)",,,,,
204910160,Calle El Arroyo,residential,False,True,58.016999999999996,"LINESTRING (-3.1939911 43.1969277, -3.1941669 43.197033, -3.1943259 43.1970852, -3.1946074 43.1971863)",,,,,
690957875,Calle Magdalena,primary,False,True,148.935,"LINESTRING (-3.1918083 43.1964628, -3.191791 43.1964806, -3.1917009 43.1965732, -3.1912302 43.1970566, -3.1907321 43.1975483)",,,BI-630,,
