osmid,oneway,lanes,name,highway,width,reversed,length,geometry,maxspeed,junction,access
230991221,True,1,Calle Lagasca,residential,6,False,19.99,"LINESTRING (-4.9892886 36.482456, -4.9892495 36.482279)",,,
1201192609,False,2,Calle Lagasca,residential,6,True,68.202,"LINESTRING (-4.9892886 36.482456, -4.9893548 36.4827392, -4.9893863 36.4828872, -4.9894118 36.4829938, -4.9894292 36.4830588)",,,
201906923,False,,Avenida Oriental,residential,5,False,34.762,"LINESTRING (-4.9890226 36.4866368, -4.9887315 36.4866468, -4.9886343 36.4866526)",,,
323108852,False,2,Calle Revilla,residential,5,True,103.339,"LINESTRING (-4.9890226 36.4866368, -4.9891664 36.486637, -4.9892608 36.4866417, -4.9893383 36.486655, -4.9893815 36.4866649, -4.9894217 36.4866633, -4.9897832 36.4866009, -4.990158 36.4865361)",,,
205627068,True,1,Avenida Marqués del Duero,residential,,False,62.456,"LINESTRING (-4.9889338 36.4830994, -4.9889347 36.4829519, -4.988941 36.482863, -4.9889483 36.4828024, -4.9889579 36.4827442, -4.9889714 36.4826922, -4.9890246 36.4825459)",,,
"[1202679353, 201906930]",False,2,"['Avenida Marqués del Duero', 'Calle Sevilla']",residential,12,"[False, True]",131.225,"LINESTRING (-4.9889338 36.4830994, -4.9889666 36.4833367, -4.9887829 36.4834071, -4.9886849 36.4834446, -4.9886449 36.4834598, -4.9883435 36.4835746, -4.9881742 36.4836601, -4.9879491 36.4837955)",30,,
196296822,True,1,Avenida Virgen del Rocío,tertiary,6,False,51.647,"LINESTRING (-4.9949293 36.4823033, -4.9949491 36.4823696, -4.9949912 36.4824907, -4.9951022 36.4827461)",,,
196296823,True,,,tertiary,,False,8.349,"LINESTRING (-4.9949293 36.4823033, -4.9949604 36.4823026, -4.9949906 36.4822964, -4.9950184 36.4822852)",,roundabout,
612074721,False,,Calle Doctor Eduardo Evangelista,residential,,False,6.111,"LINESTRING (-4.9959203 36.4857599, -4.9959862 36.4857453)",,,
234131116,True,2,Avenida Príncipe de Asturias,tertiary,6,False,92.503,"LINESTRING (-4.9959203 36.4857599, -4.995908 36.4858471, -4.9960145 36.4865863)",,,
612243208,False,,Calle Doctor Eduardo Evangelista,residential,,True,58.149,"LINESTRING (-4.9959203 36.4857599, -4.9957994 36.4857942, -4.9952914 36.4858915)",,,
213170026,True,,Calle San Miguel,residential,,False,84.173,"LINESTRING (-4.9906998 36.4866387, -4.9907956 36.4866268, -4.9910113 36.4865927, -4.9916244 36.4864961)",,,
612074720,True,,,residential,,False,9.149,"LINESTRING (-4.9906998 36.4866387, -4.9906946 36.4865919, -4.9906778 36.4865593)",,roundabout,
29137294,True,1,Calle Revilla,residential,5,False,21.672,"LINESTRING (-4.990158 36.4865361, -4.9902215 36.4865504, -4.9902615 36.4865661, -4.9902842 36.4865816, -4.9903074 36.4866006, -4.9903641 36.4866323)",,,
323108852,False,2,Calle Revilla,residential,5,False,103.339,"LINESTRING (-4.990158 36.4865361, -4.9897832 36.4866009, -4.9894217 36.4866633, -4.9893815 36.4866649, -4.9893383 36.486655, -4.9892608 36.4866417, -4.9891664 36.486637, -4.9890226 36.4866368)",,,
31512339,True,,Calle Castilla,residential,,False,109.624,"LINESTRING (-4.9890535 36.4910409, -4.9901968 36.4906844)",,,
1201192604,True,,Calle Fuente Nueva,residential,,False,6.543,"LINESTRING (-4.9890535 36.4910409, -4.9890259 36.4909864)",,,
184557945,False,,Avenida Pablo Ruiz Picasso,residential,,False,63.614,"LINESTRING (-4.9904414 36.4869507, -4.9906059 36.4875073)",,,
139242125,True,1,Avenida Pablo Ruiz Picasso,residential,,False,24.421000000000006,"LINESTRING (-4.9904414 36.4869507, -4.9904635 36.4869217, -4.9904723 36.486904, -4.9904756 36.4868831, -4.9904771 36.4868602, -4.9904869 36.4868364, -4.9905142 36.4868044, -4.9905289 36.486791, -4.9905459 36.4867772, -4.9905653 36.4867626)",,,
1231362656,False,,Calle Lagasca,residential,6,False,20.987,"LINESTRING (-4.9898216 36.4848761, -4.9897872 36.4846894)",,,
