osmid,ref,name,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,tunnel
17505753,N-525,Rotonda de Willy,trunk,roundabout,True,False,22.405,"LINESTRING (-8.1166521 42.6581808, -8.1166201 42.6582254, -8.1166103 42.6582752, -8.1166238 42.6583246, -8.116659 42.6583678)",,,
17505753,N-525,Rotonda de Willy,trunk,roundabout,True,False,12.232,"LINESTRING (-8.116659 42.6583678, -8.1166959 42.6583924, -8.11674 42.6584095, -8.1167885 42.6584182)",,,
160121354,,Rúa Ramón Aller,residential,,False,False,58.86,"LINESTRING (-8.116659 42.6583678, -8.1165809 42.6584231, -8.116538 42.6584557, -8.1161559 42.6587463)",,,
17505753,N-525,Rotonda de Willy,trunk,roundabout,True,False,15.780000000000001,"LINESTRING (-8.1167885 42.6584182, -8.1168528 42.658416, -8.1169128 42.658399, -8.1169625 42.658369)",,,
17505753,N-525,Rotonda de Willy,trunk,roundabout,True,False,15.57,"LINESTRING (-8.1169735 42.6581834, -8.1169283 42.6581507, -8.1168714 42.6581299, -8.1168086 42.6581232)",,,
17505753,N-525,Rotonda de Willy,trunk,roundabout,True,False,14.752,"LINESTRING (-8.1168086 42.6581232, -8.1167493 42.6581304, -8.1166955 42.6581502, -8.1166521 42.6581808)",,,
158275112,,Rúa Matemático Rodríguez,residential,,False,True,70.139,"LINESTRING (-8.1129624 42.661804, -8.1129251 42.661856, -8.1126546 42.6622337, -8.1125632 42.6623623)",2,50,
303111481,,Rúa Colón,residential,,True,False,53.601,"LINESTRING (-8.1129624 42.661804, -8.1130612 42.6618516, -8.1131716 42.6619048, -8.1134048 42.6620321, -8.1134229 42.6621156)",,,
370628679,,Rúa Ramón Aller,residential,,False,True,85.79500000000002,"LINESTRING (-8.1129624 42.661804, -8.1130317 42.6617187, -8.1134505 42.6612226, -8.1135075 42.6611449)",,,
387167450,,Rúa Joaquín Loriga,living_street,,True,False,35.362,"LINESTRING (-8.111119 42.6632372, -8.1113263 42.6629581)",1,20,
138928759,PO-533,Estrada Monforte - Lalín,primary,,False,False,64.996,"LINESTRING (-8.111119 42.6632372, -8.1112041 42.6633787, -8.1113155 42.6635268, -8.1114442 42.6636972, -8.111488 42.6637544)",,,
158275112,,Rúa Matemático Rodríguez,residential,,False,False,37.107,"LINESTRING (-8.111119 42.6632372, -8.1113502 42.6631839, -8.111515 42.6630864)",2,50,
