osmid,name,highway,oneway,reversed,length,ref,maxspeed,access,geometry,width,tunnel
107829220,Carrer del Calvari,residential,False,True,24.95,,,,"LINESTRING (1.049263 41.8957665, 1.049096 41.8955797)",,
209587044,Carretera de Ponts,tertiary,False,True,149.416,C-14z,80,yes,"LINESTRING (1.049263 41.8957665, 1.049325 41.8957557, 1.0499436 41.8956144, 1.0510035 41.8954113)",,
209587045,Carretera de Tremp,tertiary,False,True,108.984,L-512,,,"LINESTRING (1.049263 41.8957665, 1.0493199 41.8958045, 1.0493585 41.89582, 1.0494475 41.8958478, 1.0495025 41.8958649, 1.0498559 41.8959644, 1.0501308 41.896017, 1.0505011 41.8960758)",,
"[1240851809, 389948935]","[""Carretera d'Agramunt"", 'Carretera de Ponts']",tertiary,False,False,117.99000000000001,C-14z,,,"LINESTRING (1.049263 41.8957665, 1.049193 41.8957687, 1.049115 41.8957628, 1.0489851 41.8957426, 1.0487666 41.8957016, 1.0483153 41.8955563, 1.0481312 41.8954863, 1.0481066 41.8954769, 1.0479446 41.8953989)",,
107829217,Carrer de Girona,residential,False,True,55.91,,,,"LINESTRING (1.0505011 41.8960758, 1.0498559 41.8962247)",,
209587045,Carretera de Tremp,tertiary,False,False,108.98399999999998,L-512,,,"LINESTRING (1.0505011 41.8960758, 1.0501308 41.896017, 1.0498559 41.8959644, 1.0495025 41.8958649, 1.0494475 41.8958478, 1.0493585 41.89582, 1.0493199 41.8958045, 1.049263 41.8957665)",,
1240851808,Carretera d'Agramunt,tertiary,False,True,10.067,C-14z,,,"LINESTRING (1.0467666 41.8942449, 1.0468106 41.8943293)",,
24059908,Carretera d'Agramunt,tertiary,False,False,43.111999999999995,C-14z,,,"LINESTRING (1.0467666 41.8942449, 1.0467491 41.894114, 1.0467524 41.8939886, 1.046781 41.8938596)",,
547048686,Carrer de les Escoles,residential,False,True,90.583,,,,"LINESTRING (1.0467666 41.8942449, 1.0466326 41.8941443, 1.0458967 41.8937534)",,
107829220,Carrer del Calvari,residential,False,False,115.27,,,,"LINESTRING (1.046781 41.8938596, 1.0476901 41.8946449)",,
24059908,Carretera d'Agramunt,tertiary,False,False,51.016000000000005,C-14z,,,"LINESTRING (1.046781 41.8938596, 1.0468706 41.8937306, 1.0471277 41.8934822)",,
