osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction,access,ref
294195507,True,Carrer de la Barceloneta,residential,30,False,53.384,"LINESTRING (2.1001577 41.320906, 2.1003407 41.320446)",,,,
42349172,True,Carrer de la Carretera de la Bunyola,residential,30,False,63.519999999999996,"LINESTRING (2.1005893 41.3225172, 2.1003892 41.3228269, 2.1001952 41.323001)",,,,
40717384,True,Carrer de Tarragona,residential,30,False,75.911,"LINESTRING (2.0989392 41.3218652, 2.0990091 41.3218907, 2.0996721 41.3221649, 2.0997384 41.3221903)",,,,
40717384,True,Carrer de Tarragona,residential,30,False,88.197,"LINESTRING (2.0975162 41.321279, 2.0975587 41.321312, 2.0984279 41.3216757)",,,,
294168860,True,Carrer del Coronel Sanfeliu,tertiary,30,False,80.70499999999998,"LINESTRING (2.0975162 41.321279, 2.0974621 41.3213251, 2.0971932 41.3215567, 2.097132 41.3216261, 2.0969877 41.3217898, 2.0969295 41.3218538)",,,,
304853770,True,Carrer de la Carretera de la Marina,tertiary,30,False,38.498,"LINESTRING (2.1009012 41.3258555, 2.1006896 41.3261631)",,,,
790722534,True,Carrer de Jaume Casanovas,residential,30,False,53.524,"LINESTRING (2.0941572 41.3228579, 2.0944418 41.3224266)",,,,
276496929,True,Carrer de Catalunya,residential,30,False,124.39999999999999,"LINESTRING (2.0941572 41.3228579, 2.0954065 41.3233747, 2.0954632 41.323396)",,,,
42349182,True,Avinguda Verge de Montserrat,tertiary,30,False,38.036,"LINESTRING (2.1001081 41.327683, 2.1005149 41.3278369)",1,,,
723184811,True,Carrer de la Carretera de la Marina,tertiary,30,False,87.546,"LINESTRING (2.0991084 41.3283914, 2.0995083 41.3277911, 2.0995408 41.3276776)",1,,,
42083685,True,Carrer de Pau Casals,residential,30,False,117.642,"LINESTRING (2.0961463 41.3272964, 2.0974108 41.3277629)",,,,
116702203,True,Carrer de Sant Pere,living_street,,False,69.405,"LINESTRING (2.0961463 41.3272964, 2.0963276 41.3270296, 2.0965289 41.3267423)",,,,
42083685,True,Carrer de Pau Casals,residential,30,False,37.571,"LINESTRING (2.0928799 41.3260838, 2.0932873 41.3262272)",,,,
429297145,True,Carrer de Jaume Casanovas,residential,30,False,42.139,"LINESTRING (2.0928799 41.3260838, 2.0929691 41.3257108)",1,,,
116702203,True,Carrer de Sant Pere,living_street,,False,50.245,"LINESTRING (2.0954705 41.3282835, 2.0957395 41.3278793)",,,,
251740168,True,Carrer de Lo Gaiter del Llobregat,residential,30,False,77.865,"LINESTRING (2.0954705 41.3282835, 2.0946755 41.3279175)",,,,
110440636,True,Carrer Santiago Rusiñol,residential,30,False,48.712,"LINESTRING (2.0946755 41.3279175, 2.0943277 41.3277935, 2.0941515 41.3277251)",,,,
"[429297145, 32209470]",True,Carrer de Jaume Casanovas,residential,30,False,18.097,"LINESTRING (2.0931896 41.3251926, 2.0932244 41.3251134, 2.0932589 41.3250384)",1,,,
