osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,bridge
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,True,94.965,"LINESTRING (-0.5202619 39.223964, -0.5197744 39.223198)",,,
83357680,True,,Carrer de Lluís Vives,residential,,False,106.34,"LINESTRING (-0.5205513 39.2244169, -0.521705 39.2240766)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,False,52.35,"LINESTRING (-0.5205513 39.2244169, -0.520821 39.2248388)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,True,56.193,"LINESTRING (-0.5205513 39.2244169, -0.5202619 39.223964)",,,
83412228,True,,Carrer de Jaume I,residential,,False,97.225,"LINESTRING (-0.520821 39.2248388, -0.5219083 39.2246042)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,False,49.07,"LINESTRING (-0.520821 39.2248388, -0.5210737 39.2252343)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,True,52.35,"LINESTRING (-0.520821 39.2248388, -0.5205513 39.2244169)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,True,32.694,"LINESTRING (-0.5212421 39.2254978, -0.5210737 39.2252343)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,False,176.49599999999998,"LINESTRING (-0.5212421 39.2254978, -0.5214769 39.2258799, -0.5218794 39.2269171, -0.5219095 39.2269947)",,,
83602270,False,CV-50,Carrer de Colón,primary,50,False,108.503,"LINESTRING (-0.5219095 39.2269947, -0.5219345 39.2270594, -0.5222417 39.2278555, -0.5222703 39.2279296)",,,
110234916,False,CV-50,Carrer Enginyer Balaguer,primary,50,True,176.49599999999998,"LINESTRING (-0.5219095 39.2269947, -0.5218794 39.2269171, -0.5214769 39.2258799, -0.5212421 39.2254978)",,,
904311429,True,,Carrer del Metge Bosch Marín,residential,,False,48.171,"LINESTRING (-0.5219095 39.2269947, -0.5218306 39.227007, -0.5213612 39.22708)",,,
83357677,True,,Carrer del Forn,residential,,False,37.335,"LINESTRING (-0.5222703 39.2279296, -0.5223526 39.2279088, -0.5226823 39.2278253)",,,
83602270,False,CV-50,Carrer de Colón,primary,50,False,122.144,"LINESTRING (-0.5222703 39.2279296, -0.5223208 39.2280586, -0.5226818 39.2289808)",,,
83602270,False,CV-50,Carrer de Colón,primary,50,True,108.503,"LINESTRING (-0.5222703 39.2279296, -0.5222417 39.2278555, -0.5219345 39.2270594, -0.5219095 39.2269947)",,,
