osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,lanes,access
155966505,CV-3006,Avinguda del País Valencià,tertiary,30,False,False,95.64,"LINESTRING (-0.3258259 39.5800298, -0.3262235 39.5793294, -0.3262732 39.5792418)",,,
155966533,,Camí Vell del Puig,tertiary,,True,False,49.98499999999999,"LINESTRING (-0.3258259 39.5800298, -0.3257751 39.5800735, -0.3256973 39.580179, -0.3256376 39.5802551, -0.3256068 39.5802815, -0.3255753 39.5802989, -0.3255424 39.5803156, -0.3255115 39.5803244, -0.3254686 39.5803321, -0.3254359 39.580336)",,,
23316650,,Carrer de Mariana Pineda,tertiary,,False,True,75.38700000000001,"LINESTRING (-0.3262732 39.5792418, -0.3261879 39.5792056, -0.3255607 39.578985, -0.3254957 39.5789622, -0.325476 39.5789557)",,,
155966505,CV-3006,Avinguda del País Valencià,tertiary,30,False,False,72.54899999999999,"LINESTRING (-0.3262732 39.5792418, -0.3263191 39.5791608, -0.3266048 39.5786415)",,,
155966505,CV-3006,Avinguda del País Valencià,tertiary,30,False,True,95.64,"LINESTRING (-0.3262732 39.5792418, -0.3262235 39.5793294, -0.3258259 39.5800298)",,,
155985522,,Carrer Inmaculada,tertiary,,False,False,57.991,"LINESTRING (-0.3262732 39.5792418, -0.3263415 39.5792708, -0.3268254 39.5794528, -0.3268795 39.5794732)",,,
155966505,CV-3006,Avinguda del País Valencià,tertiary,30,False,False,27.473999999999997,"LINESTRING (-0.3269669 39.5780179, -0.3270546 39.5778632, -0.3270953 39.5777915)",,,
155966505,CV-3006,Avinguda del País Valencià,tertiary,30,False,True,52.302,"LINESTRING (-0.3269669 39.5780179, -0.3268401 39.5782415, -0.3267225 39.5784489)",,,
155985525,,Carrer del Fra Joaquim Ferrer,residential,,True,False,80.92,"LINESTRING (-0.3269669 39.5780179, -0.3268997 39.5780026, -0.3261233 39.5778336, -0.3260585 39.5778195)",,,
385695123,CV-3005,Avinguda del País Valencià,tertiary,30,False,False,1.875,"LINESTRING (-0.3281828 39.5758664, -0.3281944 39.5758521)",,,
155985521,,Carrer Josep Renau i Berenguer,residential,,False,True,95.43400000000001,"LINESTRING (-0.3281828 39.5758664, -0.3280342 39.5758509, -0.3272397 39.5757135, -0.3271656 39.5757007, -0.327094 39.5756884)",,,
"[155966505, 385695123]","['CV-3005', 'CV-3006']",Avinguda del País Valencià,tertiary,30,False,True,60.035000000000004,"LINESTRING (-0.3281828 39.5758664, -0.3280871 39.5760407, -0.3279058 39.5763623)",,,
23308847,CV-3005,Avinguda del País Valencià,tertiary,30,True,False,19.144,"LINESTRING (-0.328382 39.5752845, -0.3284104 39.5753734, -0.3284091 39.575454)",,,
737939395,,,tertiary,,True,False,9.921,"LINESTRING (-0.328382 39.5752845, -0.328408 39.5752943, -0.3284367 39.5752971, -0.3284651 39.5752928, -0.3284902 39.5752817)",roundabout,,
737939394,,,tertiary,,True,False,6.929,"LINESTRING (-0.3284902 39.5752817, -0.3285083 39.5752663, -0.3285197 39.5752475, -0.3285232 39.5752269)",roundabout,,
23308842,,,tertiary,,True,False,17.363,"LINESTRING (-0.3285232 39.5752269, -0.3285163 39.5752014, -0.3284976 39.5751798, -0.3284698 39.575165, -0.3284368 39.5751592, -0.3284035 39.5751632, -0.3283744 39.5751764)",roundabout,,
23308846,CV-3005,Avinguda del País Valencià,tertiary,30,True,False,56.699000000000005,"LINESTRING (-0.3285232 39.5752269, -0.3287345 39.5748017, -0.3287604 39.5747509)",,,
155969498,,Carrer Mariana Pineda,unclassified,,True,False,20.031,"LINESTRING (-0.3283744 39.5751764, -0.328143 39.5751511)",,,
737939396,,,tertiary,,True,False,6.343,"LINESTRING (-0.3283744 39.5751764, -0.3283584 39.5751909, -0.328348 39.5752081, -0.3283442 39.5752269)",roundabout,,
737939369,,,tertiary,,True,False,7.771,"LINESTRING (-0.3288343 39.5746061, -0.3288622 39.5745785, -0.328869 39.574544)",roundabout,,
23308848,CV-3005,Avinguda Major,tertiary,,True,False,8.205,"LINESTRING (-0.328869 39.574544, -0.3289238 39.5744835)",,,
737939368,,,tertiary,,True,False,9.131,"LINESTRING (-0.328869 39.574544, -0.3288583 39.5745179, -0.3288352 39.5744971, -0.3288035 39.5744848)",roundabout,,
641178596,,,tertiary,,True,False,6.257,"LINESTRING (-0.3288035 39.5744848, -0.3287671 39.5744831, -0.3287328 39.5744928)",roundabout,,
97211730,,Carrer del Camí Llari,tertiary,,False,True,56.569,"LINESTRING (-0.3287328 39.5744928, -0.3285775 39.5744765, -0.3281637 39.5744331, -0.3280789 39.5744237)",,,
641178596,,,tertiary,,True,False,5.651,"LINESTRING (-0.3287328 39.5744928, -0.3287085 39.57451, -0.328694 39.5745328)",roundabout,,
23308844,CV-3005,Avinguda del País Valencià,tertiary,30,True,False,76.63,"LINESTRING (-0.328694 39.5745328, -0.3286331 39.5746559, -0.3284352 39.5750564, -0.3284007 39.5751262, -0.3283744 39.5751764)",,,
97211546,,,tertiary,,True,False,18.979,"LINESTRING (-0.328694 39.5745328, -0.3286916 39.5745612, -0.3287043 39.5745879, -0.3287299 39.5746084, -0.3287641 39.5746191, -0.328801 39.5746183, -0.3288343 39.5746061)",roundabout,,
23308850,CV-3005,Avinguda del País Valencià,tertiary,30,True,False,20.381,"LINESTRING (-0.3284091 39.575454, -0.3284902 39.5752817)",,,
385695123,CV-3005,Avinguda del País Valencià,tertiary,30,False,True,8.124,"LINESTRING (-0.3284091 39.575454, -0.3283722 39.5755213)",,,
23308849,CV-3005,Avinguda Major,tertiary,,True,False,18.718,"LINESTRING (-0.3289663 39.5743726, -0.3288035 39.5744848)",,,
23316246,CV-300,,secondary,,True,False,29.274,"LINESTRING (-0.3259755 39.5744112, -0.3260318 39.5744048, -0.3260859 39.5743912, -0.3261364 39.5743709, -0.3261817 39.5743444, -0.3262208 39.5743124, -0.3262523 39.5742759)",roundabout,2,
23316246,CV-300,,secondary,,True,False,21.974,"LINESTRING (-0.3262523 39.5742759, -0.3262839 39.5742147, -0.3262947 39.5741494, -0.326284 39.574084)",roundabout,2,
23316262,,Carrer del Camí Llari,tertiary,,True,False,41.481,"LINESTRING (-0.3262523 39.5742759, -0.3263837 39.5742463, -0.3264847 39.5742452, -0.3266155 39.5742509, -0.32673 39.5742421)",,,
23316246,CV-300,,secondary,,True,False,15.870999999999999,"LINESTRING (-0.326284 39.574084, -0.3262633 39.5740392, -0.3262325 39.573998, -0.3261925 39.5739617)",roundabout,2,
23316246,CV-300,,secondary,,True,False,24.375,"LINESTRING (-0.3261925 39.5739617, -0.3261163 39.5739183, -0.3260274 39.5738928, -0.3259329 39.5738871)",roundabout,2,
23316246,CV-300,,secondary,,True,False,25.853,"LINESTRING (-0.3259329 39.5738871, -0.3258586 39.5738972, -0.325789 39.5739195, -0.3257275 39.5739532, -0.3256771 39.5739964)",roundabout,2,
23316246,CV-300,,secondary,,True,False,26.345000000000002,"LINESTRING (-0.3257001 39.5743241, -0.3257575 39.5743635, -0.3258248 39.574392, -0.3258987 39.5744082, -0.3259755 39.5744112)",roundabout,2,
23316273,CV-300,,secondary,,True,False,461.64300000000003,"LINESTRING (-0.3257001 39.5743241, -0.325718 39.5743855, -0.3257218 39.5744671, -0.3257104 39.5745346, -0.3243499 39.5777733, -0.3241857 39.5781476, -0.3241321 39.5782178, -0.3240763 39.578257)",,2,
23316247,CV-300,,secondary,,True,False,28.654000000000003,"LINESTRING (-0.3240788 39.5787978, -0.3241621 39.5787921, -0.3242412 39.5787714, -0.3243118 39.5787368, -0.3243697 39.5786904)",roundabout,2,
23316247,CV-300,,secondary,,True,False,23.160999999999998,"LINESTRING (-0.3243697 39.5786904, -0.324405 39.578646, -0.3244287 39.5785972, -0.3244397 39.5785458, -0.3244378 39.5784938)",roundabout,2,
155966561,,Carrer de Mariana Pineda,tertiary,,True,False,30.86,"LINESTRING (-0.3243697 39.5786904, -0.3244528 39.5786843, -0.3245028 39.5786861, -0.3247273 39.5787095)",,1,
23316247,CV-300,,secondary,,True,False,20.833,"LINESTRING (-0.3244378 39.5784938, -0.3244185 39.5784331, -0.3243817 39.5783775, -0.3243294 39.5783298)",roundabout,2,
23316247,CV-300,,secondary,,True,False,23.726000000000003,"LINESTRING (-0.3243294 39.5783298, -0.3242744 39.5782974, -0.3242123 39.5782739, -0.3241454 39.5782603, -0.3240763 39.578257)",roundabout,2,
23316268,CV-300,,secondary,,True,False,33.91,"LINESTRING (-0.3243294 39.5783298, -0.3243145 39.5782538, -0.3243195 39.5781719, -0.3243825 39.5780341)",,2,
23316247,CV-300,,secondary,,True,False,11.0,"LINESTRING (-0.3240763 39.578257, -0.3240126 39.5782634, -0.3239516 39.5782786)",roundabout,2,
23316247,CV-300,,secondary,,True,False,24.509,"LINESTRING (-0.3239516 39.5782786, -0.3238698 39.5783164, -0.3238043 39.5783697, -0.3237598 39.5784347)",roundabout,2,
23316258,,Avinguda del Mar,secondary,,True,False,31.482,"LINESTRING (-0.3239516 39.5782786, -0.3238194 39.5782423, -0.3236363 39.5781389)",,1,
23316247,CV-300,,secondary,,True,False,31.392,"LINESTRING (-0.3237598 39.5784347, -0.323742 39.5784895, -0.3237393 39.5785459, -0.3237519 39.5786015, -0.3237792 39.5786539, -0.32382 39.5787008)",roundabout,2,
23316247,CV-300,,secondary,,True,False,25.366,"LINESTRING (-0.32382 39.5787008, -0.3238732 39.5787405, -0.3239359 39.5787707, -0.3240055 39.5787901, -0.3240788 39.5787978)",roundabout,2,
23316274,CV-300,,secondary,,True,False,262.423,"LINESTRING (-0.32382 39.5787008, -0.3238468 39.5788174, -0.3238468 39.5788847, -0.3238308 39.5789428, -0.3229618 39.5807419, -0.3229282 39.5807802, -0.3227932 39.5808868)",,2,
737939371,CV-300,,secondary,,True,False,24.759,"LINESTRING (-0.3228527 39.5814743, -0.322905 39.5814697, -0.3229811 39.581454, -0.3230513 39.5814265, -0.3231128 39.5813886)",roundabout,2,
23316256,,Carrer dels Bombers,tertiary,,True,False,27.703,"LINESTRING (-0.3231128 39.5813886, -0.3232298 39.5813695, -0.3233129 39.5813683, -0.3234309 39.5813873)",,,
737939393,CV-300,,secondary,,True,False,27.362000000000002,"LINESTRING (-0.3231128 39.5813886, -0.3231544 39.5813512, -0.3231873 39.581309, -0.3232106 39.5812632, -0.3232237 39.581215, -0.3232262 39.5811659)",roundabout,2,
23316248,CV-300,,secondary,,True,False,32.2,"LINESTRING (-0.3231323 39.5809851, -0.3230356 39.5809237, -0.3229184 39.5808898, -0.3227932 39.5808868)",roundabout,2,
23316267,CV-300,,secondary,,True,False,37.712,"LINESTRING (-0.3231323 39.5809851, -0.3230937 39.5808939, -0.3230908 39.580823, -0.3230958 39.5807626, -0.3231385 39.5806558)",,2,
23316248,CV-300,,secondary,,True,False,24.237000000000002,"LINESTRING (-0.3227932 39.5808868, -0.322702 39.5809053, -0.3226195 39.5809405, -0.3225507 39.5809901)",roundabout,2,
737939392,CV-300,,secondary,,True,False,26.594,"LINESTRING (-0.3225723 39.5813858, -0.3226543 39.5814344, -0.32275 39.5814646, -0.3228527 39.5814743)",roundabout,2,
23316659,,Carrer dels Bombers,tertiary,,False,True,25.017,"LINESTRING (-0.3234309 39.5813873, -0.323699 39.5814763)",,,
