osmid,oneway,highway,reversed,length,geometry,name,maxspeed,lanes,tunnel,junction
159018800,True,tertiary,False,36.76499999999999,"LINESTRING (-2.4578833 36.8443545, -2.4579039 36.8443509, -2.4580321 36.8443026, -2.458061 36.8442917, -2.4580844 36.8442829, -2.4581575 36.8442555, -2.4582357 36.8442242, -2.4582531 36.8442105)",,,,,
627344270,True,primary,False,53.553,"LINESTRING (-2.4578833 36.8443545, -2.4579288 36.8444233, -2.4579427 36.8444451, -2.4579532 36.8444593, -2.4581689 36.8447784)",Avenida Federico García Lorca,50,,,
"[685751138, 89344589]",True,secondary,False,48.314,"LINESTRING (-2.459492 36.8457928, -2.4595324 36.8457591, -2.4595425 36.8457492, -2.4595622 36.8457298, -2.4598387 36.8454586)",Calle Granada,30,,,
"[89134977, 89134975]",True,residential,False,149.993,"LINESTRING (-2.4608714 36.839851, -2.4619437 36.8397091, -2.4625363 36.8396413)",Calle Navarro Rodrigo,,,,
"[682923256, 222034442]",True,secondary,False,60.004000000000005,"LINESTRING (-2.4608714 36.839851, -2.461019 36.8399365, -2.4614176 36.8401674)",Calle Rambla Obispo Orberá,,,,
27161524,True,secondary,False,30.897,"LINESTRING (-2.4636529 36.8414609, -2.4639329 36.8416252)",Puerta de Purchena,,,,
23290866,True,residential,False,21.643,"LINESTRING (-2.4636529 36.8414609, -2.4637155 36.8414703, -2.4637496 36.8414687, -2.4637755 36.8414624, -2.4638054 36.8414458, -2.4638253 36.841431, -2.4638473 36.8413909)",Paseo de Almería,,,,
625981289,True,secondary,False,207.664,"LINESTRING (-2.4638473 36.8413909, -2.4638232 36.8412434, -2.4637991 36.8410837, -2.4637317 36.8406542, -2.4637265 36.8406213, -2.4636663 36.8402375, -2.4636567 36.8401761, -2.4635565 36.8395379)",Paseo de Almería,,1,,
89133441,True,residential,False,8.505,"LINESTRING (-2.4613192 36.8386616, -2.4612379 36.8386214)",Calle Eguilior,,,,
89133447,True,residential,False,81.326,"LINESTRING (-2.4613192 36.8386616, -2.4613117 36.8386893, -2.4611088 36.8389941, -2.4608776 36.8393002)",Calle Javier Sanz,,,,
