osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,bridge,junction
150372558,False,2,C-336a,Avenida Fernando Pallarés,tertiary,False,70.271,"LINESTRING (-4.4350794 37.4700932, -4.4358656 37.4699931)",,
74480048,False,,C-336a,Antigua C-336 (1),tertiary,False,211.007,"LINESTRING (-4.4350794 37.4700932, -4.4348928 37.4700854, -4.4348393 37.4700831, -4.4336929 37.470035, -4.4333612 37.469981, -4.4327082 37.4698859)",,
150388010,True,,,Urb. Maestro Francisco Molina,tertiary,False,129.09,"LINESTRING (-4.4350794 37.4700932, -4.435077 37.4702469, -4.4347873 37.4709326, -4.4346844 37.4712046)",,
74480048,False,,C-336a,Antigua C-336 (1),tertiary,False,75.233,"LINESTRING (-4.4304161 37.4694648, -4.4296388 37.469187)",,
74480048,False,,C-336a,Antigua C-336 (1),tertiary,True,207.677,"LINESTRING (-4.4304161 37.4694648, -4.4307214 37.4695236, -4.4310211 37.4695814, -4.4314725 37.4696683, -4.4322228 37.4698129, -4.4327082 37.4698859)",,
152754088,True,,,,living_street,False,208.9,"LINESTRING (-4.4304161 37.4694648, -4.4302974 37.4693794, -4.4300544 37.469273, -4.4296856 37.469108, -4.4294096 37.4690039, -4.4290765 37.4688694, -4.4288351 37.4687738, -4.4284167 37.468599, -4.428333 37.4685932)",,
150372558,False,2,C-336a,Avenida Fernando Pallarés,tertiary,False,55.159,"LINESTRING (-4.437586 37.4698501, -4.4380865 37.4699363, -4.4381968 37.4699553)",,
150372558,False,2,C-336a,Avenida Fernando Pallarés,tertiary,True,153.203,"LINESTRING (-4.437586 37.4698501, -4.4372167 37.4698391, -4.436518 37.4698936, -4.4358656 37.4699931)",,
150388007,False,,,Avenida González-Meneses,tertiary,True,72.177,"LINESTRING (-4.4346844 37.4712046, -4.4354747 37.4713717)",,
150388007,False,,,Avenida González-Meneses,tertiary,False,72.177,"LINESTRING (-4.4354747 37.4713717, -4.4346844 37.4712046)",,
150388007,False,,,Avenida González-Meneses,tertiary,True,192.97899999999998,"LINESTRING (-4.4354747 37.4713717, -4.4359913 37.4715145, -4.4369352 37.4718735, -4.4374996 37.4720179)",,
150388009,True,,,Calle Romero Merchán,living_street,False,157.21800000000002,"LINESTRING (-4.4354747 37.4713717, -4.4357947 37.4703369, -4.4358656 37.4699931)",,
150388007,False,,,Avenida González-Meneses,tertiary,False,62.25,"LINESTRING (-4.4385053 37.4722602, -4.4378304 37.4720974)",,
150388008,True,,,Calle José de la Peña y Aguayo,tertiary,False,134.493,"LINESTRING (-4.4385053 37.4722602, -4.4386468 37.4710559)",,
150372558,False,2,C-336a,Avenida Fernando Pallarés,tertiary,True,70.271,"LINESTRING (-4.4358656 37.4699931, -4.4350794 37.4700932)",,
150372558,False,2,C-336a,Avenida Fernando Pallarés,tertiary,False,153.203,"LINESTRING (-4.4358656 37.4699931, -4.436518 37.4698936, -4.4372167 37.4698391, -4.437586 37.4698501)",,
150388007,False,,,Avenida González-Meneses,tertiary,False,30.502,"LINESTRING (-4.4378304 37.4720974, -4.4374996 37.4720179)",,
150388007,False,,,Avenida González-Meneses,tertiary,True,62.25,"LINESTRING (-4.4378304 37.4720974, -4.4385053 37.4722602)",,
150372558,False,2,C-336a,Avenida Fernando Pallarés,tertiary,True,52.509,"LINESTRING (-4.4387766 37.4700613, -4.4381968 37.4699553)",,
