osmid,lanes,highway,junction,oneway,reversed,length,geometry,name
42489879,1,secondary,roundabout,True,False,18.999000000000002,"LINESTRING (34.9381816 31.3276484, 34.9382146 31.3276287, 34.9382529 31.3276186, 34.9382746 31.3276174, 34.9382931 31.3276189, 34.9383312 31.3276297, 34.938363 31.3276493)",
713059583,,tertiary,,True,False,37.819,"LINESTRING (34.9381816 31.3276484, 34.9382095 31.3275961, 34.9382244 31.3275429, 34.9382351 31.3274678, 34.9382288 31.3273726, 34.9382266 31.3273157)",מיתר
42489879,1,secondary,roundabout,True,False,15.368,"LINESTRING (34.938176 31.3278041, 34.9381532 31.3277747, 34.9381423 31.3277412, 34.938144 31.327707, 34.9381576 31.3276751)",
713049407,2,secondary,,True,False,199.643,"LINESTRING (34.938176 31.3278041, 34.9380979 31.3277885, 34.938007 31.3277841, 34.9360764 31.3277766)",חברון
42489879,1,secondary,roundabout,True,False,14.241,"LINESTRING (34.9383657 31.3278058, 34.9383362 31.3278254, 34.9383013 31.327837, 34.9382639 31.3278397, 34.9382271 31.3278332)",
190072981,,tertiary,,True,False,38.138999999999996,"LINESTRING (34.9383657 31.3278058, 34.9383402 31.32786, 34.9383209 31.3279224, 34.9383188 31.3279736, 34.9383188 31.3281424)",מיתר
42878742,,residential,,False,False,40.479,"LINESTRING (34.9390864 31.3227906, 34.9395089 31.3228381)",עציון גבר
42878742,,residential,,False,False,188.7,"LINESTRING (34.9403528 31.3229447, 34.9406504 31.3230012, 34.9409812 31.3230819, 34.9413113 31.3231774, 34.9416418 31.3232911, 34.9419851 31.3234118, 34.9422254 31.3235002)",עציון גבר
42878742,,residential,,False,True,81.05199999999999,"LINESTRING (34.9403528 31.3229447, 34.9403028 31.3229352, 34.939981 31.3228912, 34.9395089 31.3228381)",עציון גבר
42777274,,tertiary,,False,False,12.628,"LINESTRING (34.9410672 31.3256545, 34.9410117 31.3257577)",צקלג
42777274,,tertiary,,False,True,52.384,"LINESTRING (34.9410672 31.3256545, 34.9411264 31.3255443, 34.9412974 31.3252264)",צקלג
42895363,,residential,,True,False,285.203,"LINESTRING (34.9410672 31.3256545, 34.9396951 31.3249925, 34.9395375 31.3249143, 34.9394086 31.3248504, 34.9393611 31.3248269, 34.9391586 31.3247176, 34.9390071 31.3246207, 34.938873 31.3245107, 34.938755 31.3244374, 34.9386369 31.3244007, 34.9385685 31.3244014, 34.9384899 31.3244309)",הנעורים
43127971,,residential,,False,True,93.003,"LINESTRING (34.9402054 31.3237176, 34.9398125 31.3244837)",עצמון
43127968,,residential,,False,False,86.95500000000001,"LINESTRING (34.9402054 31.3237176, 34.9401519 31.3237083, 34.9400711 31.3236943, 34.9398611 31.3236723, 34.9392964 31.3236305)",ניצנה
