osmid,oneway,name,highway,reversed,length,lanes,width,geometry,bridge
633541757,False,Olmedo Cedeño,residential,True,68.734,,,"LINESTRING (-79.4911809 -0.8989131, -79.4906574 -0.8992419)",
634039835,False,Avenida 7 de Agosto,primary,False,10.892,2,12,"LINESTRING (-79.4911809 -0.8989131, -79.4912326 -0.8989963)",
634039835,False,Avenida 7 de Agosto,primary,True,56.519,2,12,"LINESTRING (-79.4911809 -0.8989131, -79.4909511 -0.8985288, -79.4909201 -0.8984768)",
633541764,True,Victor Juez,residential,False,82.929,,,"LINESTRING (-79.4903062 -0.896902, -79.4895897 -0.8971093)",
634039435,True,Avenida 7 de Agosto,primary,False,78.393,2,12,"LINESTRING (-79.4903062 -0.896902, -79.4903233 -0.8969679, -79.4904665 -0.8975196, -79.4904833 -0.8975844)",
169313825,False,Rosa Mosquera,residential,True,6.141,2,,"LINESTRING (-79.4897848 -0.8934292, -79.489731 -0.8934417)",
169313825,False,Rosa Mosquera,residential,False,98.8,2,,"LINESTRING (-79.4897848 -0.8934292, -79.4899357 -0.893392, -79.4906464 -0.8932117)",
175335689,True,Avenida 7 de Agosto,primary,False,75.939,2,,"LINESTRING (-79.4897848 -0.8934292, -79.4898274 -0.8937426, -79.4898577 -0.894108)",
634031416,True,Victor Juez,residential,False,63.16,,,"LINESTRING (-79.4895897 -0.8971093, -79.4890274 -0.8971901)",
169310188,True,Mariana Rodriguez,tertiary,False,59.934,,,"LINESTRING (-79.4895897 -0.8971093, -79.4895762 -0.8970127, -79.489515 -0.8965755)",
581288786,False,Gabriel Rivera,residential,True,49.579,,,"LINESTRING (-79.4886745 -0.8960854, -79.4882317 -0.8961381)",
634225713,True,Gabriel Rivera,residential,False,86.422,,,"LINESTRING (-79.4886745 -0.8960854, -79.4894488 -0.8960171)",
169313826,True,Ela Álava,residential,False,56.652,2,,"LINESTRING (-79.4886745 -0.8960854, -79.4885677 -0.8956683, -79.4885538 -0.8955906)",
169310188,True,Mariana Rodriguez,tertiary,False,61.281,,,"LINESTRING (-79.4894488 -0.8960171, -79.4893587 -0.8954734)",
176566015,True,Gabriel Rivera,residential,False,76.123,,,"LINESTRING (-79.4894488 -0.8960171, -79.4901241 -0.8959042)",
581288784,False,Miguel Méndez,residential,False,110.99,2,,"LINESTRING (-79.4875856 -0.8962134, -79.4874758 -0.8952213)",
581288786,False,Gabriel Rivera,residential,False,72.321,,,"LINESTRING (-79.4875856 -0.8962134, -79.4882317 -0.8961381)",
