osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,ref,bridge,tunnel
60202373,Маршала Тита,tertiary,False,True,59.197,,"LINESTRING (19.1525118 44.5150463, 19.1532395 44.5149273)",,,,
60202021,Карла Маркса,residential,False,False,66.852,,"LINESTRING (19.1535606 44.5136434, 19.1527475 44.5138024)",,,,
60202390,Народног фронта,residential,False,False,64.072,2,"LINESTRING (19.1535606 44.5136434, 19.1534077 44.5130776)",,,,
60202390,Народног фронта,residential,False,True,60.019,2,"LINESTRING (19.1535606 44.5136434, 19.15376 44.5141641)",,,,
60202373,Маршала Тита,tertiary,False,False,62.535,,"LINESTRING (19.15401 44.5148072, 19.1532395 44.5149273)",,,,
60202373,Маршала Тита,tertiary,False,True,61.228,,"LINESTRING (19.15401 44.5148072, 19.1547791 44.5148565)",,,,
146791021,Народног фронта,residential,False,False,35.383,,"LINESTRING (19.15401 44.5148072, 19.1541377 44.5151121)",,,,
60202390,Народног фронта,residential,False,False,74.212,2,"LINESTRING (19.15401 44.5148072, 19.1539694 44.5147144, 19.15376 44.5141641)",,,,
60202390,Народног фронта,residential,False,True,64.072,2,"LINESTRING (19.1534077 44.5130776, 19.1535606 44.5136434)",,,,
95236825,Двадесетосме славонске дивизије,residential,True,False,562.2379999999999,,"LINESTRING (19.1534077 44.5130776, 19.1535521 44.5129665, 19.1536774 44.5128675, 19.1537818 44.5127964, 19.1539304 44.5126822, 19.1543592 44.5123234, 19.1546908 44.5121277, 19.1551025 44.5119116, 19.1556456 44.5116303, 19.15588 44.5115162, 19.156143 44.5114305, 19.156406 44.5113857, 19.1568588 44.5113391, 19.1568806 44.5113368, 19.157275 44.5113531, 19.1577553 44.5113939, 19.158111 44.5114241, 19.1583428 44.5114828, 19.1585354 44.5115534, 19.1587422 44.5116487, 19.1588446 44.5117822, 19.1588815 44.5119558, 19.1588089 44.5121825)",40,,,
284307688,Народног фронта,residential,False,False,41.887,,"LINESTRING (19.1534077 44.5130776, 19.1533592 44.512961, 19.1533226 44.5128204, 19.1532511 44.5127206)",,,,
92346929,Маршала Тита,tertiary,False,False,37.663,,"LINESTRING (19.1584988 44.5153741, 19.1583545 44.5153521, 19.158039 44.5152896)",,,,
92346929,Маршала Тита,tertiary,False,True,175.84799999999998,,"LINESTRING (19.1584988 44.5153741, 19.1594039 44.5154792, 19.1602622 44.5155788, 19.1606878 44.5156282)",,,,
95099371,Карађорђева,residential,False,False,345.794,,"LINESTRING (19.1584988 44.5153741, 19.1585831 44.5152912, 19.1589047 44.5152961, 19.1592646 44.5152447, 19.159874 44.5149953, 19.1617271 44.5142941, 19.1623641 44.5140423)",,,,
95099393,Вука Караџића,residential,False,True,256.64,,"LINESTRING (19.1643879 44.5137127, 19.1642518 44.5145602, 19.1640522 44.5160082)",,,,
807092038,Карађорђева,residential,False,True,167.087,,"LINESTRING (19.1643879 44.5137127, 19.163551 44.513728, 19.1626713 44.5139269, 19.1623641 44.5140423)",,,,
95236826,Филипа Кљајића,residential,False,True,97.57900000000001,,"LINESTRING (19.158658 44.513053, 19.1587959 44.5123438, 19.1588089 44.5121825)",,,,
295661441,Филипа Кљајића,tertiary,False,False,253.561,,"LINESTRING (19.158658 44.513053, 19.1585148 44.5136857, 19.1581264 44.5150165, 19.1580774 44.5151696, 19.158039 44.5152896)",,331,,
"[913642884, 913642885, 95099375]",Здравка Машановића,residential,False,True,149.234,,"LINESTRING (19.158658 44.513053, 19.1587176 44.5130688, 19.1588076 44.5130946, 19.1589153 44.5131233, 19.1599032 44.5133148, 19.1604758 44.5133921)",,,yes,
1122007973,Филипа Кљајића,tertiary,False,False,127.927,,"LINESTRING (19.158658 44.513053, 19.1587324 44.5129788, 19.1597495 44.5122068)",,331,,
92346929,Маршала Тита,tertiary,False,False,117.685,,"LINESTRING (19.1621529 44.5157977, 19.1606878 44.5156282)",,,,
92346929,Маршала Тита,tertiary,False,True,152.4,,"LINESTRING (19.1621529 44.5157977, 19.1640522 44.5160082)",,,,
95099379,Првог маја,residential,False,False,151.796,,"LINESTRING (19.1621529 44.5157977, 19.162412 44.5147317, 19.1624187 44.5144485)",,,,
284307748,Првог маја,residential,False,False,47.544,,"LINESTRING (19.1624135 44.5129814, 19.1623383 44.5125572)",,,,
284307748,Првог маја,residential,False,True,78.024,,"LINESTRING (19.1624135 44.5129814, 19.16259 44.5133959, 19.1625647 44.5135016, 19.1624562 44.5136431)",,,,
284307748,Првог маја,residential,False,True,47.544,,"LINESTRING (19.1623383 44.5125572, 19.1624135 44.5129814)",,,,
284307658,Првог маја,residential,False,False,78.717,,"LINESTRING (19.1623383 44.5125572, 19.1620952 44.512416, 19.1619625 44.5122973, 19.1619018 44.512161, 19.161877 44.5120343, 19.1618917 44.5119736)",,,,
