osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,junction,ref
"[75682080, 836881382]",True,1,Првомајска,residential,"['50', '30']",False,171.042,"LINESTRING (19.6654814 46.097622, 19.6654619 46.0975331, 19.6654737 46.0975007, 19.6654926 46.0974666, 19.6659426 46.0968581, 19.6663826 46.0962537, 19.6663939 46.0962381)",,,
713772230,False,5,Максима Горког,secondary,50,False,125.017,"LINESTRING (19.6654814 46.097622, 19.6657149 46.0977313, 19.6667491 46.0982464, 19.666803 46.0982732)",,,
"[835565608, 835565607]",False,3,Штросмајерова,tertiary,50,True,65.903,"LINESTRING (19.6654814 46.097622, 19.6654463 46.0977372, 19.6651866 46.0980132, 19.6650719 46.0981349)",,,
981488181,False,4,Максима Горког,secondary,50,True,40.158,"LINESTRING (19.6654814 46.097622, 19.6653371 46.097567, 19.6650138 46.0974634)",,,
737961587,True,1,Трг синагоге,tertiary,,False,23.226,"LINESTRING (19.6617086 46.1023012, 19.6616361 46.1021954, 19.6615762 46.1021136)",,,
893110612,True,1,,tertiary,,False,16.447,"LINESTRING (19.6617086 46.1023012, 19.6617042 46.1022766, 19.6617082 46.1022519, 19.661727 46.1022202, 19.6617594 46.1021944, 19.661796 46.1021788)",5,roundabout,
75682555,False,,Бошка Вујића,residential,,False,154.2,"LINESTRING (19.6678705 46.1036444, 19.6679449 46.1036684, 19.6696734 46.1042448)",,,
737964768,False,3,Ђуре Ђаковића,tertiary,50,False,113.00399999999999,"LINESTRING (19.6678705 46.1036444, 19.6678541 46.1036764, 19.6673958 46.104567, 19.6673789 46.1046018)",,,
835851524,False,2,Ђуре Ђаковића,tertiary,50,True,76.1,"LINESTRING (19.6678705 46.1036444, 19.6681684 46.1030428, 19.668191 46.1029971)",,,
736307239,False,2,Захарија Орфелина,residential,30,False,29.715,"LINESTRING (19.6667958 46.0976568, 19.6670937 46.0977388, 19.667154 46.0977554)",,,
75683360,True,,Владимира Назора,residential,,False,111.01,"LINESTRING (19.6680679 46.0991081, 19.6680184 46.09929, 19.6680013 46.0993526, 19.667978 46.0994453, 19.6678291 46.1000385, 19.6678159 46.100091)",,,
"[735297101, 75683295]",True,1,Лоле Рибара,residential,50,False,126.40199999999999,"LINESTRING (19.664994 46.0963275, 19.6650235 46.096576, 19.6650148 46.0973731, 19.6650138 46.0974634)",,,
"[75682138, 75683518, 953832743]",True,1,"['Димитрија Туцовића', 'Трг републике']",residential,,False,299.54400000000004,"LINESTRING (19.6618802 46.1021711, 19.661922 46.1021532, 19.6619743 46.1021028, 19.6619931 46.1020795, 19.6632593 46.1005114, 19.6632844 46.1004801, 19.6633136 46.1004444, 19.6628649 46.1001401, 19.6627593 46.100042, 19.6627092 46.1000095, 19.6626531 46.0999853, 19.6625925 46.0999666)",,,
893110609,True,1,,tertiary,,False,22.143,"LINESTRING (19.6618802 46.1021711, 19.6619211 46.1021797, 19.661957 46.1021957, 19.6619893 46.1022227, 19.662007 46.1022553, 19.6620085 46.1022903, 19.6619935 46.1023237)",5,roundabout,
75683005,False,,Панчевачка,residential,,False,50.53,"LINESTRING (19.6659336 46.1031473, 19.6658745 46.1031271, 19.665364 46.1029525, 19.6653458 46.1029463)",,,
75683005,False,,Панчевачка,residential,,True,72.363,"LINESTRING (19.6659336 46.1031473, 19.6659806 46.1031642, 19.6667388 46.1034373, 19.6667665 46.1034473)",,,
