osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,width,bridge,junction
1239036649,21,Јездимира Ловића,primary,False,False,33.977,,,"LINESTRING (19.9972937 43.2753914, 19.997266 43.2756963)",,,
151609417,29,Браће Чоловића,primary,False,False,229.486,2,40,"LINESTRING (19.9972937 43.2753914, 19.9973517 43.2753646, 19.9974036 43.2753497, 19.9974473 43.2753388, 19.9974848 43.27533, 19.9975561 43.2753181, 19.9976213 43.2753107, 19.9977081 43.2753056, 19.9978084 43.2753054, 19.9978812 43.2753076, 19.9979787 43.2753143, 19.9980301 43.2753196, 19.9980908 43.2753271, 19.9981638 43.2753403, 19.9982399 43.2753557, 19.9983168 43.2753745, 19.9983857 43.2753934, 19.9985124 43.2754279, 19.9994607 43.2757106, 19.9996229 43.2757552, 19.999756 43.2757919, 19.9998819 43.275832, 19.9999653 43.2758598)",,,
"[344143554, 1196100778]",201,Краља Петра првог,secondary,False,True,107.08399999999997,2,50,"LINESTRING (19.9972937 43.2753914, 19.9973122 43.275305, 19.9973162 43.2752797, 19.9973283 43.2752117, 19.997337 43.2751764, 19.9973501 43.2751284, 19.9973701 43.2750662, 19.9973837 43.2750225, 19.9973961 43.2749914, 19.9974244 43.2749263, 19.997459 43.2748578, 19.9974819 43.274817, 19.9975098 43.2747787, 19.9975607 43.2747192, 19.9976039 43.2746732, 19.9976415 43.2746364, 19.9976885 43.2745975, 19.9977346 43.2745602, 19.9977869 43.2745229)",,,
1196100780,29,Пријепољска,primary,False,False,51.808,2,50,"LINESTRING (19.9972937 43.2753914, 19.9970117 43.2755496, 19.9967941 43.2756824)",,,
344143554,201,Краља Петра првог,secondary,False,False,38.932,2,50,"LINESTRING (19.9982302 43.2744032, 19.9980598 43.2744291, 19.9980038 43.2744372, 19.9979768 43.2744411, 19.9979143 43.2744585, 19.9978534 43.2744859, 19.9977869 43.2745229)",,,
344143554,201,Краља Петра првог,secondary,False,True,72.363,2,50,"LINESTRING (19.9982302 43.2744032, 19.9983938 43.2743792, 19.9985584 43.2743554, 19.9986415 43.2743406, 19.9986768 43.2743343, 19.9987017 43.2743296, 19.9987774 43.2743153, 19.9988766 43.2742956, 19.9989353 43.2742812, 19.9989788 43.2742564, 19.9989984 43.2742325, 19.9990082 43.2742161, 19.9990244 43.2741813)",,,
694410064,,,residential,False,False,82.00999999999999,,,"LINESTRING (19.9982302 43.2744032, 19.9983921 43.2749453, 19.9984219 43.2749624, 19.9984581 43.2749686, 19.9986327 43.2749531)",,,
291867038,,,residential,False,True,75.375,,,"LINESTRING (20.0021294 43.2729279, 20.0021919 43.2730847, 20.0022224 43.2731346, 20.0022653 43.2731844, 20.0023046 43.2732204, 20.0023685 43.2732655, 20.0024477 43.2733065, 20.0025415 43.2733485, 20.0026341 43.2733827, 20.002717 43.2734036)",3,,
344252325,,Ивана Васојевића Васкета,residential,True,False,73.987,,,"LINESTRING (20.0038956 43.272615, 20.0041025 43.2732631)",,,
400295595,,Рифата Бурџовића Трше,secondary,False,False,32.044,2,40,"LINESTRING (20.0038956 43.272615, 20.0041015 43.2725686, 20.0042737 43.2725298)",,,
400295595,,Рифата Бурџовића Трше,secondary,False,True,86.812,2,40,"LINESTRING (20.0038956 43.272615, 20.0035474 43.2726806, 20.0034825 43.2726917, 20.0031212 43.2727533, 20.0028534 43.2727984)",,,
231680818,201,Краља Петра првог,secondary,False,False,49.488,2,50,"LINESTRING (19.9987529 43.27341, 19.998824 43.2735936, 19.9988683 43.2737088, 19.9989118 43.2738397)",,,
231680818,201,Краља Петра првог,secondary,False,True,24.311999999999998,2,50,"LINESTRING (19.9987529 43.27341, 19.9986953 43.2732606, 19.9986722 43.2731994)",,,
231680865,,Балканска,residential,False,False,92.56,,,"LINESTRING (19.9987529 43.27341, 19.9989995 43.2733333, 19.9993285 43.2732439, 19.9995249 43.2731844, 19.9997225 43.2731178, 19.999807 43.2730887)",,,
"[231680818, 1196100779]",201,Краља Петра првог,secondary,False,False,39.125,2,50,"LINESTRING (19.9989118 43.2738397, 19.9989467 43.2739329, 19.9989709 43.2739921, 19.9989809 43.2740164, 19.9989858 43.2740305, 19.9989957 43.2740593, 19.9990138 43.2741233, 19.9990205 43.2741526, 19.9990244 43.2741813)",,,
231680818,201,Краља Петра првог,secondary,False,True,49.488,2,50,"LINESTRING (19.9989118 43.2738397, 19.9988683 43.2737088, 19.998824 43.2735936, 19.9987529 43.27341)",,,
"[231680889, 1239127631]",,Каћевски сокак,residential,False,True,88.513,,,"LINESTRING (19.9989118 43.2738397, 19.9988344 43.2738526, 19.998747 43.273875, 19.9986736 43.2738899, 19.9986215 43.2738977, 19.9985793 43.2738924, 19.9983653 43.2737947, 19.9982373 43.273721, 19.998077 43.273638, 19.9979708 43.2735755)",,,
231680828,,Луја Пастера,residential,False,False,67.66799999999999,,,"LINESTRING (19.9977869 43.2745229, 19.9976947 43.2744943, 19.9976615 43.2744807, 19.9976145 43.2744712, 19.9975539 43.2744671, 19.9975009 43.2744712, 19.9973955 43.2744806, 19.9973016 43.2744939, 19.99722 43.2745073, 19.997097 43.2745317, 19.9969816 43.2745596)",,,
"[1196100778, 344143554]",201,Краља Петра првог,secondary,False,False,107.08399999999999,2,50,"LINESTRING (19.9977869 43.2745229, 19.9977346 43.2745602, 19.9976885 43.2745975, 19.9976415 43.2746364, 19.9976039 43.2746732, 19.9975607 43.2747192, 19.9975098 43.2747787, 19.9974819 43.274817, 19.997459 43.2748578, 19.9974244 43.2749263, 19.9973961 43.2749914, 19.9973837 43.2750225, 19.9973701 43.2750662, 19.9973501 43.2751284, 19.997337 43.2751764, 19.9973283 43.2752117, 19.9973162 43.2752797, 19.9973122 43.275305, 19.9972937 43.2753914)",,,
344143554,201,Краља Петра првог,secondary,False,True,38.932,2,50,"LINESTRING (19.9977869 43.2745229, 19.9978534 43.2744859, 19.9979143 43.2744585, 19.9979768 43.2744411, 19.9980038 43.2744372, 19.9980598 43.2744291, 19.9982302 43.2744032)",,,
"[445731210, 1196100780]",29,Пријепољска,primary,False,False,187.54399999999998,2,50,"LINESTRING (19.9967941 43.2756824, 19.9966017 43.2758076, 19.9964737 43.2758698, 19.9963599 43.2759217, 19.9962079 43.2759852, 19.9960664 43.2760462, 19.9959038 43.2761136, 19.9957659 43.2761681, 19.9956482 43.2762113, 19.9955377 43.2762493, 19.9954342 43.2762822, 19.9953343 43.2763125, 19.9951336 43.2763687, 19.994947 43.2764145, 19.9947591 43.2764634)",,,
1196100780,29,Пријепољска,primary,False,True,51.808,2,50,"LINESTRING (19.9967941 43.2756824, 19.9970117 43.2755496, 19.9972937 43.2753914)",,,
1239124853,,,residential,False,True,38.892,,,"LINESTRING (19.9967941 43.2756824, 19.9969027 43.2756849, 19.9969606 43.2756835, 19.997016 43.2756812, 19.9970821 43.2756753, 19.997134 43.2756709, 19.9972018 43.2756732, 19.997266 43.2756963)",,,
1239036649,21,Јездимира Ловића,primary,False,True,33.977,,,"LINESTRING (19.997266 43.2756963, 19.9972937 43.2753914)",,,
