osmid,lanes,highway,maxspeed,width,junction,oneway,reversed,length,geometry,name,bridge,ref,tunnel,access
913782495,2,primary,30,7,roundabout,True,False,8.11,"LINESTRING (19.8448019 43.8523647, 19.8448351 43.8523686, 19.844867 43.8523766, 19.8448965 43.8523884)",,,,,
"[170010802, 923052563, 65636237, 170010830]",2,tertiary,50,,,False,False,71.32799999999999,"LINESTRING (19.8385906 43.8551865, 19.8385814 43.8552006, 19.8385788 43.8552144, 19.8385788 43.8552325, 19.8385818 43.855246, 19.8385872 43.8552595, 19.8386022 43.8552842, 19.8387916 43.8555251, 19.8388668 43.8556205, 19.8388805 43.8556414, 19.8389047 43.8556785, 19.8389228 43.8557129, 19.838943 43.8557624)",Међај,yes,,,
65774395,2,residential,50,3.8,,False,True,106.23700000000001,"LINESTRING (19.8385906 43.8551865, 19.8385526 43.8551742, 19.8385198 43.8551587, 19.8384869 43.855138, 19.8383843 43.855064, 19.8383625 43.8550501, 19.8383434 43.8550379, 19.8383106 43.855019, 19.8382737 43.8550004, 19.8382401 43.8549847, 19.8382063 43.8549707, 19.838152 43.854952, 19.838104 43.8549373, 19.8380661 43.854927, 19.8379342 43.8548914, 19.837858 43.8548708, 19.8378214 43.8548609, 19.8377788 43.8548471, 19.8377678 43.8548431, 19.8377399 43.8548328, 19.8377057 43.8548186, 19.8376075 43.8547712, 19.8374643 43.8547018)",Међај,,,,
712141585,2,tertiary,50,,,False,True,128.437,"LINESTRING (19.8385906 43.8551865, 19.8386039 43.855175, 19.8386185 43.855166, 19.8386328 43.8551594, 19.8387156 43.8551263, 19.8387967 43.8550952, 19.8388279 43.855079, 19.8388503 43.8550659, 19.8388695 43.8550516, 19.8388839 43.8550383, 19.8388996 43.8550217, 19.838912 43.8550079, 19.8390153 43.8548672, 19.8390359 43.8548376, 19.8390589 43.8548037, 19.8391236 43.8547048, 19.8391484 43.8546634, 19.8391843 43.8545977, 19.8392018 43.8545651, 19.8392143 43.8545367, 19.8392228 43.8545132, 19.8392379 43.8544692, 19.8392464 43.8544372, 19.8392531 43.8544031, 19.8392681 43.8542778, 19.8392741 43.8542545, 19.8392856 43.8542318, 19.839305 43.8542081)",Међај,,,,
890255259,1,primary,50,,,True,False,12.176,"LINESTRING (19.838943 43.8557624, 19.8390548 43.8556883)",Омладинска,,28,,
890797033,2,tertiary,50,,,False,True,7.604,"LINESTRING (19.838943 43.8557624, 19.8389639 43.8558291)",Страхињића Бана,,339,,
"[170010802, 923052563, 65636237, 170010830]",2,tertiary,50,,,False,True,71.32800000000002,"LINESTRING (19.838943 43.8557624, 19.8389228 43.8557129, 19.8389047 43.8556785, 19.8388805 43.8556414, 19.8388668 43.8556205, 19.8387916 43.8555251, 19.8386022 43.8552842, 19.8385872 43.8552595, 19.8385818 43.855246, 19.8385788 43.8552325, 19.8385788 43.8552144, 19.8385814 43.8552006, 19.8385906 43.8551865)",Међај,yes,,,
156296546,2,residential,30,,,False,True,96.04,"LINESTRING (19.8394414 43.8552479, 19.8394944 43.8552598, 19.8395367 43.8552677, 19.8395655 43.8552707, 19.8395899 43.8552714, 19.8396822 43.8552683, 19.8397493 43.8552624, 19.8397717 43.8552584, 19.8397958 43.855254, 19.8398547 43.8552399, 19.8399687 43.8552006, 19.8400226 43.8551827, 19.8404957 43.8550267, 19.8405586 43.855006)",Вуколе Дабића,,,,
742669958,3,primary,50,,,False,True,58.463,"LINESTRING (19.8394414 43.8552479, 19.8394223 43.8553004, 19.8394126 43.8553198, 19.8394036 43.8553348, 19.8393781 43.8553681, 19.8393197 43.8554363, 19.8392621 43.8554966, 19.8390847 43.8556625, 19.8390699 43.8556755, 19.8390548 43.8556883)",Омладинска,,28,,
"[65635865, 1017600444, 937811845, 937811846]",2,primary,50,,,False,False,114.29399999999998,"LINESTRING (19.8394414 43.8552479, 19.8394901 43.8551307, 19.839543 43.8550098, 19.8395625 43.8549673, 19.839586 43.8549228, 19.8396396 43.8548372, 19.839661 43.8548077, 19.8396865 43.8547768, 19.8397113 43.8547506, 19.8397422 43.8547211, 19.8398106 43.8546651, 19.8398703 43.8546225, 19.8399108 43.8545974, 19.8399574 43.8545727, 19.8400003 43.8545514, 19.8400446 43.8545321, 19.8401013 43.8545113, 19.8401492 43.8544956, 19.8402042 43.8544803, 19.8402538 43.8544678)",Омладинска,,28,,
