osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,maxspeed
"[231932540, 97567821, 23150653]",4,39,Булевар ослобођења,primary,False,False,105.594,yes,"LINESTRING (21.9430177 42.9962871, 21.9438413 42.9963067, 21.9442213 42.9963062, 21.9443156 42.9963042)",
97308679,,,Јужноморавских бригада,tertiary,False,False,78.001,,"LINESTRING (21.9430177 42.9962871, 21.9429857 42.9963583, 21.9429682 42.9964054, 21.9429494 42.9964345, 21.942917 42.9964751, 21.9424902 42.9968638)",
97460026,2,39,Раде Кончара,primary,True,False,91.32499999999999,,"LINESTRING (21.9430177 42.9962871, 21.9427711 42.9962729, 21.942586 42.9962426, 21.9424827 42.9962101, 21.9423513 42.996164, 21.9419913 42.9959951)",
"[738539420, 23150628]",,39,Јужноморавских бригада,primary,False,True,194.45900000000003,,"LINESTRING (21.9430177 42.9962871, 21.9433661 42.995046, 21.9434658 42.9947074, 21.9435252 42.9945791)",
97308680,,,Ивана Милутиновића,residential,False,False,96.752,,"LINESTRING (21.9442218 42.9980389, 21.9442963 42.9989073)",
97308680,,,Ивана Милутиновића,residential,False,True,31.054,,"LINESTRING (21.9442218 42.9980389, 21.9442129 42.9977597)",
232243935,,,Максима Горког,residential,False,False,161.779,,"LINESTRING (21.9442218 42.9980389, 21.9461511 42.9983935)",
"[738539420, 23150628]",,39,Јужноморавских бригада,primary,False,False,194.459,,"LINESTRING (21.9435252 42.9945791, 21.9434658 42.9947074, 21.9433661 42.995046, 21.9430177 42.9962871)",
"[97567818, 232243947, 97898876, 97898826]",2,,"['Стојана Љубића', 'Трг ЈНА']",tertiary,False,False,222.23300000000003,yes,"LINESTRING (21.9435252 42.9945791, 21.9439705 42.9946934, 21.9443153 42.9948039, 21.944363 42.9948228, 21.9444213 42.994837, 21.9444528 42.994831, 21.9444689 42.9948139, 21.9445058 42.9946269, 21.9445373 42.9945426, 21.9445711 42.9944958, 21.944603 42.9944651, 21.9446489 42.9944402, 21.944713 42.994421, 21.9447805 42.9944142, 21.9448873 42.9944092, 21.9456552 42.9944107, 21.9457903 42.994411)",50
97567820,,,Светоилијска,tertiary,False,False,164.579,,"LINESTRING (21.9435252 42.9945791, 21.9436495 42.9944916, 21.9436951 42.9944426, 21.9437166 42.9943994, 21.9437259 42.9943415, 21.9437359 42.9942688, 21.9437897 42.9931522)",
738539421,3,39,Трг ЈНА,primary,False,True,72.774,,"LINESTRING (21.9435252 42.9945791, 21.9432064 42.9945262, 21.9426535 42.9944314)",50
97308680,,,Ивана Милутиновића,residential,False,False,88.638,,"LINESTRING (21.9443156 42.9963042, 21.9442754 42.9971008)",
"[23150653, 231932540, 97567821]",4,39,Булевар ослобођења,primary,False,True,105.594,yes,"LINESTRING (21.9443156 42.9963042, 21.9442213 42.9963062, 21.9438413 42.9963067, 21.9430177 42.9962871)",
"[738539418, 738539419]",4,39,Булевар ослобођења,primary,False,False,298.245,,"LINESTRING (21.9443156 42.9963042, 21.9453931 42.9963078, 21.9459359 42.9963158, 21.9479826 42.9963281)",
299066554,,,Бранислава Нушића,residential,False,False,153.35899999999998,,"LINESTRING (21.9411277 42.9955754, 21.9415265 42.9948565, 21.9417827 42.9944033, 21.9418375 42.9942977)",
98037506,,,Косте Стаменковића,tertiary,False,False,70.634,,"LINESTRING (21.9480271 42.995328, 21.9480338 42.9952689, 21.948065 42.9948213, 21.9480693 42.9946936)",
98037506,,,Косте Стаменковића,tertiary,False,True,111.27,,"LINESTRING (21.9480271 42.995328, 21.948022 42.9953961, 21.9479901 42.9962218, 21.9479826 42.9963281)",
725956994,,,Моше Пијаде,residential,False,False,87.36399999999999,,"LINESTRING (21.9480271 42.995328, 21.9481503 42.9953287, 21.9491013 42.9953291)",
97567822,2,,Стојана Љубића,tertiary,False,False,187.29899999999998,,"LINESTRING (21.9457903 42.994411, 21.9466869 42.994414, 21.948093 42.9943953)",
