osmid,lanes,name,highway,oneway,reversed,length,geometry,width,tunnel,junction
636915469,3,Књаза Милоша,secondary,False,True,41.066,"LINESTRING (22.5871395 43.1583903, 22.5875343 43.1586215)",,,
616680858,2,Књаза Милоша,secondary,False,False,133.466,"LINESTRING (22.5871395 43.1583903, 22.5870015 43.1583319, 22.5860883 43.1579452, 22.5857164 43.1577878)",,,
"[182941827, 636915470]","['2', '3']",Саве Ковачевића,residential,False,True,134.753,"LINESTRING (22.5871395 43.1583903, 22.5871986 43.1583247, 22.5872301 43.1582898, 22.5874091 43.1580911, 22.5881438 43.1576006, 22.5882774 43.1575187)",,,
293549335,2,Лава Толстоја,tertiary,False,False,67.148,"LINESTRING (22.5832639 43.1567545, 22.5825324 43.1564718)",,,
293549335,2,Лава Толстоја,tertiary,False,True,61.981,"LINESTRING (22.5832639 43.1567545, 22.5838007 43.1569927, 22.5838475 43.1570135, 22.5839167 43.1570442)",,,
293549336,1,Јеврејска,residential,True,False,211.67700000000002,"LINESTRING (22.5832639 43.1567545, 22.5832951 43.1566859, 22.5840624 43.1550009, 22.5840865 43.1549479)",3,,
"[636915473, 252291148]","['2', '3']",Српских владара,secondary,False,False,106.96400000000001,"LINESTRING (22.5830854 43.1577906, 22.5834261 43.1575023, 22.5837574 43.1571929, 22.5838428 43.1571132, 22.5839167 43.1570442)",,,
637117399,3,Војводе Мишића,tertiary,False,False,31.777,"LINESTRING (22.5830854 43.1577906, 22.5829376 43.1579354, 22.5829101 43.1579624, 22.5828514 43.1580198)",,,
"[637117400, 616712658, 944716195]","['2', '3']",Српских владара,secondary,False,False,103.711,"LINESTRING (22.5830854 43.1577906, 22.5829032 43.1577989, 22.5826094 43.1578122, 22.58181 43.1578561)",,,
293549335,2,Лава Толстоја,tertiary,False,False,61.981,"LINESTRING (22.5839167 43.1570442, 22.5838475 43.1570135, 22.5838007 43.1569927, 22.5832639 43.1567545)",,,
636915471,3,Књаза Милоша,secondary,False,True,63.653,"LINESTRING (22.5839167 43.1570442, 22.5839942 43.1570765, 22.5840326 43.1570925, 22.5845982 43.157328)",10,,
"[636915472, 356259750]","['2', '3']",Српских владара,secondary,False,False,183.22,"LINESTRING (22.5839167 43.1570442, 22.5840198 43.1569478, 22.5840715 43.1568995, 22.5842289 43.1567523, 22.5846071 43.1564117, 22.5846999 43.1563218, 22.5852693 43.1557703, 22.5852992 43.1557414)",,,
"[636915473, 252291148]","['2', '3']",Српских владара,secondary,False,True,106.96400000000001,"LINESTRING (22.5839167 43.1570442, 22.5838428 43.1571132, 22.5837574 43.1571929, 22.5834261 43.1575023, 22.5830854 43.1577906)",,,
356259750,2,Српских владара,secondary,False,False,47.525,"LINESTRING (22.5877203 43.1531456, 22.5878809 43.1529761, 22.5880534 43.152794)",,,
356259750,2,Српских владара,secondary,False,True,132.221,"LINESTRING (22.5877203 43.1531456, 22.5875477 43.1533355, 22.5869458 43.1539977, 22.5868195 43.1541366)",,,
"[341054984, 637112692]","['2', '3']",Драгољуба Миленковића,residential,False,False,207.97500000000002,"LINESTRING (22.5877203 43.1531456, 22.5876467 43.1531033, 22.5873829 43.1529517, 22.5872468 43.1528772, 22.586518 43.1524875, 22.5858013 43.1521049, 22.5856548 43.1520386)",,,
"[293549333, 637112695]",2,Војводе Степе,residential,False,False,74.235,"LINESTRING (22.5852992 43.1557414, 22.58525 43.1556994, 22.5849774 43.1554664, 22.5846968 43.1552389)",,,
356259750,2,Српских владара,secondary,False,False,154.80900000000003,"LINESTRING (22.5852992 43.1557414, 22.5857058 43.1553477, 22.585726 43.1553278, 22.5857711 43.1552836, 22.5858518 43.1551934, 22.5862272 43.1547732, 22.5862693 43.1547257, 22.5863836 43.1545967)",,,
"[636915472, 356259750]","['2', '3']",Српских владара,secondary,False,True,183.22,"LINESTRING (22.5852992 43.1557414, 22.5852693 43.1557703, 22.5846999 43.1563218, 22.5846071 43.1564117, 22.5842289 43.1567523, 22.5840715 43.1568995, 22.5840198 43.1569478, 22.5839167 43.1570442)",,,
636915469,3,Књаза Милоша,secondary,False,False,41.066,"LINESTRING (22.5875343 43.1586215, 22.5871395 43.1583903)",,,
435810656,2,Славонска,residential,True,False,76.27900000000001,"LINESTRING (22.5875343 43.1586215, 22.5874746 43.158698, 22.5872511 43.1589844, 22.5871396 43.159113, 22.5870413 43.1592045)",,,
182941686,2,Вука Караџића,residential,False,False,7.019,"LINESTRING (22.5882064 43.1549806, 22.5882766 43.1550175)",,,
183922125,1,Вука Караџића,residential,True,False,146.522,"LINESTRING (22.5882064 43.1549806, 22.588169 43.1549586, 22.587612 43.154631, 22.5869298 43.1542054, 22.5868195 43.1541366)",,,
356550917,1,Ћирила и Методија,residential,True,False,44.916000000000004,"LINESTRING (22.5882064 43.1549806, 22.5882711 43.1549171, 22.5885367 43.1546564)",5.5,,
