osmid,highway,oneway,reversed,length,geometry,name,bridge,junction,maxspeed
23034593,tertiary,False,False,37.778,"LINESTRING (29.1548932 40.4290592, 29.1553391 40.4290444)",,,,
203285745,tertiary_link,False,True,56.189,"LINESTRING (29.1548932 40.4290592, 29.1546964 40.4295418)",,,,
203285745,tertiary_link,False,False,140.032,"LINESTRING (29.1548932 40.4290592, 29.1550497 40.4285919, 29.1551762 40.4278208)",,,,
23034593,tertiary,False,True,54.959,"LINESTRING (29.1559884 40.4290461, 29.1553391 40.4290444)",,,,
458032454,tertiary,False,False,17.102,"LINESTRING (29.1559884 40.4290461, 29.1561903 40.4290402)",Orhangazi Caddesi,,,
458041450,tertiary,False,False,70.207,"LINESTRING (29.1559884 40.4290461, 29.1560024 40.4296774)",İstiklal Caddesi,,,
458041450,tertiary,False,True,137.947,"LINESTRING (29.1559884 40.4290461, 29.1558852 40.427808)",İstiklal Caddesi,,,
23034725,residential,False,False,36.281,"LINESTRING (29.1591656 40.425757, 29.1589581 40.4260425)",,,,
260913520,tertiary,False,False,76.478,"LINESTRING (29.1591656 40.425757, 29.159996 40.426028)",Şehit Toygun Aydemir Sokak,,,
23034725,residential,False,False,12.754,"LINESTRING (29.1589581 40.4260425, 29.1588328 40.4261062)",,,,
23034725,residential,False,True,36.281,"LINESTRING (29.1589581 40.4260425, 29.1591656 40.425757)",,,,
458042911,residential,False,False,86.658,"LINESTRING (29.1589581 40.4260425, 29.1594626 40.4263554, 29.1595489 40.4264304, 29.1596012 40.4266103)",,,,
23034725,residential,False,False,45.084,"LINESTRING (29.1583706 40.4262344, 29.1578625 40.426356)",,,,
260913519,residential,False,True,58.395,"LINESTRING (29.1583706 40.4262344, 29.1584399 40.4267569)",,,,
23034725,residential,False,True,41.852999999999994,"LINESTRING (29.1583706 40.4262344, 29.1587358 40.42615, 29.1588328 40.4261062)",,,,
458042916,residential,False,True,44.405,"LINESTRING (29.1573088 40.4265415, 29.1576021 40.4268726)",,,,
23034725,residential,False,False,37.911,"LINESTRING (29.1573088 40.4265415, 29.1571181 40.426686, 29.1569898 40.4267808)",,,,
23034725,residential,False,True,51.248999999999995,"LINESTRING (29.1573088 40.4265415, 29.1577822 40.4263758, 29.1578625 40.426356)",,,,
