osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed,access
181551102,False,4,Mustafa Kemal Atatürk Caddesi,primary,False,85.248,"LINESTRING (30.5131409 39.7734086, 30.5137078 39.7727778)",,,
181551102,False,4,Mustafa Kemal Atatürk Caddesi,primary,True,31.797,"LINESTRING (30.5131409 39.7734086, 30.5129172 39.7736371)",,,
213164435,False,,Altınışık Sokak,residential,False,125.673,"LINESTRING (30.5236993 39.7751037, 30.5233842 39.774998, 30.5230123 39.7748936, 30.5228988 39.7748851, 30.5226538 39.7749159, 30.5222998 39.7749946)",,,
439470068,True,,Yunus Emre Caddesi,secondary,False,45.42,"LINESTRING (30.5236993 39.7751037, 30.523795 39.7748079, 30.5238724 39.774723)",yes,,
137088661,False,,Sümer Sokak,residential,False,67.568,"LINESTRING (30.524001 39.7762107, 30.5239682 39.7762211, 30.5237135 39.7762667, 30.5235392 39.7762979, 30.5234746 39.7763094, 30.5234607 39.7763119, 30.5233258 39.776336, 30.5232327 39.7763527)",,,
443001154,True,,Hasan Polatkan Caddesi,secondary,False,33.769999999999996,"LINESTRING (30.524001 39.7762107, 30.5239751 39.7761058, 30.5239518 39.7760215, 30.5238957 39.7759195)",,,
137739419,False,,Çınarcık Sokak,unclassified,True,55.173,"LINESTRING (30.5160734 39.7756998, 30.5156004 39.7760375)",,,
305177241,True,,Şair Fuzuli Caddesi,secondary,False,106.347,"LINESTRING (30.5160734 39.7756998, 30.5152345 39.7749934)",,,
137739256,False,,Çınar Sokak,residential,False,81.922,"LINESTRING (30.5160734 39.7756998, 30.5166883 39.7752479, 30.5167686 39.7751926)",,,
56681582,False,,Çınarcık Sokak,residential,False,11.354,"LINESTRING (30.5156004 39.7760375, 30.5154987 39.7761032)",,,
137739419,False,,Çınarcık Sokak,unclassified,False,55.173,"LINESTRING (30.5156004 39.7760375, 30.5160734 39.7756998)",,,
138227800,False,,Adalar Sokak,residential,False,90.155,"LINESTRING (30.5156004 39.7760375, 30.5148849 39.7754417)",,,
138227800,False,,Adalar Sokak,residential,True,65.864,"LINESTRING (30.5156004 39.7760375, 30.5161674 39.7764387)",,,
305177241,True,,Şair Fuzuli Caddesi,secondary,False,105.489,"LINESTRING (30.5175258 39.7767501, 30.5174639 39.7767061, 30.5170796 39.7764423, 30.5166147 39.7761101)",,,
