osmid,oneway,highway,reversed,length,geometry,name,maxspeed,junction,lanes,bridge,ref
37929504,True,secondary_link,False,33.163,"LINESTRING (27.1712293 38.4621517, 27.1711071 38.462117, 27.1709526 38.4621103, 27.1708581 38.4621242)",,,,,,
870915617,True,primary,False,13.030999999999999,"LINESTRING (27.1712293 38.4621517, 27.1711707 38.4621153, 27.1711281 38.4620671)",Smyrna Meydanı,30,roundabout,,,
37626697,True,secondary,False,75.725,"LINESTRING (27.1715974 38.4620494, 27.1718469 38.4622376, 27.1721068 38.4623759, 27.1722973 38.4624433)",Yüzbaşı İbrahim Hakkı Caddesi,50,,,,
732726166,True,primary,False,38.478,"LINESTRING (27.1715974 38.4620494, 27.1715522 38.4621089, 27.1714839 38.4621528, 27.1714006 38.462176, 27.1713123 38.4621756, 27.1712293 38.4621517)",Smyrna Meydanı,30,roundabout,,,
496422944,True,secondary,False,34.49,"LINESTRING (27.1682138 38.4649188, 27.1681779 38.4652277)",Şehit Hakan Uysal Sokağı,50,,,,
256759511,True,secondary,False,13.848,"LINESTRING (27.1682138 38.4649188, 27.1681501 38.4649356, 27.1680602 38.4649209)",,20,roundabout,,,
32929916,True,primary_link,False,225.049,"LINESTRING (27.169197 38.4613403, 27.1690843 38.4613276, 27.1689716 38.4613092, 27.1686366 38.4612033, 27.1682921 38.4610814, 27.1680952 38.4610024, 27.1674576 38.4607693, 27.1668378 38.4605292)",1898/1. Sokak,50,,,,
"[389448536, 32930469]",True,primary,False,286.924,"LINESTRING (27.169197 38.4613403, 27.1673662 38.4606186, 27.1662515 38.4601833)","['Adnan Kahveci Köprülü Kavşağı', 'Nursultan Nazarbayev Caddesi']","['40', '30']",,"['2', '3']",yes,
"[32930473, 389448533]",True,primary_link,False,68.121,"LINESTRING (27.1657525 38.4601187, 27.1656218 38.4601604, 27.1655219 38.4602146, 27.1654493 38.4602814, 27.1654148 38.4603475, 27.1653877 38.4604409, 27.1653778 38.4604993, 27.1653853 38.4605735, 27.1653934 38.4605911)",Adnan Kahveci Köprülü Kavşağı,40,,2,yes,
"[587539400, 1003196067, 827847358]",True,primary,False,267.206,"LINESTRING (27.1657525 38.4601187, 27.1656191 38.4601301, 27.1655326 38.4601518, 27.1654438 38.4601852, 27.165364 38.4602203, 27.1652571 38.460292, 27.1651467 38.4604237, 27.1650427 38.4605982, 27.1649416 38.4607669, 27.1647425 38.4611143, 27.1642139 38.4620799)",,50,,1,yes,
24728138,True,primary,False,129.66299999999998,"LINESTRING (27.1705672 38.4617951, 27.1698181 38.4615261, 27.1692863 38.4613718, 27.169197 38.4613403)",Nursultan Nazarbayev Caddesi,30,,3,,
23615345,True,primary,False,40.275999999999996,"LINESTRING (27.1712218 38.4618081, 27.1713124 38.4618, 27.1713991 38.4617999, 27.1714574 38.4618073, 27.1715261 38.4618295, 27.1715746 38.4618744, 27.1716062 38.4619287)",Smyrna Meydanı,30,roundabout,,,
32929928,True,primary,False,149.15300000000002,"LINESTRING (27.1712218 38.4618081, 27.1714754 38.461737, 27.1717335 38.4616492, 27.17195 38.4614792, 27.1722333 38.4612373, 27.1725174 38.4609778)",Manas Bulvarı,50,,,,
256759508,False,secondary,True,18.438,"LINESTRING (27.1711397 38.4618728, 27.1709991 38.4619968)",Prof. Dr. Ekrem Akurga Caddesi,50,,,,
732726165,True,primary,False,10.21,"LINESTRING (27.1711397 38.4618728, 27.171176 38.4618367, 27.1712218 38.4618081)",Smyrna Meydanı,30,roundabout,,,
732726167,True,primary,False,13.602,"LINESTRING (27.1716062 38.4619287, 27.1716137 38.4619896, 27.1715974 38.4620494)",Smyrna Meydanı,30,roundabout,,,
32882849,True,secondary,False,34.235,"LINESTRING (27.1726398 38.462712, 27.1722871 38.4625759)",Yüzbaşı İbrahim Hakkı Caddesi,50,,,,
