osmid,ref,highway,oneway,reversed,length,name,geometry,junction
219508445,,residential,False,True,133.96699999999998,,"LINESTRING (40.6657659 37.8452365, 40.6656962 37.8447861, 40.6655001 37.8440512)",
219510547,,residential,False,False,53.644,,"LINESTRING (40.6677569 37.8469909, 40.6678404 37.8474688)",
219510547,,residential,False,True,77.849,,"LINESTRING (40.6677569 37.8469909, 40.6677139 37.84655, 40.6676492 37.8462972)",
219510547,,residential,False,False,55.251,,"LINESTRING (40.6672819 37.8446821, 40.6674123 37.8451682)",
219510547,,residential,False,True,57.757000000000005,,"LINESTRING (40.6672819 37.8446821, 40.6670643 37.8442755, 40.6669997 37.8442165)",
219511624,,residential,False,True,31.085,,"LINESTRING (40.6672819 37.8446821, 40.6674155 37.8446777, 40.6676344 37.8446973)",
219510547,,residential,False,True,53.644,,"LINESTRING (40.6678404 37.8474688, 40.6677569 37.8469909)",
219508288,,residential,False,False,57.053,,"LINESTRING (40.6678404 37.8474688, 40.6676802 37.8474557, 40.6671921 37.847475)",
219508288,,residential,False,True,65.062,,"LINESTRING (40.6678404 37.8474688, 40.6684646 37.8474451, 40.6685805 37.8474403)",
219510547,,residential,False,False,68.948,,"LINESTRING (40.6678404 37.8474688, 40.6678668 37.8478042, 40.6679027 37.8480868)",
219510592,,residential,False,True,10.709,,"LINESTRING (40.6657885 37.8517455, 40.6657902 37.8516492)",
177806798,,tertiary,False,False,203.736,,"LINESTRING (40.6657885 37.8517455, 40.6644833 37.8518596, 40.6636543 37.8519388, 40.6634833 37.8519551)",
177806798,,tertiary,False,True,131.486,,"LINESTRING (40.6657885 37.8517455, 40.666033 37.8517315, 40.6672814 37.8516523)",
219508179,,residential,False,False,114.499,,"LINESTRING (40.6657416 37.8501251, 40.6644383 37.8501604)",
219510592,,residential,False,False,82.579,,"LINESTRING (40.6657416 37.8501251, 40.6658042 37.8508661)",
219510592,,residential,False,True,80.233,,"LINESTRING (40.6657416 37.8501251, 40.6657059 37.8494041)",
219508179,,residential,False,True,131.644,,"LINESTRING (40.6657416 37.8501251, 40.6665623 37.8501242, 40.66724 37.8500962)",
219508186,,residential,False,False,73.585,,"LINESTRING (40.6643126 37.8487054, 40.6634759 37.8487432)",
219508186,,residential,False,True,118.153,,"LINESTRING (40.6643126 37.8487054, 40.665658 37.8486849)",
219510762,,residential,False,False,78.461,,"LINESTRING (40.6643126 37.8487054, 40.6643605 37.84941)",
219510762,,residential,False,True,64.479,,"LINESTRING (40.6643126 37.8487054, 40.6643039 37.8481756, 40.6643147 37.8481263)",
219508179,,residential,False,False,87.818,,"LINESTRING (40.6644383 37.8501604, 40.6634385 37.8501823)",
219508179,,residential,False,True,114.499,,"LINESTRING (40.6644383 37.8501604, 40.6657416 37.8501251)",
219511450,,residential,False,False,84.677,,"LINESTRING (40.6644383 37.8501604, 40.6644613 37.8509217)",
219510762,,residential,False,True,83.721,,"LINESTRING (40.6644383 37.8501604, 40.6643811 37.8495862, 40.6643605 37.84941)",
219508179,,residential,False,True,126.831,,"LINESTRING (40.66724 37.8500962, 40.6686825 37.8500359)",
219511510,,residential,False,False,82.861,,"LINESTRING (40.66724 37.8500962, 40.6672257 37.8508413)",
219511510,,residential,False,True,80.395,,"LINESTRING (40.66724 37.8500962, 40.6672025 37.8493738)",
219508179,,residential,False,False,131.644,,"LINESTRING (40.66724 37.8500962, 40.6665623 37.8501242, 40.6657416 37.8501251)",
177806798,,tertiary,False,True,115.359,,"LINESTRING (40.6672814 37.8516523, 40.6685908 37.8515666)",
219511510,,residential,False,True,9.501,,"LINESTRING (40.6672814 37.8516523, 40.6672778 37.8515669)",
177806798,,tertiary,False,False,131.486,,"LINESTRING (40.6672814 37.8516523, 40.666033 37.8517315, 40.6657885 37.8517455)",
219508145,,residential,False,False,60.492,,"LINESTRING (40.668614 37.8487839, 40.668654 37.849327)",
219508145,,residential,False,True,21.806,,"LINESTRING (40.668614 37.8487839, 40.6686119 37.8485878)",
219510547,,residential,False,True,53.331,,"LINESTRING (40.6676492 37.8462972, 40.6675582 37.845823)",
219511541,,residential,False,True,101.868,,"LINESTRING (40.6676492 37.8462972, 40.6688046 37.8462144)",
219510547,,residential,False,False,77.849,,"LINESTRING (40.6676492 37.8462972, 40.6677139 37.84655, 40.6677569 37.8469909)",
219511541,,residential,False,False,101.868,,"LINESTRING (40.6688046 37.8462144, 40.6676492 37.8462972)",
219511624,,residential,False,False,64.703,,"LINESTRING (40.6683533 37.844825, 40.6676344 37.8446973)",
219511626,,residential,False,False,108.78699999999999,,"LINESTRING (40.6683533 37.844825, 40.6683782 37.8450919, 40.6684309 37.8458014)",
219508439,,residential,False,False,75.216,,"LINESTRING (40.6651298 37.8452655, 40.6642745 37.8453028)",
219508439,,residential,False,True,8.927,,"LINESTRING (40.6651298 37.8452655, 40.6652313 37.8452609)",
219512122,,residential,False,False,19.967,,"LINESTRING (40.6667798 37.8442622, 40.6669997 37.8442165)",
219512122,,residential,False,True,33.589,,"LINESTRING (40.6667798 37.8442622, 40.6664058 37.8443256)",
219512105,,residential,False,False,108.263,,"LINESTRING (40.6667798 37.8442622, 40.6669092 37.8446062, 40.6669838 37.84481, 40.6670374 37.8450156, 40.6670735 37.8452062)",
219508439,,residential,False,False,38.038,,"LINESTRING (40.6666093 37.8452252, 40.6661762 37.8452326)",
219508439,,residential,False,True,30.002,,"LINESTRING (40.6666093 37.8452252, 40.6669507 37.8452144)",
219512112,,residential,False,True,101.683,,"LINESTRING (40.6666093 37.8452252, 40.6665515 37.8449136, 40.6664829 37.8445816, 40.6664058 37.8443256)",
219508445,,residential,False,True,4.454,,"LINESTRING (40.6655001 37.8440512, 40.6654837 37.8440133)",
219508445,,residential,False,False,133.96699999999998,,"LINESTRING (40.6655001 37.8440512, 40.6656962 37.8447861, 40.6657659 37.8452365)",
