osmid,oneway,name,highway,reversed,length,lanes,geometry,tunnel,bridge
101334893,True,Adalı Sokağı,tertiary,False,5.399,,"LINESTRING (29.1294611 40.92764, 29.1293987 40.9276284)",,
1082508044,True,Bağdat Caddesi,primary,False,47.599000000000004,2,"LINESTRING (29.1294611 40.92764, 29.1294186 40.9277829, 29.1293652 40.9280616)",,
140185869,True,İnönü Caddesi,primary,False,108.496,2,"LINESTRING (29.1353324 40.922952, 29.1354029 40.923031, 29.1360745 40.9237505)",,
51814958,False,Ressam Aykut Ünker Sokağı,residential,False,51.927,,"LINESTRING (29.126881 40.9281842, 29.1273819 40.9284578)",,
51814958,False,Ressam Aykut Ünker Sokağı,residential,True,102.271,,"LINESTRING (29.126881 40.9281842, 29.1258138 40.9277417)",,
227074853,False,Kayalı Sokağı,residential,True,101.97800000000001,,"LINESTRING (29.126881 40.9281842, 29.1270329 40.9279751, 29.1270329 40.9277481, 29.1271016 40.9275276, 29.127277 40.9273457)",,
154143756,False,Adalı Sokağı,tertiary,False,25.378,,"LINESTRING (29.1329374 40.9281159, 29.1332164 40.9282034)",,
101334893,True,Adalı Sokağı,tertiary,False,72.354,,"LINESTRING (29.1329374 40.9281159, 29.1324143 40.9279761, 29.1321109 40.9279439)",,
154143756,False,Adalı Sokağı,tertiary,True,25.378,,"LINESTRING (29.1332164 40.9282034, 29.1329374 40.9281159)",,
461686787,False,Öğretir Sokağı,residential,True,31.677,,"LINESTRING (29.1332164 40.9282034, 29.1330449 40.9284571)",,
154143756,False,Adalı Sokağı,tertiary,False,90.779,,"LINESTRING (29.1332164 40.9282034, 29.1335303 40.9283032, 29.1342646 40.928234)",,
154143754,False,Itır Sokağı,residential,False,117.828,,"LINESTRING (29.1343427 40.9282207, 29.1356147 40.9277743)",,
857527496,False,Adalı Sokağı,tertiary,True,6.726,,"LINESTRING (29.1343427 40.9282207, 29.1342646 40.928234)",,
1087134525,True,Atatürk Caddesi,primary,False,31.782,4,"LINESTRING (29.1343427 40.9282207, 29.134453 40.9284941)",,
1239961918,True,Feyzullah Caddesi,primary,False,49.242,,"LINESTRING (29.1360998 40.925464, 29.1356557 40.925175)",,
