osmid,highway,oneway,reversed,length,name,geometry,tunnel
210716409,residential,False,True,46.386,,"LINESTRING (37.3798255 37.0608185, 37.379304 37.0608474)",
1005620793,primary,True,False,95.634,Istasyon Caddesi,"LINESTRING (37.3798255 37.0608185, 37.3798191 37.0607336, 37.3797608 37.05996)",
210716259,residential,False,False,140.411,,"LINESTRING (37.3797608 37.05996, 37.3795867 37.0599568, 37.3794589 37.0599545, 37.3781785 37.0599532)",
1005620793,primary,True,False,239.17700000000002,Istasyon Caddesi,"LINESTRING (37.3797608 37.05996, 37.3797547 37.0592765, 37.3797505 37.0587268, 37.3797372 37.0583103, 37.3797128 37.0580021, 37.3796978 37.0578994, 37.3796511 37.0578187)",
47026580,primary,True,False,155.903,,"LINESTRING (37.3798862 37.0599713, 37.379889 37.0601743, 37.3799247 37.0607338, 37.3799398 37.0608724, 37.3798444 37.0611483, 37.3797549 37.0613495)",
210716216,residential,False,True,76.42,,"LINESTRING (37.3798862 37.0599713, 37.3801365 37.059968, 37.380747 37.0599506)",
237176566,tertiary,True,False,25.406,Belediye Caddesi,"LINESTRING (37.3830343 37.0582993, 37.3827939 37.0581752)",
210716341,residential,False,False,48.35,,"LINESTRING (37.3830343 37.0582993, 37.3828672 37.0581537, 37.3827817 37.0579984, 37.3827959 37.0579316)",
210716454,residential,False,True,84.60900000000001,,"LINESTRING (37.3834253 37.0610163, 37.383327 37.0606022, 37.3832478 37.0602687)",
1144162493,residential,False,False,80.612,,"LINESTRING (37.3822885 37.0609862, 37.3823552 37.0617092)",
699338711,residential,False,False,32.273,,"LINESTRING (37.381606 37.0568161, 37.3815847 37.0569916, 37.3815259 37.0570954)",
210716357,residential,False,True,32.062,,"LINESTRING (37.3828417 37.0568489, 37.3832029 37.0568561)",
210895848,residential,False,False,7.375,,"LINESTRING (37.3828417 37.0568489, 37.3828439 37.0567826)",
210895848,residential,False,True,45.674,,"LINESTRING (37.3828417 37.0568489, 37.3828407 37.0570856, 37.3828305 37.0572033, 37.382836 37.0572592)",
