osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,lanes
154933582,True,D400,Adnan Menderes Bulvarı,trunk,False,88.221,"LINESTRING (30.2883444 36.3664705, 30.2873909 36.3666704)",,
203373885,False,,Kavaklıkuyu Caddesi,residential,False,83.408,"LINESTRING (30.2883444 36.3664705, 30.2885753 36.3671972)",,
551405710,True,,Yunus Emre Caddesi,tertiary,False,101.965,"LINESTRING (30.2858238 36.3669194, 30.2847105 36.3671123)",,
551405714,True,,,trunk,False,10.901,"LINESTRING (30.2858238 36.3669194, 30.2858037 36.3668909, 30.2857987 36.3668584, 30.2858092 36.366827)",,
203373892,False,,Jandarma Sokak,residential,True,69.39099999999999,"LINESTRING (30.2847105 36.3671123, 30.2847853 36.3673893, 30.2848869 36.3677199)",,
551405710,True,,Yunus Emre Caddesi,tertiary,False,110.614,"LINESTRING (30.2847105 36.3671123, 30.2835938 36.367308, 30.2835031 36.3673228)",,
551443610,False,,Kiremithane Sokak,residential,True,99.495,"LINESTRING (30.2903389 36.3701733, 30.2914366 36.370034)",,
203373977,False,,Çayırbaşı Sokak,residential,True,231.114,"LINESTRING (30.2903389 36.3701733, 30.2900828 36.369169, 30.2897253 36.3681559)",,
107606601,False,,50. Yıl Caddesi,secondary,False,47.567,"LINESTRING (30.290925 36.3638386, 30.2904897 36.3635934)",,
107606601,False,,50. Yıl Caddesi,secondary,True,160.757,"LINESTRING (30.290925 36.3638386, 30.2926625 36.3642026)",,
203373990,False,,Karasin Sokak,residential,False,77.259,"LINESTRING (30.290925 36.3638386, 30.2910619 36.3645246)",,
154933578,True,D400,Adnan Menderes Bulvarı,trunk,False,109.815,"LINESTRING (30.2912294 36.3656823, 30.2924123 36.3654215)",,
203373990,False,,Karasin Sokak,residential,False,17.793,"LINESTRING (30.2912294 36.3656823, 30.2912778 36.3658375)",,
203373990,False,,Karasin Sokak,residential,True,129.601,"LINESTRING (30.2912294 36.3656823, 30.2910798 36.3646438, 30.2910619 36.3645246)",,
154933578,True,D400,Adnan Menderes Bulvarı,trunk,False,75.835,"LINESTRING (30.2883108 36.3663392, 30.2891272 36.3661577)",,
