osmid,highway,oneway,reversed,length,geometry,ref,name,maxspeed,lanes,bridge
226430373,residential,False,True,70.59,"LINESTRING (28.414171 37.104148, 28.4137429 37.1036128)",,,,,
226430373,residential,False,False,139.35399999999998,"LINESTRING (28.414171 37.104148, 28.4143274 37.1044484, 28.4145807 37.1045893, 28.4149223 37.10481, 28.4152756 37.1049838)",,,,,
226430419,secondary,False,False,147.602,"LINESTRING (28.414171 37.104148, 28.415267 37.103474, 28.4154984 37.1033477)",48-25,,,,
226430419,secondary,False,True,250.72799999999998,"LINESTRING (28.414171 37.104148, 28.414076 37.104215, 28.4137679 37.1044812, 28.413431 37.105097, 28.4129317 37.1058058, 28.4128472 37.1060386, 28.4128316 37.1061016)",48-25,,,,
226430359,residential,False,False,59.737,"LINESTRING (28.417937 37.102036, 28.417967 37.10195, 28.418062 37.101897, 28.418454 37.1017278)",,Alparslan Caddesi,,,
226430419,secondary,False,False,223.73899999999998,"LINESTRING (28.417937 37.102036, 28.417976 37.102045, 28.41802 37.102073, 28.41807 37.102117, 28.418127 37.102169, 28.41819 37.102217, 28.418252 37.10226, 28.41889 37.102578, 28.4189342 37.1026012, 28.41921 37.102746, 28.419316 37.102786, 28.419437 37.102827, 28.419568 37.102842, 28.419716 37.102849, 28.419875 37.102859, 28.4201463 37.1028622)",48-25,,,,
226430419,secondary,False,True,139.22899999999998,"LINESTRING (28.417937 37.102036, 28.417607 37.102306, 28.417571 37.102338, 28.417528 37.102368, 28.4167061 37.1028026)",48-25,,,,
226430350,residential,False,False,131.13400000000001,"LINESTRING (28.4168069 37.0992323, 28.4173953 37.0997847, 28.4176918 37.1000664, 28.417749 37.1001401)",,Gölcüklüler Sokak,30,,
1000484729,residential,False,False,120.335,"LINESTRING (28.4168069 37.0992323, 28.4158577 37.099736, 28.4157029 37.099857)",,Servet altan Sokak,30,2,
226430381,residential,False,False,21.892,"LINESTRING (28.4154138 37.0996041, 28.4155475 37.0997696)",,,,,
"[226430339, 226430349]",residential,False,True,47.896,"LINESTRING (28.4154138 37.0996041, 28.4152602 37.099347, 28.4151798 37.0992159)",,,,,yes
226430381,residential,False,False,16.864,"LINESTRING (28.4155475 37.0997696, 28.4157029 37.099857)",,,,,
226430381,residential,False,True,21.892,"LINESTRING (28.4155475 37.0997696, 28.4154138 37.0996041)",,,,,
226430387,residential,False,False,493.79100000000005,"LINESTRING (28.4155475 37.0997696, 28.4141684 37.100019, 28.4123932 37.1002825, 28.4123015 37.1002961, 28.4118833 37.1004229, 28.4117067 37.1005451, 28.4117597 37.1007799, 28.4117272 37.1008679, 28.4117008 37.1009396, 28.4119859 37.1013082, 28.4122603 37.101663)",,,,,
226430359,residential,False,True,90.68299999999999,"LINESTRING (28.4218377 37.0998929, 28.4214102 37.1001227, 28.4212111 37.100245, 28.4210174 37.1003781)",,Alparslan Caddesi,,,
226430381,residential,False,False,95.859,"LINESTRING (28.4157029 37.099857, 28.4165305 37.1004115)",,,,,
226430381,residential,False,True,16.864,"LINESTRING (28.4157029 37.099857, 28.4155475 37.0997696)",,,,,
1000484729,residential,False,True,120.335,"LINESTRING (28.4157029 37.099857, 28.4158577 37.099736, 28.4168069 37.0992323)",,Servet altan Sokak,30,2,
226430340,residential,False,True,200.086,"LINESTRING (28.4210174 37.1003781, 28.4209101 37.1002927, 28.4208894 37.1002175, 28.4208676 37.1001255, 28.4208428 37.1000035, 28.4207474 37.0997166, 28.4205605 37.0993964, 28.4203876 37.099093, 28.4202492 37.0989763, 28.4200304 37.098811)",,İsmet İnönü Caddesi,,,
226430359,residential,False,False,90.68299999999999,"LINESTRING (28.4210174 37.1003781, 28.4212111 37.100245, 28.4214102 37.1001227, 28.4218377 37.0998929)",,Alparslan Caddesi,,,
