osmid,oneway,name,highway,reversed,length,geometry,junction,maxspeed,bridge
24838738,True,Mustafa Kemal Caddesi,primary,False,78.611,"LINESTRING (27.218985 38.4662088, 27.2188475 38.4661382, 27.2185153 38.4660056, 27.2182178 38.4658392)",,,
617646031,True,Bornova Meydanı,primary,False,19.326,"LINESTRING (27.218985 38.4662088, 27.2189833 38.4661621, 27.2189958 38.4661348, 27.2190141 38.4661054, 27.2190397 38.4660796, 27.2190715 38.4660584)",roundabout,,
654290241,True,Bornova Meydanı,primary,False,25.209999999999997,"LINESTRING (27.2191833 38.4663481, 27.2191116 38.4663369, 27.2190644 38.4663162, 27.2190259 38.4662865, 27.2189988 38.4662498, 27.218985 38.4662088)",roundabout,,
31999005,True,Bornova Meydanı,primary,False,50.788,"LINESTRING (27.2190715 38.4660584, 27.2191187 38.4660396, 27.2191706 38.466031, 27.2192236 38.4660332, 27.219274 38.4660461, 27.2193184 38.4660689, 27.2193538 38.4660998, 27.2193777 38.4661369, 27.2193885 38.4661775, 27.2193855 38.466219, 27.2193689 38.4662584, 27.2193398 38.4662931)",roundabout,,
42758493,True,Fevzi Çakmak Caddesi,secondary,False,37.676,"LINESTRING (27.2190715 38.4660584, 27.2190192 38.4660154, 27.2190037 38.4659618, 27.2189868 38.4657377)",,,
26472863,False,36. Sokak,residential,False,58.917,"LINESTRING (27.2240317 38.4640789, 27.2241955 38.464593)",,,
37765004,False,Türkeli Caddesi,secondary,False,17.429,"LINESTRING (27.2240317 38.4640789, 27.2238359 38.4641115)",,,
210335795,False,,residential,True,36.455,"LINESTRING (27.2194972 38.4690584, 27.2193096 38.4687653)",,,
65584610,True,,tertiary,False,32.692,"LINESTRING (27.2194972 38.4690584, 27.2196633 38.4692691, 27.2197074 38.4693001)",,,
209936155,False,Yüzbaşı İbrahim Hakkı Caddesi,secondary,True,24.905,"LINESTRING (27.2206432 38.4703509, 27.2204226 38.4704935)",,,
739772037,False,Yüzbaşı İbrahim Hakkı Caddesi,secondary,False,81.225,"LINESTRING (27.2206432 38.4703509, 27.2214428 38.4699745)",,,
53778827,False,,residential,False,56.992,"LINESTRING (27.2133504 38.4667267, 27.2136654 38.4662774)",,,
654290242,False,Yüzbaşı İbrahim Hakkı Caddesi,secondary,True,80.209,"LINESTRING (27.2133504 38.4667267, 27.2135372 38.4668189, 27.213685 38.4668859, 27.2140351 38.4670509, 27.2141388 38.4670998)",,,
179788671,False,,tertiary,False,41.203,"LINESTRING (27.2141388 38.4670998, 27.2142901 38.4667487)",,,
654290242,False,Yüzbaşı İbrahim Hakkı Caddesi,secondary,True,35.118,"LINESTRING (27.2141388 38.4670998, 27.2144559 38.467295)",,,
"[867502177, 210335733]",False,514. Sokak,tertiary,True,69.859,"LINESTRING (27.2141388 38.4670998, 27.2139694 38.4674627, 27.2139571 38.4674892, 27.2139404 38.467525, 27.2139209 38.4675668, 27.2139122 38.4675855, 27.2138634 38.4676899)",,,
654290242,False,Yüzbaşı İbrahim Hakkı Caddesi,secondary,False,80.209,"LINESTRING (27.2141388 38.4670998, 27.2140351 38.4670509, 27.213685 38.4668859, 27.2135372 38.4668189, 27.2133504 38.4667267)",,,
26472853,False,,residential,False,46.104,"LINESTRING (27.2144421 38.4663961, 27.214901 38.466603)",,,
179788671,False,,tertiary,False,22.356,"LINESTRING (27.2144421 38.4663961, 27.214566 38.46622)",,,
179788671,False,,tertiary,True,41.38,"LINESTRING (27.2144421 38.4663961, 27.2142901 38.4667487)",,,
53778809,False,,residential,True,63.900999999999996,"LINESTRING (27.2144421 38.4663961, 27.2143129 38.4663584, 27.2141602 38.4662993, 27.213983 38.4662067, 27.2137994 38.4661226)",,,
26472853,False,,residential,False,26.433,"LINESTRING (27.2153524 38.4667438, 27.2155789 38.4669021)",,,
