osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width,access
888422281,Bentbaşı Caddesi,tertiary,30,False,True,68.007,,"LINESTRING (27.9728918 40.3513839, 27.9722505 40.3510162)",,
784928680,Atatürk Caddesi,primary,50,False,False,54.185,4,"LINESTRING (27.9728918 40.3513839, 27.9728501 40.3514509, 27.9728191 40.3515033, 27.9727954 40.3515594, 27.9727735 40.3516522, 27.9727213 40.3518507)",,
145936541,Kurtuluş Caddesi,primary,50,False,True,64.258,4,"LINESTRING (27.9741151 40.3561556, 27.974647 40.3557437)",15,
784928677,Kurtuluş Caddesi,secondary,50,False,False,23.27,,"LINESTRING (27.9741151 40.3561556, 27.973919 40.3563021)",14.5,
784928670,İsmet İnönü Caddesi,primary,,True,False,31.772,2,"LINESTRING (27.9741151 40.3561556, 27.9739929 40.3561234, 27.9738783 40.3560844, 27.9737691 40.3560462)",8.5,yes
784928678,İsmet İnönü Caddesi,primary,,False,False,69.024,4,"LINESTRING (27.9741151 40.3561556, 27.9743212 40.3562239, 27.9745063 40.3562889, 27.9748563 40.356413)",15,
1222040004,Atatürk Caddesi,primary,50,True,False,9.726,,"LINESTRING (27.9709903 40.3538336, 27.9709052 40.3538923)",,
784928680,Atatürk Caddesi,primary,50,False,True,35.207,4,"LINESTRING (27.9709903 40.3538336, 27.9710599 40.3537867, 27.9712996 40.3536222)",,
784928691,İsmet İnönü Caddesi,primary,,True,False,95.119,2,"LINESTRING (27.9709903 40.3538336, 27.9710583 40.3538851, 27.9711431 40.3539531, 27.9711887 40.3539904, 27.9714077 40.354153, 27.9715528 40.3542713, 27.9717739 40.3544459)",,
784928678,İsmet İnönü Caddesi,primary,,False,False,26.855,4,"LINESTRING (27.9752405 40.3565847, 27.9754842 40.3567391)",15,
784928678,İsmet İnönü Caddesi,primary,,False,True,37.824,4,"LINESTRING (27.9752405 40.3565847, 27.975053 40.3564916, 27.9749579 40.3564473, 27.9748563 40.356413)",15,
911572904,Vedat Örüç Sokağı,residential,30,False,True,70.177,,"LINESTRING (27.9752405 40.3565847, 27.9750425 40.3567573, 27.9746925 40.3570579)",,
1134603948,Cumhuriyet Caddesi,primary,,True,False,33.756,,"LINESTRING (27.9684594 40.3524718, 27.9684057 40.3524273, 27.9683726 40.3523723, 27.9683625 40.3523423, 27.9683611 40.352304, 27.9683786 40.3522529, 27.9684172 40.3522)",,
"[1134603949, 51876007]",Mehmet Akif Ersoy Caddesi,secondary,,True,False,251.615,2,"LINESTRING (27.9684594 40.3524718, 27.9683767 40.3524481, 27.9683345 40.3524375, 27.9682923 40.3524308, 27.9682248 40.3524219, 27.9681105 40.352411, 27.9680561 40.3524023, 27.967995 40.3523905, 27.9679116 40.3523661, 27.9678408 40.3523392, 27.9673445 40.3521503, 27.9672377 40.3521031, 27.9671886 40.3520814, 27.9670666 40.3520275, 27.9664679 40.351623, 27.9660101 40.3512751)",,
