osmid,oneway,lanes,highway,reversed,length,geometry,junction,name
244057106,True,2,primary,False,23.11,"LINESTRING (27.6121315 39.1841157, 27.612399 39.1841015)",,
284004657,False,,residential,False,17.973,"LINESTRING (27.6121315 39.1841157, 27.6120004 39.1842414)",,
284004657,False,,residential,True,32.129,"LINESTRING (27.6121315 39.1841157, 27.6123921 39.1839091)",,
244057106,True,2,primary,False,87.439,"LINESTRING (27.6111224 39.1841967, 27.6121315 39.1841157)",,
284004651,False,,residential,True,70.441,"LINESTRING (27.6111224 39.1841967, 27.6112104 39.1841094, 27.611783 39.1838333)",,
244057106,True,2,primary,False,35.223,"LINESTRING (27.610696 39.1843295, 27.6109166 39.1842449, 27.6110693 39.1842017)",,
702312437,True,,residential,False,46.19,"LINESTRING (27.610696 39.1843295, 27.6107937 39.1841962, 27.6108661 39.1840922, 27.6108629 39.1839483)",,
244057105,True,2,primary,False,12.82,"LINESTRING (27.6087126 39.1852071, 27.6087228 39.18515, 27.608763 39.1851015)",roundabout,
130651323,True,,secondary,False,189.97,"LINESTRING (27.6092868 39.1854951, 27.6108033 39.1867349)",,Atatürk Caddesi
284004689,False,,residential,False,140.268,"LINESTRING (27.6092868 39.1854951, 27.6107342 39.185303, 27.6108917 39.1852861)",,
282116625,False,,residential,False,18.467,"LINESTRING (27.6059071 39.1865212, 27.6060328 39.1866557)",,
282116625,False,,residential,True,65.221,"LINESTRING (27.6059071 39.1865212, 27.6055526 39.186003)",,
702315974,True,2,primary,False,224.68099999999998,"LINESTRING (27.6059071 39.1865212, 27.606884 39.1860603, 27.6081563 39.1855001)",,
284004641,False,,residential,False,59.634,"LINESTRING (27.6051783 39.1866658, 27.605165 39.1861296)",,
702315974,True,2,primary,False,65.94999999999999,"LINESTRING (27.6051783 39.1866658, 27.6054475 39.1866524, 27.6056591 39.1866167, 27.6058264 39.186566, 27.6059071 39.1865212)",,
