osmid,bridge,highway,oneway,reversed,length,geometry,name,lanes,ref,maxspeed
232468699,yes,residential,False,True,23.918,"LINESTRING (35.188035 39.8062576, 35.188034 39.8060425)",,,,
685739478,,residential,False,False,77.585,"LINESTRING (35.188035 39.8062576, 35.1889387 39.8061878)",,,,
733399039,,residential,False,True,96.162,"LINESTRING (35.188035 39.8062576, 35.1869157 39.8063499)",,,,
232468684,,residential,False,False,131.378,"LINESTRING (35.188035 39.8062576, 35.1880304 39.8070392, 35.1880419 39.807439)",,,,
232468684,,residential,False,False,77.208,"LINESTRING (35.1880419 39.807439, 35.1882369 39.808117)",,,,
733256745,,residential,False,False,43.483,"LINESTRING (35.1880419 39.807439, 35.1885438 39.8073737)",,,,
232468684,,residential,False,True,131.378,"LINESTRING (35.1880419 39.807439, 35.1880304 39.8070392, 35.188035 39.8062576)",,,,
207918008,,residential,True,False,41.219,"LINESTRING (35.1882643 39.8082236, 35.1877821 39.8082094)",,,,
232468684,,residential,False,False,62.117,"LINESTRING (35.1882643 39.8082236, 35.1884549 39.8087627)",,,,
232468684,,residential,False,True,12.082,"LINESTRING (35.1882643 39.8082236, 35.1882369 39.808117)",,,,
733256744,,residential,False,False,146.284,"LINESTRING (35.1882643 39.8082236, 35.1886966 39.8081116, 35.1888656 39.8080559, 35.1899073 39.8078601)",,,,
205785315,,secondary,False,False,113.512,"LINESTRING (35.188891 39.8099606, 35.1901997 39.8097832)",Cumhuriyet Cd.,,,
205785315,,secondary,False,True,45.536,"LINESTRING (35.188891 39.8099606, 35.1883613 39.8100068)",Cumhuriyet Cd.,,,
232468684,,residential,False,False,130.02,"LINESTRING (35.188891 39.8099606, 35.1893858 39.8110664)",,,,
232468684,,residential,False,True,94.396,"LINESTRING (35.188891 39.8099606, 35.1886815 39.8094453, 35.1885821 39.8091458)",,,,
207916904,,residential,False,False,34.535,"LINESTRING (35.1893858 39.8110664, 35.1897561 39.8109417)",,,,
