osmid,oneway,highway,reversed,length,geometry,name,bridge,maxspeed,tunnel
26817052,True,secondary,False,19.944,"LINESTRING (37.3756046 37.0664501, 37.3756229 37.066496, 37.3756309 37.0665365, 37.3756385 37.0665843, 37.3756289 37.0666256)",,,,
47026584,True,primary,False,37.286,"LINESTRING (37.3756046 37.0664501, 37.3756862 37.0664077, 37.3757729 37.0663747, 37.3759901 37.0663226)",,,,
1144460257,True,secondary,False,31.506,"LINESTRING (37.3756046 37.0664501, 37.3755037 37.0664297, 37.3752784 37.0663414)",,,,
1144460263,True,secondary,False,10.857,"LINESTRING (37.3737765 37.0655638, 37.3737174 37.0656493)",,,,
26817052,True,secondary,False,38.269999999999996,"LINESTRING (37.3737765 37.0655638, 37.3738684 37.0656013, 37.3741537 37.0657306)",,,,
23217609,False,secondary,False,81.977,"LINESTRING (37.3752235 37.0622845, 37.3743037 37.0622153)",Atatürk Bulvarı,,,
210716174,False,tertiary,False,12.751,"LINESTRING (37.3752235 37.0622845, 37.3752742 37.0621772)",,,,
"[26817050, 326743174, 1144460263]",True,secondary,False,390.11899999999997,"LINESTRING (37.3752235 37.0622845, 37.3752562 37.062412, 37.375212 37.0626687, 37.3749599 37.0633857, 37.3748097 37.0636939, 37.3741177 37.0649802, 37.3737765 37.0655638)",,yes,,
32423457,True,secondary,False,327.792,"LINESTRING (37.3788658 37.0628721, 37.3778653 37.0630261, 37.377473 37.0630697, 37.3773064 37.0630644, 37.3771729 37.0630601, 37.3767817 37.0629665, 37.3766259 37.0629292, 37.3764962 37.0628798, 37.3760983 37.0626765, 37.3760662 37.0626601, 37.3759248 37.0625879, 37.3757695 37.0625085, 37.3754983 37.0623879, 37.3754222 37.0623485)",Atatürk Bulvarı,,,
210716179,False,tertiary,True,154.312,"LINESTRING (37.3788658 37.0628721, 37.3789034 37.0622067, 37.3788164 37.0617897, 37.3787807 37.0617015, 37.3786711 37.0615147)",,,,
1143415520,True,primary,False,29.549,"LINESTRING (37.3781262 37.0649092, 37.3783028 37.0646839)",İstasyon Caddesi,,,
1149387399,True,tertiary,False,29.598,"LINESTRING (37.3781262 37.0649092, 37.3781115 37.0648143, 37.3780324 37.0647266, 37.3779752 37.0646839)",Kemal Köker Caddesi,,,
1143415520,True,primary,False,74.166,"LINESTRING (37.3778982 37.0655506, 37.3779654 37.0653281, 37.3780511 37.0651011, 37.3781262 37.0649092)",İstasyon Caddesi,,,
237058681,True,tertiary,False,61.73,"LINESTRING (37.3803927 37.0633282, 37.3810815 37.0632502)",Karagöz Caddesi,,,
210716429,False,residential,True,34.595,"LINESTRING (37.3803927 37.0633282, 37.3804059 37.0634416, 37.38033 37.0636293)",,,,
237058681,True,tertiary,False,58.977,"LINESTRING (37.3836726 37.0633291, 37.3842702 37.0630969)",Karagöz Caddesi,,,
210716386,False,residential,False,104.56,"LINESTRING (37.3836726 37.0633291, 37.3837206 37.0634966, 37.3840083 37.0637028, 37.3843152 37.0639323, 37.384444 37.0640022)",,,,
210716412,False,residential,True,107.236,"LINESTRING (37.3845906 37.0629102, 37.384409 37.0626058, 37.3843074 37.0619838)",,,,
23217609,False,secondary,True,53.432,"LINESTRING (37.3737052 37.0621623, 37.3743037 37.0622153)",Atatürk Bulvarı,,,
326743172,False,residential,True,58.332,"LINESTRING (37.3737052 37.0621623, 37.3736799 37.0626865)",Sacır Sokak,,,
