osmid,highway,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes,access
91651849,residential,False,False,77.217,"LINESTRING (28.7703165 40.9902655, 28.770552 40.9900052, 28.7707021 40.9898754, 28.7709381 40.9897701)",,,,,
228376877,residential,True,False,68.849,"LINESTRING (28.7703165 40.9902655, 28.7705823 40.9905778, 28.7707115 40.9908058)",829. Sokak,,,,
"[1214509376, 91651827]",residential,False,True,129.772,"LINESTRING (28.7703165 40.9902655, 28.7700154 40.9904342, 28.7698652 40.9904989, 28.7700047 40.99075, 28.7700129 40.9907908, 28.7700584 40.9910172, 28.770112 40.9910982, 28.77023 40.9911792)",,,,,
228233795,tertiary,False,True,18.435,"LINESTRING (28.7767316 40.9917621, 28.7768074 40.9919177)",,,,,
228233814,residential,False,True,132.852,"LINESTRING (28.7767316 40.9917621, 28.7762793 40.9909847, 28.776084 40.990672)",615. Cadde,,,,
228233802,tertiary,False,False,16.2,"LINESTRING (28.7767936 40.9922172, 28.776918 40.9921058)",,,,,
1144802524,tertiary,False,False,33.323,"LINESTRING (28.7767936 40.9922172, 28.7768074 40.9919177)",Cengiz Sokağı,,,,
858303831,tertiary,False,True,157.163,"LINESTRING (28.7767936 40.9922172, 28.7766988 40.9924104, 28.7765718 40.9925942, 28.7760373 40.9935093)",Cengiz Sokağı,,,,
228233795,tertiary,False,False,18.435,"LINESTRING (28.7768074 40.9919177, 28.7767316 40.9917621)",,,,,
1144802524,tertiary,False,True,33.323,"LINESTRING (28.7768074 40.9919177, 28.7767936 40.9922172)",Cengiz Sokağı,,,,
1144802525,tertiary,True,False,24.528,"LINESTRING (28.7768074 40.9919177, 28.7770056 40.9920798)",Mimar Sinan Caddesi,,,,
88306575,tertiary,False,True,143.631,"LINESTRING (28.7768074 40.9919177, 28.7766348 40.9918847, 28.7763856 40.9916503, 28.7760862 40.9913471, 28.775726 40.9909532)",İmaret Caddesi,,,,
88306614,secondary,False,False,212.03,"LINESTRING (28.7728612 40.98777, 28.7728367 40.9878937, 28.7727682 40.9882385, 28.7727328 40.9884169, 28.7726713 40.9886344, 28.7726298 40.9887813, 28.7725135 40.9891929, 28.7724582 40.9894764, 28.7723808 40.9896389)",İstanbul Caddesi,30,,,
"[846635352, 846635369, 846635368]",secondary_link,True,False,161.645,"LINESTRING (28.7728612 40.98777, 28.7727921 40.9875164, 28.7727446 40.9874071, 28.7727171 40.9873682, 28.7726706 40.9873275, 28.7726059 40.9873005, 28.772228 40.9872189, 28.7721787 40.9872328, 28.7721422 40.9872616, 28.7720839 40.9873464, 28.7720293 40.9874432, 28.7719539 40.9875694, 28.7719485 40.9875785, 28.7718133 40.9877513)",,30,yes,,
846635355,secondary,True,False,7.232,"LINESTRING (28.7699857 40.9878032, 28.7700235 40.9878221, 28.7700526 40.9878437)",830. Yanyol,,,,
858303842,secondary,True,False,177.316,"LINESTRING (28.7718133 40.9877513, 28.7717869 40.9877792, 28.7716412 40.9879331, 28.771409 40.9880955, 28.7711426 40.9881763, 28.770883 40.9882117, 28.7706337 40.98819, 28.7702045 40.9880586, 28.769997 40.9879754)",830. Yanyol,,,2,
