osmid,highway,oneway,reversed,length,bridge,geometry,ref,name,junction
"[174610162, 174610181, 174610198]","['residential', 'tertiary']",False,False,126.77799999999999,yes,"LINESTRING (41.0529581 38.9643857, 41.0529044 38.9644229, 41.0528029 38.9645575, 41.0523112 38.9654033)",,,
174610181,tertiary,False,False,15.576,,"LINESTRING (41.0519865 38.9659618, 41.051845 38.9660485)",,,
174610181,tertiary,False,True,68.153,,"LINESTRING (41.0519865 38.9659618, 41.0523112 38.9654033)",,,
704807294,trunk,True,False,225.355,,"LINESTRING (41.0519865 38.9659618, 41.0543242 38.9668583)",D300,Şehit Mehmet Türksever Bulvarı,
174610164,tertiary,False,False,92.064,,"LINESTRING (41.051845 38.9660485, 41.0513723 38.9667904)",,,
174610181,tertiary,False,True,15.576,,"LINESTRING (41.051845 38.9660485, 41.0519865 38.9659618)",,,
704807295,trunk,True,False,345.266,,"LINESTRING (41.051845 38.9660485, 41.0483084 38.9646063)",D300,Şehit Mehmet Türksever Bulvarı,
180160024,residential,False,False,13.685,,"LINESTRING (41.0542527 38.9669681, 41.0543242 38.9668583)",,,
180160024,residential,False,True,66.694,,"LINESTRING (41.0542527 38.9669681, 41.0539801 38.9675292)",,,
704807295,trunk,True,False,231.919,,"LINESTRING (41.0542527 38.9669681, 41.051845 38.9660485)",D300,Şehit Mehmet Türksever Bulvarı,
174610164,tertiary,False,True,77.25,,"LINESTRING (41.0509756 38.9674129, 41.0513723 38.9667904)",,,
180160008,tertiary,False,True,47.474,,"LINESTRING (41.0509756 38.9674129, 41.0514637 38.9676085)",,,
180160018,tertiary,False,True,54.755,,"LINESTRING (41.0509756 38.9674129, 41.0503583 38.9673028)",,,
180160026,trunk,True,False,16.823999999999998,,"LINESTRING (41.0570388 38.9678911, 41.0570875 38.9678916, 41.0571338 38.967903, 41.0571739 38.9679244, 41.0572044 38.9679539)",,,roundabout
180160006,residential,False,False,73.076,,"LINESTRING (41.0483084 38.9646063, 41.0479744 38.96521)",,,
180160006,residential,False,True,14.062,,"LINESTRING (41.0483084 38.9646063, 41.0484049 38.9645045)",,,
704807295,trunk,True,False,115.28800000000001,,"LINESTRING (41.0483084 38.9646063, 41.0472618 38.9641369, 41.0471549 38.9640862)",D300,Şehit Mehmet Türksever Bulvarı,
180160006,residential,False,False,7.861,,"LINESTRING (41.0477742 38.9655719, 41.0477367 38.9656363)",,,
180160006,residential,False,True,32.85,,"LINESTRING (41.0477742 38.9655719, 41.0479243 38.9653005)",,,
180160023,residential,False,False,107.136,,"LINESTRING (41.0477742 38.9655719, 41.048806 38.9661055)",,,
180160006,residential,False,True,7.861,,"LINESTRING (41.0477367 38.9656363, 41.0477742 38.9655719)",,,
180160006,residential,False,False,51.853,,"LINESTRING (41.0477367 38.9656363, 41.0476184 38.9658465, 41.0475679 38.9660801)",,,
841517737,residential,False,True,96.28200000000001,,"LINESTRING (41.0477367 38.9656363, 41.0471657 38.9655578, 41.0467688 38.9655661, 41.0466347 38.9655869)",,,
180160006,residential,False,False,59.230999999999995,,"LINESTRING (41.0475679 38.9660801, 41.0474365 38.9665075, 41.047398 38.9665958)",,,
180160006,residential,False,True,51.853,,"LINESTRING (41.0475679 38.9660801, 41.0476184 38.9658465, 41.0477367 38.9656363)",,,
180160018,tertiary,False,False,83.569,,"LINESTRING (41.0475679 38.9660801, 41.0483088 38.9663588, 41.0484286 38.9664203)",,,
174610164,tertiary,False,False,77.25,,"LINESTRING (41.0513723 38.9667904, 41.0509756 38.9674129)",,,
174610164,tertiary,False,True,92.064,,"LINESTRING (41.0513723 38.9667904, 41.051845 38.9660485)",,,
180160014,residential,False,False,240.07999999999998,,"LINESTRING (41.0513723 38.9667904, 41.0532144 38.9672787, 41.0539801 38.9675292)",,,
180160023,residential,False,True,64.34299999999999,,"LINESTRING (41.0513723 38.9667904, 41.0508802 38.9666875, 41.0506552 38.9666357)",,,
180160024,residential,False,True,13.685,,"LINESTRING (41.0543242 38.9668583, 41.0542527 38.9669681)",,,
704807294,trunk,True,False,261.28200000000004,,"LINESTRING (41.0543242 38.9668583, 41.0550046 38.9671192, 41.0570388 38.9678911)",D300,Şehit Mehmet Türksever Bulvarı,
180160006,residential,False,True,57.257,,"LINESTRING (41.0471855 38.9670835, 41.047398 38.9665958)",,,
"[180160010, 180160006]",residential,False,"[False, True]",495.155,,"LINESTRING (41.0471855 38.9670835, 41.0471019 38.9672694, 41.046924 38.967635, 41.0468985 38.9677414, 41.0468987 38.9678176, 41.0469377 38.9678458, 41.0470498 38.9678673, 41.0473268 38.9679153, 41.0477878 38.9680487, 41.0481155 38.968162, 41.048719 38.968411, 41.0496523 38.9688976, 41.050252 38.9691374, 41.0506852 38.969366, 41.0507708 38.969408, 41.0510691 38.9695084)",,,
180160009,residential,False,True,98.96600000000001,,"LINESTRING (41.0471855 38.9670835, 41.0479503 38.9673809, 41.0482192 38.9674645)",,,
180160018,tertiary,False,False,14.308,,"LINESTRING (41.050197 38.967274, 41.0503583 38.9673028)",,,
180160018,tertiary,False,True,117.428,,"LINESTRING (41.050197 38.967274, 41.0497847 38.9671161, 41.0490347 38.9667312)",,,
338268091,residential,False,True,71.935,,"LINESTRING (41.050197 38.967274, 41.0500797 38.9675588, 41.0499161 38.9678826)",,,
180160009,residential,False,True,10.449,,"LINESTRING (41.0482192 38.9674645, 41.0483356 38.9674898)",,,
180160009,residential,False,False,98.96600000000001,,"LINESTRING (41.0482192 38.9674645, 41.0479503 38.9673809, 41.0471855 38.9670835)",,,
338268090,residential,False,True,58.312,,"LINESTRING (41.0482192 38.9674645, 41.0483894 38.9672224, 41.0485212 38.966996)",,,
704807295,trunk,True,False,124.06,,"LINESTRING (41.0555108 38.9675047, 41.0542527 38.9669681)",D300,Şehit Mehmet Türksever Bulvarı,
180160007,residential,False,True,64.632,,"LINESTRING (41.0555108 38.9675047, 41.0553667 38.9678278, 41.0553589 38.968067)",,,
180160024,residential,False,False,66.694,,"LINESTRING (41.0539801 38.9675292, 41.0542527 38.9669681)",,,
180160024,residential,False,True,46.978,,"LINESTRING (41.0539801 38.9675292, 41.053788 38.9679244)",,,
180160014,residential,False,True,240.07999999999998,,"LINESTRING (41.0539801 38.9675292, 41.0532144 38.9672787, 41.0513723 38.9667904)",,,
180160008,tertiary,False,False,47.474,,"LINESTRING (41.0514637 38.9676085, 41.0509756 38.9674129)",,,
180160008,tertiary,False,True,102.17699999999999,,"LINESTRING (41.0514637 38.9676085, 41.0520313 38.967878, 41.0524943 38.9680565)",,,
293691225,residential,False,True,52.86,,"LINESTRING (41.0514637 38.9676085, 41.0512866 38.9679987, 41.0512569 38.9680558)",,,
180160009,residential,False,False,143.649,,"LINESTRING (41.0499161 38.9678826, 41.0494142 38.9677246, 41.0483356 38.9674898)",,,
180160009,residential,False,True,116.07,,"LINESTRING (41.0499161 38.9678826, 41.050418 38.9681567, 41.0510874 38.9683816)",,,
338268091,residential,False,False,71.935,,"LINESTRING (41.0499161 38.9678826, 41.0500797 38.9675588, 41.050197 38.967274)",,,
180160024,residential,False,False,46.978,,"LINESTRING (41.053788 38.9679244, 41.0539801 38.9675292)",,,
180160024,residential,False,True,63.123,,"LINESTRING (41.053788 38.9679244, 41.0535251 38.968454)",,,
180160022,residential,False,False,138.29,,"LINESTRING (41.053788 38.9679244, 41.054266 38.9680545, 41.0548277 38.9680545, 41.0553589 38.968067)",,,
180160026,trunk,True,False,26.026000000000003,,"LINESTRING (41.0572044 38.9679539, 41.0572228 38.9679902, 41.0572265 38.9680291, 41.057215 38.9680671, 41.0571895 38.9681007, 41.0571523 38.9681268, 41.0571067 38.9681431)",,,roundabout
704807295,trunk,True,False,137.696,,"LINESTRING (41.056918 38.9680847, 41.0555108 38.9675047)",D300,Şehit Mehmet Türksever Bulvarı,
