osmid,highway,oneway,reversed,length,geometry,bridge
174467489,tertiary,False,False,374.21400000000006,"LINESTRING (41.5619044 40.5218593, 41.5612443 40.5219844, 41.561006 40.5220866, 41.5608043 40.5222491, 41.5605844 40.5226439, 41.5603033 40.5229969, 41.5600222 40.5232245, 41.5596556 40.5234614, 41.5586107 40.5238794)",
"[186459992, 186459985, 186459973]",residential,False,True,48.525999999999996,"LINESTRING (41.5619044 40.5218593, 41.5619143 40.521888, 41.5619447 40.5220109, 41.5618553 40.5221841, 41.5619164 40.5222677)",yes
"[186459992, 186459985, 186459973]",residential,False,False,48.525999999999996,"LINESTRING (41.5619164 40.5222677, 41.5618553 40.5221841, 41.5619447 40.5220109, 41.5619143 40.521888, 41.5619044 40.5218593)",yes
186460002,residential,False,False,112.935,"LINESTRING (41.5575231 40.5232803, 41.5576269 40.5235218, 41.5578286 40.5236333, 41.5581891 40.5237773, 41.5584263 40.523968)",
174467489,tertiary,False,False,18.439,"LINESTRING (41.5586107 40.5238794, 41.5584263 40.523968)",
174467489,tertiary,False,True,374.214,"LINESTRING (41.5586107 40.5238794, 41.5596556 40.5234614, 41.5600222 40.5232245, 41.5603033 40.5229969, 41.5605844 40.5226439, 41.5608043 40.5222491, 41.561006 40.5220866, 41.5612443 40.5219844, 41.5619044 40.5218593)",
"[186460000, 186459981, 186459990]",residential,False,False,106.33600000000001,"LINESTRING (41.5586107 40.5238794, 41.5586535 40.5239259, 41.5587574 40.5240374, 41.5588062 40.5242046, 41.5590262 40.5244136, 41.5588307 40.5247015)",yes
174467489,tertiary,False,True,18.439,"LINESTRING (41.5584263 40.523968, 41.5586107 40.5238794)",
174467489,tertiary,False,False,486.55600000000004,"LINESTRING (41.5584263 40.523968, 41.5583785 40.5239909, 41.5580363 40.5242278, 41.5577553 40.5244507, 41.5575658 40.524748, 41.5573214 40.52531, 41.5572359 40.5256955, 41.5572053 40.5260624, 41.557297 40.5263457, 41.5573275 40.526578, 41.5573825 40.5268566, 41.5573581 40.527205, 41.5573092 40.527544, 41.5571748 40.5277484, 41.5569304 40.5279388)",
186460002,residential,False,True,112.935,"LINESTRING (41.5584263 40.523968, 41.5581891 40.5237773, 41.5578286 40.5236333, 41.5576269 40.5235218, 41.5575231 40.5232803)",
"[186460000, 186459981, 186459990]",residential,False,True,106.336,"LINESTRING (41.5588307 40.5247015, 41.5590262 40.5244136, 41.5588062 40.5242046, 41.5587574 40.5240374, 41.5586535 40.5239259, 41.5586107 40.5238794)",yes
174467489,tertiary,False,True,486.556,"LINESTRING (41.5569304 40.5279388, 41.5571748 40.5277484, 41.5573092 40.527544, 41.5573581 40.527205, 41.5573825 40.5268566, 41.5573275 40.526578, 41.557297 40.5263457, 41.5572053 40.5260624, 41.5572359 40.5256955, 41.5573214 40.52531, 41.5575658 40.524748, 41.5577553 40.5244507, 41.5580363 40.5242278, 41.5583785 40.5239909, 41.5584263 40.523968)",
