osmid,highway,oneway,reversed,length,geometry,tunnel,junction,lanes,ref,name,maxspeed
264633127,tertiary,False,False,22.324,"LINESTRING (30.1642486 40.5020918, 30.1642864 40.5022905)",,,,,,
213999506,residential,False,True,343.83899999999994,"LINESTRING (30.1642486 40.5020918, 30.1653116 40.5020598, 30.1662782 40.5020104, 30.1667814 40.5019833, 30.167229 40.5019516, 30.1678819 40.5019094, 30.1683065 40.5018998)",,,,,,
125299275,residential,False,False,19.886,"LINESTRING (30.1642864 40.5022905, 30.1645206 40.5023069)",,,,,,
264633127,tertiary,False,True,22.324,"LINESTRING (30.1642864 40.5022905, 30.1642486 40.5020918)",,,,,,
125299286,tertiary,False,True,150.43699999999998,"LINESTRING (30.1642864 40.5022905, 30.1641154 40.5023162, 30.1639918 40.5023603, 30.1638639 40.5024309, 30.1637553 40.5025216, 30.163674 40.5026327, 30.1636168 40.5027476, 30.163571 40.5028898, 30.1635465 40.5030813, 30.1635261 40.5033658)",,,,,,
125299275,residential,False,False,25.695,"LINESTRING (30.1645206 40.5023069, 30.164821 40.5023419)",,,,,,
125299275,residential,False,True,19.886,"LINESTRING (30.1645206 40.5023069, 30.1642864 40.5022905)",,,,,,
213999178,residential,False,False,88.632,"LINESTRING (30.1645206 40.5023069, 30.1645762 40.5024712, 30.1646531 40.5027172, 30.1647162 40.5030887)",,,,,,
125299275,residential,False,False,75.97,"LINESTRING (30.164821 40.5023419, 30.1656726 40.5025598)",,,,,,
125299275,residential,False,True,25.695,"LINESTRING (30.164821 40.5023419, 30.1645206 40.5023069)",,,,,,
214000387,residential,False,False,265.86800000000005,"LINESTRING (30.164821 40.5023419, 30.1648818 40.5022996, 30.165015 40.5022711, 30.165867 40.5022197, 30.1668456 40.5021927, 30.1672585 40.5021752, 30.16751 40.5021796, 30.1677268 40.5021612, 30.1679333 40.5021588)",,,,,,
213999814,tertiary,False,False,47.197,"LINESTRING (30.1745854 40.5042963, 30.1740303 40.5042514)",,,,,,
1154622498,tertiary,False,False,120.46,"LINESTRING (30.1745854 40.5042963, 30.1740878 40.5053114)",,,,,,
1154622498,tertiary,False,True,39.476,"LINESTRING (30.1745854 40.5042963, 30.1747253 40.5039576)",,,,,,
213999473,residential,False,False,66.504,"LINESTRING (30.1740878 40.5053114, 30.1748507 40.5054571)",,,,,,
1154622498,tertiary,False,False,67.109,"LINESTRING (30.1740878 40.5053114, 30.1738155 40.5058783)",,,,,,
1154622498,tertiary,False,True,120.46,"LINESTRING (30.1740878 40.5053114, 30.1745854 40.5042963)",,,,,,
125299275,residential,False,True,40.262,"LINESTRING (30.1738155 40.5058783, 30.1733657 40.5057594)",,,,,,
1154622498,tertiary,False,True,67.109,"LINESTRING (30.1738155 40.5058783, 30.1740878 40.5053114)",,,,,,
"[1154622498, 125299259, 264645647]",tertiary,False,"[False, True]",175.85399999999998,"LINESTRING (30.1738155 40.5058783, 30.1735795 40.5062693, 30.1734161 40.5064685, 30.1731188 40.5067672, 30.1729403 40.5069713, 30.1726883 40.507198)",yes,,,,,
125299259,tertiary,False,True,47.052,"LINESTRING (30.1719312 40.5078122, 30.1713921 40.5079173)",,,,,,
210190248,residential,False,False,48.815,"LINESTRING (30.1719312 40.5078122, 30.1725011 40.5078827)",,,,,,
125299259,tertiary,False,False,36.25,"LINESTRING (30.1719312 40.5078122, 30.1721455 40.5076861, 30.1722474 40.5075945)",,,,,,
125299259,tertiary,False,False,47.052,"LINESTRING (30.1713921 40.5079173, 30.1719312 40.5078122)",,,,,,
125299259,tertiary,False,True,81.369,"LINESTRING (30.1713921 40.5079173, 30.17124 40.5079909, 30.1711018 40.5080907, 30.1708046 40.5084796)",,,,,,
