osmid,highway,oneway,reversed,length,geometry,ref,name,bridge,junction,lanes,maxspeed
448707081,residential,False,False,54.826,"LINESTRING (39.847181 40.95974, 39.847143 40.9596581, 39.8469591 40.9592763)",,,,,,
484987699,trunk,True,False,223.99,"LINESTRING (39.847181 40.95974, 39.8483857 40.959296, 39.8490081 40.9590787, 39.8496058 40.9589033)",D010,,,,,
133037850,tertiary,False,False,180.06699999999998,"LINESTRING (39.8414918 40.9580641, 39.841923 40.9588887, 39.8419578 40.9590305, 39.8418883 40.9594769, 39.8419428 40.9596098)",,İncirlik Cd.,,,,
"[133037850, 133037859, 133037876]",tertiary,False,True,93.084,"LINESTRING (39.8414918 40.9580641, 39.8415057 40.9577699, 39.8415475 40.9575703, 39.841624 40.9572815, 39.841644 40.9572379)",,İncirlik Cd.,yes,,,
273574833,residential,False,False,103.589,"LINESTRING (39.8463604 40.9615876, 39.8470085 40.9618171, 39.8474702 40.9619942)",,,,,,
"[273574833, 273574845]",residential,False,"[False, True]",321.051,"LINESTRING (39.8463604 40.9615876, 39.8460831 40.9613838, 39.8457472 40.9610707, 39.8455536 40.9609177, 39.8454227 40.96084, 39.845321 40.9608191, 39.8450905 40.9608776, 39.8448625 40.9609505, 39.8450568 40.9612615, 39.8457497 40.9620164, 39.8457569 40.962034, 39.8458055 40.9621522)",,,,,,
273574844,residential,False,False,78.722,"LINESTRING (39.8463604 40.9615876, 39.8461375 40.9618538, 39.8460147 40.9620033, 39.8458055 40.9621522)",,,,,,
273574833,residential,False,False,248.487,"LINESTRING (39.8474702 40.9619942, 39.8481352 40.9622302, 39.848527 40.9624063, 39.8487971 40.9625359, 39.8488617 40.9625632, 39.8488172 40.9625947, 39.8486682 40.9626786, 39.8484732 40.9627958, 39.8477425 40.963164)",,,,,,
273574833,residential,False,True,103.589,"LINESTRING (39.8474702 40.9619942, 39.8470085 40.9618171, 39.8463604 40.9615876)",,,,,,
273574853,residential,False,False,56.947,"LINESTRING (39.8474702 40.9619942, 39.8473313 40.9621695, 39.8472714 40.9622439, 39.8470997 40.9624226)",,,,,,
273574845,residential,False,False,100.805,"LINESTRING (39.8458055 40.9621522, 39.8465336 40.962873)",,,,,,
273574844,residential,False,True,78.72200000000001,"LINESTRING (39.8458055 40.9621522, 39.8460147 40.9620033, 39.8461375 40.9618538, 39.8463604 40.9615876)",,,,,,
"[273574833, 273574845]",residential,False,"[False, True]",321.05100000000004,"LINESTRING (39.8458055 40.9621522, 39.8457569 40.962034, 39.8457497 40.9620164, 39.8450568 40.9612615, 39.8448625 40.9609505, 39.8450905 40.9608776, 39.845321 40.9608191, 39.8454227 40.96084, 39.8455536 40.9609177, 39.8457472 40.9610707, 39.8460831 40.9613838, 39.8463604 40.9615876)",,,,,,
273574853,residential,False,False,69.04899999999999,"LINESTRING (39.8470997 40.9624226, 39.8469941 40.9625067, 39.8467829 40.9626747, 39.8465336 40.962873)",,,,,,
273574853,residential,False,True,56.947,"LINESTRING (39.8470997 40.9624226, 39.8472714 40.9622439, 39.8473313 40.9621695, 39.8474702 40.9619942)",,,,,,
503663682,residential,False,False,99.23,"LINESTRING (39.8470997 40.9624226, 39.8471515 40.9624492, 39.8472559 40.9625427, 39.8473249 40.9626549, 39.8474452 40.9628006, 39.8475273 40.9629097, 39.8475709 40.9629676, 39.8477425 40.963164)",,,,,,
273574832,residential,False,False,100.207,"LINESTRING (39.8453907 40.9626778, 39.8461255 40.9633879)",,Eyüpoğlu Sk.,,,,
273574835,residential,False,True,94.845,"LINESTRING (39.8453907 40.9626778, 39.8444936 40.9631961)",,,,,,
273574832,residential,False,True,205.458,"LINESTRING (39.8453907 40.9626778, 39.8449953 40.9623226, 39.8439257 40.9611991)",,Eyüpoğlu Sk.,,,,
273574832,residential,False,True,25.432000000000002,"LINESTRING (39.8472427 40.9626798, 39.8470619 40.9628058, 39.8470796 40.9628466)",,Eyüpoğlu Sk.,,,,
273574832,residential,False,True,45.493,"LINESTRING (39.8470796 40.9628466, 39.8466882 40.9631295)",,Eyüpoğlu Sk.,,,,
273574836,residential,False,False,60.522,"LINESTRING (39.8470796 40.9628466, 39.8475345 40.9632688)",,,,,,
273574832,residential,False,False,25.432000000000002,"LINESTRING (39.8470796 40.9628466, 39.8470619 40.9628058, 39.8472427 40.9626798)",,Eyüpoğlu Sk.,,,,
273574845,residential,False,True,100.805,"LINESTRING (39.8465336 40.962873, 39.8458055 40.9621522)",,,,,,
273574853,residential,False,False,66.771,"LINESTRING (39.8465336 40.962873, 39.8464799 40.9629277, 39.8461922 40.9632964, 39.8461255 40.9633879)",,,,,,
273574853,residential,False,True,69.049,"LINESTRING (39.8465336 40.962873, 39.8467829 40.9626747, 39.8469941 40.9625067, 39.8470997 40.9624226)",,,,,,
273574832,residential,False,False,45.493,"LINESTRING (39.8466882 40.9631295, 39.8470796 40.9628466)",,Eyüpoğlu Sk.,,,,
273574832,residential,False,True,26.898,"LINESTRING (39.8466882 40.9631295, 39.8464476 40.9632892)",,Eyüpoğlu Sk.,,,,
273574837,residential,False,False,56.832,"LINESTRING (39.8466882 40.9631295, 39.8471233 40.963521)",,,,,,
273574835,residential,False,False,94.845,"LINESTRING (39.8444936 40.9631961, 39.8453907 40.9626778)",,,,,,
1095667957,residential,False,False,31.887,"LINESTRING (39.8444936 40.9631961, 39.8447159 40.9634286)",,,,,,
