osmid,highway,oneway,reversed,length,lanes,name,geometry,ref,bridge,junction
108223045,residential,False,True,23.31,,,"LINESTRING (43.3735284 38.5146164, 43.3737859 38.5146743)",,,
1161109369,trunk,True,False,105.752,2,Erciş Yolu,"LINESTRING (43.3752682 38.5113166, 43.3754051 38.5122616)",,,
108223013,trunk_link,True,False,191.00400000000002,,,"LINESTRING (43.3752682 38.5113166, 43.3755313 38.5117167, 43.3759497 38.5121171, 43.3762843 38.512326, 43.3767821 38.512471)",,,
108190043,secondary,False,True,64.361,,İskele Caddesi,"LINESTRING (43.3754001 38.5081401, 43.3758765 38.5080608, 43.3761199 38.5080079)",,,
420478679,secondary,True,False,66.071,,,"LINESTRING (43.3754001 38.5081401, 43.3751225 38.5082596, 43.3749193 38.5083729, 43.3747428 38.508434)",,,
88691397,trunk,True,False,71.573,2,,"LINESTRING (43.3747192 38.5131151, 43.374976 38.5125036)",D975,,
134472097,residential,False,True,213.9,,,"LINESTRING (43.3747192 38.5131151, 43.3731574 38.5131802, 43.3722656 38.5132338)",,,
108223100,residential,False,False,9.614,,,"LINESTRING (43.3753399 38.51269, 43.3753921 38.5127662)",,,
130008260,trunk,True,False,32.138,2,Erciş Yolu,"LINESTRING (43.3753399 38.51269, 43.3751481 38.512937)",D975,,
108223066,trunk_link,True,False,42.051,,,"LINESTRING (43.3753399 38.51269, 43.3751124 38.5126591, 43.3750319 38.512613, 43.3749971 38.512571, 43.374976 38.5125036)",,,
130008260,trunk,True,False,48.271,2,Erciş Yolu,"LINESTRING (43.3754051 38.5122616, 43.3754067 38.512428, 43.3753781 38.5125831, 43.3753399 38.51269)",D975,,
1161109368,trunk,True,False,122.17099999999999,,Van-Saray Yolu,"LINESTRING (43.3754051 38.5122616, 43.3760914 38.5123411, 43.3767821 38.512471)",,,
88691397,trunk,True,False,36.05,2,,"LINESTRING (43.3745759 38.5134193, 43.3747192 38.5131151)",D975,,
134472089,residential,False,True,199.696,,,"LINESTRING (43.3745759 38.5134193, 43.3723228 38.5137617)",,,
134471810,residential,False,True,19.585,,,"LINESTRING (43.3721454 38.5153388, 43.3720404 38.515183)",,,
88691397,trunk,True,False,303.183,2,,"LINESTRING (43.3721454 38.5153388, 43.3734567 38.5145308, 43.373785 38.5142289, 43.3742404 38.5138474, 43.3745759 38.5134193)",D975,,
134472229,residential,False,False,11.646,,,"LINESTRING (43.3783534 38.5128679, 43.3783864 38.5127664)",,,
716708946,trunk,True,False,219.71300000000002,,Van-Saray Yolu,"LINESTRING (43.3783534 38.5128679, 43.3774699 38.5126794, 43.3765043 38.5125241, 43.3762254 38.5125136, 43.3758847 38.5125534)",D300,,
82381265,trunk,True,False,176.385,,,"LINESTRING (43.3750145 38.5123615, 43.3750587 38.5120144, 43.3750832 38.511511, 43.3750001 38.5107802)",D300;D975,,
82381268,trunk_link,True,False,38.028999999999996,,,"LINESTRING (43.3750145 38.5123615, 43.3750722 38.5123045, 43.3751336 38.5122803, 43.3751982 38.5122625, 43.3754051 38.5122616)",,,
1161109366,trunk,True,False,5.536,2,,"LINESTRING (43.374976 38.5125036, 43.3749892 38.5124549)",D300,,
107886984,primary,True,False,103.829,,İskele Caddesi,"LINESTRING (43.3712751 38.5090915, 43.3701191 38.5093231)",,,
108191740,residential,False,True,10.041,,,"LINESTRING (43.3712751 38.5090915, 43.3712476 38.5090038)",,,
213150991,residential,False,True,98.923,,,"LINESTRING (43.3712751 38.5090915, 43.3713423 38.5093012, 43.3715802 38.5099484)",,,
108191740,residential,False,False,10.041,,,"LINESTRING (43.3712476 38.5090038, 43.3712751 38.5090915)",,,
134621270,primary,True,False,284.139,,,"LINESTRING (43.3712476 38.5090038, 43.3726897 38.508697, 43.373818 38.5084847, 43.3741666 38.5083862, 43.3743804 38.5083009)",,,
108191742,residential,False,True,9.002,,,"LINESTRING (43.3701191 38.5093231, 43.3700938 38.5092446)",,,
108191742,residential,False,False,9.002,,,"LINESTRING (43.3700938 38.5092446, 43.3701191 38.5093231)",,,
134621270,primary,True,False,103.903,,,"LINESTRING (43.3700938 38.5092446, 43.3712476 38.5090038)",,,
