osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge,tunnel,maxspeed,junction
370884940,Suphi Kalafatoğlu Sokak,residential,False,True,28.347,"LINESTRING (32.383767 41.746757, 32.3837091 41.7466019, 32.3836754 41.7465114)",,,,,
512866127,Zübeyde Hanım Caddesi,secondary,False,False,95.082,"LINESTRING (32.383767 41.746757, 32.3846241 41.7468783, 32.384893 41.7469164)",,,,,
62369793,Cumhuriyet Caddesi,secondary,False,False,50.478,"LINESTRING (32.3855463 41.7470091, 32.3855626 41.7465553)",,,,,
370885476,Tahir Hoca Sokak,residential,True,False,87.414,"LINESTRING (32.3855463 41.7470091, 32.3857248 41.7470282, 32.3861942 41.7471058, 32.3865744 41.7471787)",,,,,
512866127,Zübeyde Hanım Caddesi,secondary,False,True,55.171,"LINESTRING (32.3855463 41.7470091, 32.3853651 41.7469834, 32.384893 41.7469164)",,,,,
32484649,Turgut Işık Caddesi,residential,True,False,92.711,"LINESTRING (32.3871913 41.7472424, 32.3873259 41.7480701)",,,,,
32484649,Turgut Işık Caddesi,residential,True,False,22.016,"LINESTRING (32.3875021 41.7456813, 32.3874352 41.7458729)",,,,,
108293252,Kum Tabya Sokak,residential,False,False,104.77499999999999,"LINESTRING (32.3875021 41.7456813, 32.3876542 41.74522, 32.38777 41.7449786, 32.3877249 41.7449234, 32.3876506 41.7448967, 32.3875446 41.7449268)",,,,,
512866124,Turgut Işık Caddesi,unclassified,False,True,152.921,"LINESTRING (32.3875021 41.7456813, 32.3878087 41.7452906, 32.3885064 41.744529)",,,,,
370884930,,residential,True,False,43.073,"LINESTRING (32.3873259 41.7480701, 32.3868396 41.7482058)",,,,,
32484649,Turgut Işık Caddesi,residential,True,False,98.741,"LINESTRING (32.3873259 41.7480701, 32.3874661 41.7482464, 32.3875213 41.7483158, 32.3877374 41.7485665, 32.3880722 41.7487402)",,,,,
66042744,General Mithat Ceylan Caddesi,residential,True,False,25.778,"LINESTRING (32.3882979 41.7487967, 32.388005 41.7488741)",,,,,
32484648,General Mithat Ceylan Caddesi,residential,False,True,259.59299999999996,"LINESTRING (32.3882979 41.7487967, 32.3885624 41.7487633, 32.3890224 41.748862, 32.3893651 41.7490467, 32.3899701 41.7491956, 32.3903229 41.7491999, 32.3908901 41.7495404, 32.3910149 41.7496947)",2,,,,
32484648,General Mithat Ceylan Caddesi,residential,False,False,259.593,"LINESTRING (32.3910149 41.7496947, 32.3908901 41.7495404, 32.3903229 41.7491999, 32.3899701 41.7491956, 32.3893651 41.7490467, 32.3890224 41.748862, 32.3885624 41.7487633, 32.3882979 41.7487967)",2,,,,
32484649,Turgut Işık Caddesi,residential,True,False,19.75,"LINESTRING (32.3880722 41.7487402, 32.3882979 41.7487967)",,,,,
370935874,,residential,True,False,15.898,"LINESTRING (32.3880722 41.7487402, 32.388005 41.7488741)",,,,,
66042744,General Mithat Ceylan Caddesi,residential,True,False,76.969,"LINESTRING (32.388005 41.7488741, 32.3878128 41.7488805, 32.3876102 41.7488744, 32.3872781 41.7488256, 32.387159 41.7487112)",,,,,
66042744,General Mithat Ceylan Caddesi,residential,True,False,75.387,"LINESTRING (32.387159 41.7487112, 32.3869798 41.7484721, 32.3869291 41.7484231, 32.3868427 41.7483691, 32.3865083 41.7483032)",,,,,
370884942,,residential,False,True,97.271,"LINESTRING (32.387159 41.7487112, 32.3869933 41.7487446, 32.3868378 41.7485986, 32.3864596 41.7486506, 32.3861034 41.7487145)",,,,,
66042744,General Mithat Ceylan Caddesi,residential,True,False,7.188,"LINESTRING (32.3865083 41.7483032, 32.3864246 41.7483199)",,,,,
66042744,General Mithat Ceylan Caddesi,residential,True,False,38.863,"LINESTRING (32.3864246 41.7483199, 32.3861585 41.7483859, 32.3859928 41.7484522)",,,,,
253471876,,residential,False,True,30.576,"LINESTRING (32.3859928 41.7484522, 32.3861034 41.7487145)",,,,,
32484652,Cumhuriyet Caddesi,residential,True,False,67.42699999999999,"LINESTRING (32.3859928 41.7484522, 32.3859548 41.7483509, 32.3858815 41.7481707, 32.3857666 41.7478698)",,,,,
512866163,,residential,False,True,34.259,"LINESTRING (32.3859928 41.7484522, 32.38574 41.7485862, 32.385668 41.748641)",2,,,,
"[512866162, 108293255]",,residential,False,False,170.633,"LINESTRING (32.3845997 41.7499993, 32.3847111 41.7497566, 32.3848353 41.7496967, 32.3851625 41.7496875, 32.3855565 41.7495651, 32.3855698 41.749472, 32.3855602 41.7493609, 32.3855359 41.7489613)",2,,,,
"[512866152, 66042826, 108293247, 108293255]","['Kemere Köprüsü', 'Nöbethane Sokak']",residential,False,True,74.05600000000001,"LINESTRING (32.3845997 41.7499993, 32.3845765 41.7500906, 32.3846656 41.7502381, 32.3845652 41.7504676, 32.3844808 41.7506031, 32.3844688 41.7506215)","['1', '2']",yes,yes,20,
370884928,Kemere Sokak,residential,False,False,116.647,"LINESTRING (32.3845997 41.7499993, 32.3848071 41.7499582, 32.38493 41.7499252, 32.3851379 41.7498795, 32.3853805 41.7498983, 32.3855887 41.7498965, 32.3856358 41.7498857, 32.3857822 41.7498965, 32.3859687 41.7498524)",,,,,
