osmid,oneway,highway,access,reversed,length,name,geometry
59762568,True,secondary,yes,False,27.022,,"LINESTRING (28.6088181 37.7349877, 28.6086208 37.7348014)"
684778204,False,secondary,yes,True,11.717,Kuyucak - Karacasu Yolu,"LINESTRING (28.6088181 37.7349877, 28.6088965 37.7350729)"
290415120,False,residential,,True,63.437,,"LINESTRING (28.6060308 37.7323554, 28.6055985 37.7328121)"
59762568,True,secondary,yes,False,54.146,,"LINESTRING (28.6060308 37.7323554, 28.6058488 37.7320858, 28.6056973 37.7319497)"
27375556,False,secondary,yes,True,27.177,,"LINESTRING (28.6062566 37.7305996, 28.6064211 37.7303927)"
59762571,True,secondary,,False,19.661,,"LINESTRING (28.6062566 37.7305996, 28.6062982 37.7306064, 28.6063431 37.7306307, 28.6063661 37.7306591, 28.6063754 37.7306919, 28.6063704 37.7307245)"
179821406,False,tertiary,,False,143.551,,"LINESTRING (28.6087396 37.7265708, 28.6080079 37.7277248)"
179821406,False,tertiary,,True,21.523,,"LINESTRING (28.6087396 37.7265708, 28.6088455 37.7263963)"
27375556,False,secondary,yes,False,53.768,,"LINESTRING (28.6072254 37.728978, 28.606968 37.7294166)"
46990794,False,secondary,yes,False,52.944,Karacasu - Tavas Yolu,"LINESTRING (28.6072254 37.728978, 28.6077386 37.7292269)"
59762628,False,tertiary,,False,41.17,,"LINESTRING (28.6072254 37.728978, 28.6068159 37.7287986)"
179821406,False,tertiary,,True,54.955,,"LINESTRING (28.6072254 37.728978, 28.6075037 37.7285355)"
290415118,False,residential,,True,84.61,,"LINESTRING (28.6056973 37.7319497, 28.6053596 37.7326622)"
747508093,False,residential,,True,99.033,,"LINESTRING (28.6056973 37.7319497, 28.6047072 37.7315254)"
59762568,True,secondary,yes,False,45.056,,"LINESTRING (28.6056973 37.7319497, 28.6057579 37.731636, 28.6058015 37.7315552)"
46990794,False,secondary,yes,False,41.889,Karacasu - Tavas Yolu,"LINESTRING (28.6091073 37.7298255, 28.6095493 37.7299659)"
46990794,False,secondary,yes,True,24.687,Karacasu - Tavas Yolu,"LINESTRING (28.6091073 37.7298255, 28.6088527 37.729732)"
685240588,False,residential,,True,41.662,,"LINESTRING (28.6091073 37.7298255, 28.6089503 37.730179)"
59762571,True,secondary,,False,11.234,,"LINESTRING (28.6061673 37.7307657, 28.6061425 37.7307383, 28.6061311 37.7307059, 28.6061344 37.7306723)"
59762569,True,secondary,yes,False,66.652,,"LINESTRING (28.6063704 37.7307245, 28.6070645 37.7309652)"
