osmid,oneway,highway,reversed,length,geometry,name,maxspeed,tunnel
77383848,True,residential,False,32.476,"LINESTRING (28.8835027 41.0402318, 28.8835177 41.0402785, 28.8835155 41.0403202, 28.8834991 41.040366, 28.8834913 41.0404167, 28.8834988 41.0404626, 28.883519 41.0405181)",,,
230017785,True,secondary,False,28.149,"LINESTRING (28.8835027 41.0402318, 28.8834364 41.0402709, 28.8832937 41.0403464, 28.8832306 41.0403799)",Fevzi Çakmak Caddesi,,
230019749,True,residential,False,40.116,"LINESTRING (28.8835027 41.0402318, 28.8834499 41.0402235, 28.883386 41.0402312, 28.8832054 41.0402679, 28.8831338 41.0402693, 28.8830328 41.0402705)",,,
230017785,True,secondary,False,72.082,"LINESTRING (28.8828438 41.040701, 28.8822713 41.0411845)",Fevzi Çakmak Caddesi,,
77383849,False,residential,True,110.774,"LINESTRING (28.8828438 41.040701, 28.882411 41.040543, 28.8820677 41.0404459, 28.8816155 41.0403404)",1111. Sokak,,
230017785,True,secondary,False,15.12,"LINESTRING (28.8822713 41.0411845, 28.8821536 41.0412875)",Fevzi Çakmak Caddesi,,
77383855,True,residential,False,47.764,"LINESTRING (28.8822713 41.0411845, 28.8823152 41.0412116, 28.8827207 41.0413598, 28.8827772 41.0413794)",1115. Sokak,30,
77383853,False,residential,True,77.034,"LINESTRING (28.8821536 41.0412875, 28.8812981 41.0410353)",1112. Sokak,,
230017785,True,secondary,False,33.662,"LINESTRING (28.8821536 41.0412875, 28.8819114 41.0415289)",Fevzi Çakmak Caddesi,,
230017784,True,secondary,False,6.654,"LINESTRING (28.8816074 41.0418067, 28.8815638 41.0418567)",Fevzi Çakmak Caddesi,,
77383850,False,residential,True,57.237,"LINESTRING (28.8816074 41.0418067, 28.8810429 41.0415822, 28.8810022 41.041569)",1113. Sokak,,
230017784,True,secondary,False,26.826,"LINESTRING (28.8815638 41.0418567, 28.881341 41.0420298)",Fevzi Çakmak Caddesi,,
77383849,False,residential,False,110.774,"LINESTRING (28.8816155 41.0403404, 28.8820677 41.0404459, 28.882411 41.040543, 28.8828438 41.040701)",1111. Sokak,,
77581333,False,residential,True,58.018,"LINESTRING (28.8816155 41.0403404, 28.8814186 41.040261, 28.8813435 41.0401881, 28.8812248 41.0399429)",302. Sokak,,
1119712841,True,secondary,False,54.188,"LINESTRING (28.8816155 41.0403404, 28.8816841 41.0401141, 28.8817246 41.0399492, 28.8817458 41.0398632)",Atışalanı Caddesi,30,
77383853,False,residential,False,77.034,"LINESTRING (28.8812981 41.0410353, 28.8821536 41.0412875)",1112. Sokak,,
1119712841,True,secondary,False,34.573,"LINESTRING (28.8812981 41.0410353, 28.8814379 41.0407428)",Atışalanı Caddesi,30,
77383855,True,residential,False,47.373000000000005,"LINESTRING (28.8827772 41.0413794, 28.8828176 41.0413944, 28.8832378 41.0415404, 28.8832897 41.0415585)",1115. Sokak,30,
