osmid,ref,highway,oneway,reversed,length,geometry,junction,name
320173659,D020,primary,False,False,17.394,"LINESTRING (30.1503766 41.0702349, 30.1501846 41.0702942)",,
320173659,D020,primary,False,True,42.369,"LINESTRING (30.1503766 41.0702349, 30.1503875 41.0699804, 30.1504008 41.0698544)",,
320173659,D020,primary,False,False,26.268,"LINESTRING (30.1481199 41.0709933, 30.1478309 41.070902)",,
320173659,D020,primary,False,True,26.693,"LINESTRING (30.1481199 41.0709933, 30.1484195 41.0710746)",,
320192663,,residential,False,True,35.798,"LINESTRING (30.1481199 41.0709933, 30.1480438 41.0708888, 30.1479633 41.0708362, 30.1478131 41.0707897)",,
320173645,,residential,False,True,56.139,"LINESTRING (30.1505317 41.0693549, 30.1498625 41.0693736)",,
320174485,,residential,False,True,40.798,"LINESTRING (30.1505317 41.0693549, 30.1505329 41.068988)",,
1143769586,D020,primary,False,True,32.094,"LINESTRING (30.1505317 41.0693549, 30.1509082 41.0693026)",,
320173659,D020,primary,False,False,57.768,"LINESTRING (30.1505317 41.0693549, 30.1504467 41.0694633, 30.1503983 41.0697299, 30.1504008 41.0698544)",,
320173659,D020,primary,False,False,36.18,"LINESTRING (30.1497632 41.0705483, 30.149371 41.0706841)",,
320177305,,tertiary,False,True,45.491,"LINESTRING (30.1497632 41.0705483, 30.1502727 41.0704075)",,
320173659,D020,primary,False,True,46.0,"LINESTRING (30.1497632 41.0705483, 30.1500366 41.0703399, 30.1501846 41.0702942)",,
320173659,D020,primary,False,False,26.693,"LINESTRING (30.1484195 41.0710746, 30.1481199 41.0709933)",,
320173659,D020,primary,False,True,33.901,"LINESTRING (30.1484195 41.0710746, 30.1488032 41.0709783)",,
320195648,,residential,False,True,92.462,"LINESTRING (30.1484195 41.0710746, 30.1482932 41.0712164, 30.1481457 41.0713559, 30.147797 41.0717603)",,
320195658,,residential,False,False,61.729,"LINESTRING (30.1484195 41.0710746, 30.1485212 41.0712386, 30.1485185 41.0716127)",,
320173659,D020,primary,False,False,33.901,"LINESTRING (30.1488032 41.0709783, 30.1484195 41.0710746)",,
242030583,,tertiary,False,True,39.391,"LINESTRING (30.1488032 41.0709783, 30.1491703 41.0710142, 30.1492247 41.0710772)",,
320173659,D020,primary,False,True,58.181,"LINESTRING (30.1488032 41.0709783, 30.1491616 41.0707566, 30.149371 41.0706841)",,
