osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,junction
719674611,True,3,primary_link,False,195.084,"LINESTRING (28.5770821 41.0198828, 28.5769159 41.0199081, 28.576723 41.0199234, 28.5765223 41.0199247, 28.5760402 41.0199321, 28.5756788 41.0199131, 28.5753035 41.0198828, 28.574942 41.019857, 28.5747669 41.0198428)",,,,
1064440621,True,,secondary,False,24.72,"LINESTRING (28.5850622 41.0249555, 28.5848695 41.0249623, 28.5847678 41.0249595)",Abdurrahman Ereke Caddesi,,,
1064440620,False,,secondary,False,25.155,"LINESTRING (28.5847678 41.0249595, 28.584468 41.0249642)",Abdurrahman Ereke Caddesi,,,
5153312,True,,secondary,False,61.894999999999996,"LINESTRING (28.5847678 41.0249595, 28.5849582 41.0248857, 28.5850585 41.0248267, 28.5851027 41.0247886, 28.5851388 41.024748, 28.5851687 41.0246904, 28.585233 41.0245614)",,,,
922988457,False,,residential,True,99.391,"LINESTRING (28.5835454 41.025018, 28.583878 41.0258759)",Çiçek Sokağı,,,
1064440620,False,,secondary,False,89.99,"LINESTRING (28.5835454 41.025018, 28.5824745 41.0250654)",Abdurrahman Ereke Caddesi,,,
1064440620,False,,secondary,True,63.858,"LINESTRING (28.5835454 41.025018, 28.5843044 41.0249741)",Abdurrahman Ereke Caddesi,,,
5153409,False,,residential,True,77.827,"LINESTRING (28.5824745 41.0250654, 28.5827718 41.0257284)",Gölboyu Caddesi,,,
5153412,True,,secondary,False,53.743,"LINESTRING (28.5824745 41.0250654, 28.5822775 41.0246055)",Gölboyu Caddesi,,,
945991174,False,,secondary,False,64.611,"LINESTRING (28.5824745 41.0250654, 28.5817043 41.0250629)",Abdurrahman Ereke Caddesi,,,
1064440620,False,,secondary,True,89.99,"LINESTRING (28.5824745 41.0250654, 28.5835454 41.025018)",Abdurrahman Ereke Caddesi,,,
682058871,False,,secondary,True,38.834,"LINESTRING (28.5803682 41.0251208, 28.5799917 41.0249176)",Pazar Caddesi,,,
945991174,False,,secondary,True,112.268,"LINESTRING (28.5803682 41.0251208, 28.5817043 41.0250629)",Abdurrahman Ereke Caddesi,,,
682058871,False,,secondary,False,213.955,"LINESTRING (28.5803682 41.0251208, 28.5806508 41.0252627, 28.5809121 41.0253448, 28.5825732 41.0256888, 28.5827718 41.0257284)",Pazar Caddesi,,,
5153407,True,,tertiary,False,119.094,"LINESTRING (28.5854188 41.0243699, 28.5854018 41.024279, 28.5853859 41.024193, 28.5853298 41.0240935, 28.5852386 41.023994, 28.5849957 41.0237582, 28.5846846 41.0234791)",Şehit Serdar Erdal Sokağı,,,
5153404,True,,secondary,False,118.15899999999999,"LINESTRING (28.5841322 41.0239415, 28.584449 41.0240594, 28.5848861 41.0242221, 28.5851583 41.0243047, 28.5854188 41.0243699)",İstanbul Caddesi,,,
5153404,True,,secondary,False,61.609,"LINESTRING (28.5829789 41.0236167, 28.583672 41.0237999)",İstanbul Caddesi,,,
5153421,True,,residential,False,92.778,"LINESTRING (28.5829789 41.0236167, 28.5820384 41.0240557)",Ünsal Sokağı,,,
945887269,True,,secondary_link,False,15.639,"LINESTRING (28.5816273 41.0232793, 28.5817275 41.0231607)",,,,
5153404,True,,secondary,False,119.98700000000001,"LINESTRING (28.5816273 41.0232793, 28.5817022 41.0232836, 28.5817814 41.0232928, 28.5820789 41.0233439, 28.5829789 41.0236167)",İstanbul Caddesi,,,
5153412,True,,secondary,False,17.236,"LINESTRING (28.5822775 41.0246055, 28.5822085 41.0244595)",Gölboyu Caddesi,,,
5153418,True,,residential,False,140.674,"LINESTRING (28.5822775 41.0246055, 28.5838004 41.0240759)",Miray Sokağı,,,
