osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,access,width
131834482,False,2,Küçük Sokak,residential,True,99.331,"LINESTRING (27.3520564 41.4026385, 27.3521031 41.4027792, 27.3522674 41.403283, 27.3523084 41.4034125, 27.352341 41.4035059)",,,,
1044077106,True,2,Murat Hüdavendigar Caddesi,trunk,False,86.466,"LINESTRING (27.3520564 41.4026385, 27.3519642 41.4026589, 27.3514267 41.4027671, 27.3510779 41.4028374, 27.3510558 41.4028418)",D-100,50,,
1044077099,True,2,İstasyon Caddesi,primary,False,11.675,"LINESTRING (27.3549662 41.4021154, 27.3549347 41.4020131)",,50,,
1021676370,True,2,Murat Hüdavendigar Caddesi,trunk,False,29.088,"LINESTRING (27.3549662 41.4021154, 27.3549082 41.4021252, 27.3547674 41.4021499, 27.3547316 41.4021562, 27.3546265 41.4021746)",D-100,50,,
170632944,False,,Eski Bedir Caddesi,secondary,True,20.54,"LINESTRING (27.3599541 41.3997436, 27.3597079 41.3997476)",,50,,
1084080147,True,,Eski Bedir Caddesi,secondary,False,92.166,"LINESTRING (27.3577591 41.4019349, 27.3577448 41.4011061)",,50,,
1044077102,True,2,Murat Hüdavendigar Caddesi,trunk,False,269.67699999999996,"LINESTRING (27.3577591 41.4019349, 27.3578754 41.4019407, 27.3583992 41.4019666, 27.3590818 41.4020147, 27.3600045 41.4021082, 27.3600424 41.4021125, 27.3604061 41.4021541, 27.3605175 41.4021668, 27.3607732 41.402194, 27.3609692 41.4022148)",D-100,50,,
1044077103,True,2,Murat Hüdavendigar Caddesi,trunk,False,8.699,"LINESTRING (27.3549347 41.4020131, 27.3550384 41.4020047)",D-100,50,,
1044077104,True,2,İstasyon Caddesi,primary,False,23.068,"LINESTRING (27.3549347 41.4020131, 27.35492 41.4019619, 27.3549119 41.4019327, 27.3548777 41.4018101)",,50,,
131834409,True,,Şehit Uğur Gören Sokak,residential,False,90.007,"LINESTRING (27.3609878 41.3999262, 27.3609069 41.400337, 27.3608296 41.4007269)",,,,
481512717,True,,Arka Sokak,residential,False,88.967,"LINESTRING (27.3609878 41.3999262, 27.3603994 41.3998604, 27.3599541 41.3997436)",,,,
246555686,False,,Güven Sokak,residential,False,43.956,"LINESTRING (27.3508181 41.4002065, 27.3513384 41.4001437)",,,,
246555686,False,,Güven Sokak,residential,True,30.896,"LINESTRING (27.3508181 41.4002065, 27.3504514 41.4002458)",,,,
