osmid,oneway,highway,reversed,length,geometry,name,bridge,lanes,ref,junction
1204017559,True,primary,False,26.612000000000002,"LINESTRING (35.3232699 36.9883696, 35.3233911 36.9882787, 35.3235001 36.9882173)",,,,,
471557238,False,secondary,False,34.422,"LINESTRING (35.3166915 36.9875146, 35.3170759 36.987554)",Bakımyurdu Cadde,,,,
471557238,False,secondary,True,6.695,"LINESTRING (35.3166915 36.9875146, 35.3166163 36.9875105)",Bakımyurdu Cadde,,,,
193102578,False,unclassified,True,99.93,"LINESTRING (35.3166915 36.9875146, 35.3167181 36.9871864, 35.3168133 36.9866217)",,,,,
184423068,False,secondary,False,3.78,"LINESTRING (35.3204488 36.9878989, 35.3204768 36.9878733)",,,,,
194899382,False,residential,True,46.31,"LINESTRING (35.3204488 36.9878989, 35.3209702 36.987898)",,,,,
471557238,False,secondary,True,64.534,"LINESTRING (35.3204488 36.9878989, 35.3197281 36.9878252)",Bakımyurdu Cadde,,,,
184423068,False,secondary,True,129.51100000000002,"LINESTRING (35.3204488 36.9878989, 35.3204153 36.9880195, 35.3204153 36.9881124, 35.3204566 36.9883279, 35.3206177 36.988756, 35.32075 36.9890188)",,,,,
187958914,False,secondary,True,23.099,"LINESTRING (35.3249646 36.9857659, 35.3249427 36.9855589)",Saydam Caddesi,,,,
561769981,True,primary,False,29.903,"LINESTRING (35.3249646 36.9857659, 35.3250307 36.9857988, 35.3250859 36.9858166, 35.3251837 36.9858332, 35.3252829 36.9858303)",,,,,
55423126,False,residential,True,64.491,"LINESTRING (35.3269309 36.9925512, 35.3262133 36.9924625)",,,,,
55423179,False,residential,True,43.004,"LINESTRING (35.3269309 36.9925512, 35.3268869 36.9928672, 35.3268869 36.992936)",,,,,
55423188,False,residential,False,29.575,"LINESTRING (35.3262375 36.9941159, 35.3262295 36.99385)",,,,,
1135081257,False,residential,False,28.124,"LINESTRING (35.3262375 36.9941159, 35.3259319 36.9941822)",,,,,
55423179,False,residential,False,43.004,"LINESTRING (35.3268869 36.992936, 35.3268869 36.9928672, 35.3269309 36.9925512)",,,,,
55423188,False,residential,True,158.67399999999998,"LINESTRING (35.3268869 36.992936, 35.3262622 36.9929232, 35.3262195 36.993517, 35.3262295 36.99385)",,,,,
