osmid,highway,oneway,reversed,length,bridge,geometry,ref
287595068,residential,False,True,12.403,,"LINESTRING (39.4347851 40.1268539, 39.434664 40.1269161)",
"[172618754, 172618562, 172618543]",tertiary,False,False,92.4,yes,"LINESTRING (39.4347851 40.1268539, 39.4348194 40.1271007, 39.4349568 40.1273109, 39.4351499 40.1276258)",
172618527,residential,False,False,76.861,,"LINESTRING (39.4366117 40.1270713, 39.4372303 40.1271435, 39.4375052 40.1271764)",
172618527,residential,False,True,146.829,,"LINESTRING (39.4366117 40.1270713, 39.4362681 40.127045, 39.4357955 40.1271698, 39.435512 40.1274063, 39.4351499 40.1276258)",
172618621,residential,False,True,15.117,,"LINESTRING (39.4375052 40.1271764, 39.437389 40.1272793)",
172618527,residential,False,False,146.04700000000003,,"LINESTRING (39.4375052 40.1271764, 39.4379004 40.1271304, 39.43833 40.1272552, 39.4391461 40.1274588)",
172618527,residential,False,True,76.861,,"LINESTRING (39.4375052 40.1271764, 39.4372303 40.1271435, 39.4366117 40.1270713)",
172618527,residential,False,True,146.047,,"LINESTRING (39.4391461 40.1274588, 39.43833 40.1272552, 39.4379004 40.1271304, 39.4375052 40.1271764)",
172618641,residential,False,False,120.023,,"LINESTRING (39.4391461 40.1274588, 39.4383729 40.1277216, 39.4381409 40.1278596, 39.4379891 40.1280318)",
172618641,residential,False,True,137.81400000000002,,"LINESTRING (39.4391461 40.1274588, 39.439696 40.127334, 39.4401083 40.1271698, 39.4405624 40.1268909)",
172618543,tertiary,False,False,78.308,,"LINESTRING (39.4351499 40.1276258, 39.435541 40.1282634)",
172618527,residential,False,False,146.829,,"LINESTRING (39.4351499 40.1276258, 39.435512 40.1274063, 39.4357955 40.1271698, 39.4362681 40.127045, 39.4366117 40.1270713)",
"[172618562, 172618754, 172618543]",tertiary,False,True,92.4,yes,"LINESTRING (39.4351499 40.1276258, 39.4349568 40.1273109, 39.4348194 40.1271007, 39.4347851 40.1268539)",
172618621,residential,False,False,93.37100000000001,,"LINESTRING (39.4368179 40.1279647, 39.4368523 40.1277545, 39.437389 40.1272793)",
172618709,residential,False,False,81.356,,"LINESTRING (39.4368179 40.1279647, 39.4375482 40.1280501, 39.437766 40.1280411)",
172618709,residential,False,True,115.731,,"LINESTRING (39.4368179 40.1279647, 39.4366203 40.1279384, 39.4360189 40.1281354, 39.435541 40.1282634)",
172618709,residential,False,True,18.996,,"LINESTRING (39.4379891 40.1280318, 39.437766 40.1280411)",
172618641,residential,False,False,60.634,,"LINESTRING (39.4379891 40.1280318, 39.4378746 40.1281617, 39.4376169 40.1284967)",
172618641,residential,False,True,120.023,,"LINESTRING (39.4379891 40.1280318, 39.4381409 40.1278596, 39.4383729 40.1277216, 39.4391461 40.1274588)",
172618707,residential,False,False,248.492,,"LINESTRING (39.4379891 40.1280318, 39.4380464 40.1287923, 39.4381152 40.1290288, 39.4382011 40.1292522, 39.4381409 40.1295477, 39.438287 40.1302375)",
172618543,tertiary,False,True,78.308,,"LINESTRING (39.435541 40.1282634, 39.4351499 40.1276258)",
172628666,residential,False,True,33.073,,"LINESTRING (39.435541 40.1282634, 39.4351608 40.1283263)",
172618543,tertiary,False,False,145.208,,"LINESTRING (39.435541 40.1282634, 39.436194 40.129229, 39.4362545 40.1294429)",
172618709,residential,False,False,115.731,,"LINESTRING (39.435541 40.1282634, 39.4360189 40.1281354, 39.4366203 40.1279384, 39.4368179 40.1279647)",
