osmid,oneway,name,highway,reversed,length,bridge,lanes,geometry,maxspeed,width,junction
"[23639745, 23276954, 4471927]",True,Refik Saydam Caddesi,primary,False,158.172,yes,3,"LINESTRING (28.9677507 41.0253551, 28.9680088 41.025453, 28.9681659 41.0255128, 28.9682338 41.0255363, 28.9684454 41.0256054, 28.9685729 41.0256884, 28.9686917 41.0258287, 28.968726 41.0259323, 28.9687518 41.026036, 28.9687934 41.0261784, 28.9687982 41.0263682)",,,
23276966,True,,primary_link,False,123.60699999999999,,1,"LINESTRING (28.9677507 41.0253551, 28.967876 41.0253525, 28.9680335 41.0253866, 28.9683114 41.025449, 28.968493 41.0254958, 28.9685955 41.0255045, 28.9686907 41.0254945, 28.9687525 41.0254766, 28.9688073 41.0254521, 28.9688673 41.0254051, 28.9689092 41.0253767, 28.9689951 41.0253252, 28.9690885 41.0252675)",30,,
25539025,True,Kemeraltı Caddesi,primary,False,27.01,,,"LINESTRING (28.9764196 41.0244325, 28.976443 41.0244491, 28.9766539 41.0245991)",,,
25539030,True,Maliye Caddesi,residential,False,8.639,,,"LINESTRING (28.9764196 41.0244325, 28.9763958 41.024456, 28.9763803 41.0244776, 28.9763654 41.0244983)",,,
669715186,True,Necatibey Caddesi,secondary,False,15.407,,2,"LINESTRING (28.9787763 41.025451, 28.9789141 41.0255426)",,,
25539032,False,Kanarya Sokağı,residential,True,53.309000000000005,,,"LINESTRING (28.9787763 41.025451, 28.9785083 41.0258646, 28.9784993 41.0258824)",,,
23639745,True,Refik Saydam Caddesi,primary,False,41.095,,3,"LINESTRING (28.9687982 41.0263682, 28.9688085 41.0265073, 28.9688782 41.0266528, 28.9689358 41.0267146)",,,
23236898,True,Evliya Çelebi Caddesi,primary_link,False,314.72600000000006,,,"LINESTRING (28.9691788 41.0269429, 28.969411 41.0271216, 28.9695211 41.0271724, 28.969578 41.0271793, 28.9696544 41.0271885, 28.9698492 41.0271565, 28.9700259 41.0271523, 28.9701663 41.0271861, 28.9703411 41.0272872, 28.9704079 41.0273843, 28.9704449 41.0274761, 28.9704316 41.0275846, 28.9703923 41.0277001, 28.9698933 41.0285029, 28.9697474 41.0286778, 28.9694697 41.0288826)",,,
753363621,True,Refik Saydam Caddesi,primary,False,100.862,,3,"LINESTRING (28.9691788 41.0269429, 28.9693044 41.0270726, 28.9694448 41.0272175, 28.9696294 41.027397, 28.9699272 41.0276519)",,,
"[23236953, 23236954, 1064645868]",True,Refik Saydam Caddesi,primary,False,152.57999999999998,yes,3,"LINESTRING (28.9699272 41.0276519, 28.9701085 41.0277619, 28.9704487 41.0279392, 28.9705368 41.0279749, 28.9714812 41.0283588)",30,,
28585058,True,Refik Saydam Caddesi,primary,False,26.837,,3,"LINESTRING (28.9714812 41.0283588, 28.9717169 41.028522)",,,
313096670,True,,tertiary,False,86.77999999999999,,,"LINESTRING (28.9714812 41.0283588, 28.9715188 41.028325, 28.9715604 41.0282835, 28.9715778 41.028234, 28.9715725 41.0281227, 28.9715416 41.0279971, 28.9715564 41.0278323, 28.971583 41.0276901, 28.971603 41.0276453, 28.9716284 41.0276126)",,,
1120744123,True,Sadi Konuralp Caddesi,tertiary,False,18.815,,,"LINESTRING (28.9717169 41.028522, 28.9715796 41.0286558)",30,,
28585058,True,Refik Saydam Caddesi,primary,False,28.0,,3,"LINESTRING (28.9717169 41.028522, 28.9717933 41.0286572, 28.9718232 41.0287081, 28.9718488 41.0287533)",,,
28585058,True,Refik Saydam Caddesi,primary,False,191.896,,3,"LINESTRING (28.9717215 41.0298122, 28.9716493 41.0299656, 28.97162 41.0301688, 28.9716837 41.0303658, 28.9718054 41.0305111, 28.9719896 41.030624, 28.9721867 41.0307183, 28.9724611 41.0307985, 28.9726598 41.0308597, 28.9728693 41.0309547, 28.9729364 41.0309879)",,,
229127968,True,Kuytu Sokak,residential,False,177.446,,,"LINESTRING (28.9717215 41.0298122, 28.9719362 41.0298398, 28.9722435 41.0299249, 28.9728968 41.0309271, 28.9729364 41.0309879)",20,,
28585058,True,Refik Saydam Caddesi,primary,False,30.338,,3,"LINESTRING (28.9729364 41.0309879, 28.9731961 41.0311778)",,,
183819441,True,,residential,False,18.156,,,"LINESTRING (28.9729364 41.0309879, 28.9727743 41.0310961)",,,
"[23639778, 23639779, 23639695]",True,Refik Saydam Caddesi,primary_link,False,192.13400000000001,yes,,"LINESTRING (28.9688824 41.026829, 28.968744 41.0265823, 28.9686888 41.0264531, 28.968579 41.0260116, 28.9685584 41.0258637, 28.9685721 41.025797, 28.9686777 41.0256577, 28.9688296 41.0255069, 28.9689739 41.0253765, 28.9690885 41.0252675)",,,
827063322,True,Refik Saydam Caddesi,primary,False,44.079,,,"LINESTRING (28.9688824 41.026829, 28.9687003 41.0266317, 28.9686247 41.0264865)",,,
28585046,True,Refik Saydam Caddesi,primary,False,42.388000000000005,,3,"LINESTRING (28.9731499 41.0313505, 28.9729511 41.031204, 28.9727743 41.0310961)",,,
23236899,True,,primary_link,False,141.31699999999998,,,"LINESTRING (28.9715796 41.0286558, 28.9712494 41.0284754, 28.9711539 41.0284429, 28.9709789 41.0284315, 28.9708613 41.0284436, 28.970774 41.0284526, 28.9703753 41.0285622, 28.9700411 41.0286737)",,,
"[1064645867, 23236871, 23236879]",True,Refik Saydam Caddesi,primary,False,263.52500000000003,yes,3,"LINESTRING (28.9715796 41.0286558, 28.9714268 41.0285234, 28.9712253 41.0284029, 28.9708156 41.0282297, 28.9703561 41.0280505, 28.9700089 41.0278702, 28.969845 41.0277513, 28.9696846 41.0276034, 28.9695587 41.02746, 28.9692303 41.0271418)",,,
826449813,True,Refik Saydam Caddesi,primary,False,45.403,,3,"LINESTRING (28.9692303 41.0271418, 28.9688824 41.026829)",,,
885823655,True,Bahariye Caddesi,primary,False,44.521,,,"LINESTRING (28.9694697 41.0288826, 28.9691931 41.0290166, 28.9690193 41.0290943)",,,
153665673,False,Havuzbaşı Değirmeni Sokağı,residential,False,51.643,,,"LINESTRING (28.968048 41.0297526, 28.9681638 41.0298617, 28.9683696 41.0300556, 28.9684663 41.0300779)",,,
885823655,True,Bahariye Caddesi,primary,False,44.467,,,"LINESTRING (28.968048 41.0297526, 28.9680199 41.030015, 28.9680053 41.0301512)",,,
23236929,True,,primary_link,False,200.732,,,"LINESTRING (28.9693784 41.0287943, 28.9695071 41.0286907, 28.9696101 41.0285612, 28.9696702 41.0284447, 28.9697217 41.0282634, 28.9697217 41.0280756, 28.9696873 41.0279137, 28.9695938 41.0276635, 28.9695929 41.0276612, 28.9695575 41.027602, 28.9694728 41.0274605, 28.9692303 41.0271418)",,,
