osmid,oneway,highway,reversed,length,lanes,name,maxspeed,geometry,access,ref,tunnel,bridge
882149232,True,primary_link,False,30.998,,,,"LINESTRING (27.1250275 38.4163773, 27.1253692 38.416455)",,,,
549361711,True,primary,False,195.02800000000002,3,Mustafa Kemal Sahil Bulvarı,70,"LINESTRING (27.1250275 38.4163773, 27.1256258 38.4166902, 27.1262389 38.4170706, 27.1267286 38.4175023)",,,,
348704570,True,primary,False,132.787,,,30,"LINESTRING (27.1281641 38.4148299, 27.1282686 38.4146106, 27.1283519 38.4144642, 27.128441 38.4142756, 27.1285156 38.4141697, 27.1286039 38.4141162, 27.1286883 38.4140965, 27.128778 38.4141023, 27.1288709 38.4141389, 27.1288896 38.4141416, 27.1289273 38.4141967, 27.1289649 38.4142837)",,,,
305411479,True,primary_link,False,136.187,,,,"LINESTRING (27.1267054 38.4166569, 27.1264298 38.4168008, 27.1263644 38.4168352, 27.1262742 38.4168629, 27.1262018 38.4168698, 27.1260978 38.4168567, 27.1259938 38.4168164, 27.1259032 38.4167313, 27.1258719 38.4166485, 27.1258813 38.41657, 27.1259138 38.4164912, 27.1259874 38.4164099, 27.1261224 38.4163204)",,,,
"[868558936, 1109123226]",True,primary,False,107.199,,,,"LINESTRING (27.1267054 38.4166569, 27.1265334 38.4168277, 27.1264617 38.4169206, 27.1264402 38.4170332, 27.1264696 38.4171357, 27.1267286 38.4175023)",,,,
"[328323856, 739763300]",True,primary,False,115.11599999999999,,Varyant,,"LINESTRING (27.1275221 38.4157332, 27.1276703 38.4154949, 27.1279709 38.415125, 27.1281641 38.4148299)",,,,
859018896,True,unclassified,False,162.033,2,,,"LINESTRING (27.1253692 38.416455, 27.1256832 38.4164014, 27.1261019 38.4161523, 27.1264019 38.4159102, 27.1264736 38.4157031, 27.1264981 38.4154624)",,,,
882149232,True,primary_link,False,69.369,,,,"LINESTRING (27.1253692 38.416455, 27.1256255 38.4164745, 27.1258254 38.4164403, 27.1261224 38.4163204)",,,,
23615829,False,residential,False,73.825,,853. Sokak,,"LINESTRING (27.1309358 38.420542, 27.1311777 38.4199057)",,,,
23615829,False,residential,True,28.552,,853. Sokak,,"LINESTRING (27.1309358 38.420542, 27.1308284 38.4207846)",,,,
