osmid,ref,highway,oneway,reversed,length,geometry,bridge,lanes,maxspeed
241415727,D865,primary,False,False,46.892,"LINESTRING (38.4496 40.73604, 38.44955 40.73646)",,,
189837835,,tertiary,False,True,46.759,"LINESTRING (38.4496 40.73604, 38.4494985 40.7358524, 38.4493833 40.7356529)",,,
"[220265415, 241415726, 241415727]",D865,primary,False,True,63.17700000000001,"LINESTRING (38.4496 40.73604, 38.4496248 40.7359546, 38.4497116 40.7357103, 38.4497774 40.7354881)",yes,2,90
241415727,D865,primary,False,True,46.892,"LINESTRING (38.44955 40.73646, 38.4496 40.73604)",,,
189837828,,tertiary,False,True,384.516,"LINESTRING (38.44955 40.73646, 38.4496198 40.7367917, 38.4497845 40.7385651, 38.4497759 40.7389329, 38.4496719 40.7392285, 38.4493 40.739837)",,,
241415727,D865,primary,False,False,329.382,"LINESTRING (38.44955 40.73646, 38.4491139 40.7377913, 38.4490052 40.7385073, 38.4490588 40.7390509, 38.4491203 40.7393722)",,,
241415727,D865,primary,False,True,53.855,"LINESTRING (38.4493 40.739837, 38.4491203 40.7393722)",,,
189837828,,tertiary,False,False,384.516,"LINESTRING (38.4493 40.739837, 38.4496719 40.7392285, 38.4497759 40.7389329, 38.4497845 40.7385651, 38.4496198 40.7367917, 38.44955 40.73646)",,,
"[189837768, 189837769, 241415727]",D865,primary,False,False,119.292,"LINESTRING (38.4493 40.739837, 38.4494806 40.7400884, 38.4497581 40.7403889, 38.44984 40.74065, 38.4498658 40.7408002)",yes,,
"[189837768, 189837769, 241415727]",D865,primary,False,True,119.292,"LINESTRING (38.4498658 40.7408002, 38.44984 40.74065, 38.4497581 40.7403889, 38.4494806 40.7400884, 38.4493 40.739837)",yes,,
189837789,,tertiary,False,True,111.49900000000001,"LINESTRING (38.4498658 40.7408002, 38.4500099 40.7404567, 38.4501313 40.7400232, 38.4501821 40.7398278)",,,
220265415,D865,primary,False,False,19.283,"LINESTRING (38.4498315 40.7353196, 38.4497774 40.7354881)",,2,90
"[189837810, 189837803, 189837789]",,tertiary,False,False,70.773,"LINESTRING (38.4498315 40.7353196, 38.4500186 40.7353598, 38.4505321 40.7355191, 38.4506001 40.7355645)",yes,,
220265415,D865,primary,False,True,19.283,"LINESTRING (38.4497774 40.7354881, 38.4498315 40.7353196)",,2,90
"[241415727, 241415726, 220265415]",D865,primary,False,False,63.177,"LINESTRING (38.4497774 40.7354881, 38.4497116 40.7357103, 38.4496248 40.7359546, 38.4496 40.73604)",yes,2,90
"[241415737, 189837811, 241415741]",,residential,False,True,37.964999999999996,"LINESTRING (38.4497774 40.7354881, 38.4496372 40.7355459, 38.4494264 40.7356399, 38.4493833 40.7356529)",yes,,
"[241415737, 189837811, 241415741]",,residential,False,False,37.965,"LINESTRING (38.4493833 40.7356529, 38.4494264 40.7356399, 38.4496372 40.7355459, 38.4497774 40.7354881)",yes,,
189837835,,tertiary,False,False,46.759,"LINESTRING (38.4493833 40.7356529, 38.4494985 40.7358524, 38.4496 40.73604)",,,
189837781,,tertiary,False,False,67.727,"LINESTRING (38.4518404 40.7365589, 38.4517362 40.7366704, 38.4516994 40.7369444, 38.4516639 40.7371396)",,,
"[189837784, 733145133]",,residential,False,True,414.26,"LINESTRING (38.4518404 40.7365589, 38.4519446 40.7363871, 38.4519568 40.736257, 38.4519262 40.7360666, 38.4519262 40.7358158, 38.4520181 40.7355139, 38.4521407 40.735356, 38.4523981 40.7351331, 38.452533 40.7349473, 38.4527169 40.7348219, 38.4535688 40.7345479, 38.4537802 40.7346511, 38.454284 40.7349479, 38.4546592 40.7352283)",,,
189837829,,tertiary,False,True,254.639,"LINESTRING (38.4518404 40.7365589, 38.4519692 40.7365737, 38.4521298 40.7366081, 38.452407 40.7366722, 38.452578 40.7367719, 38.4526406 40.73684, 38.4526658 40.736911, 38.4526389 40.7370513, 38.4525925 40.7371401, 38.4525803 40.7372586, 38.4527046 40.7374641, 38.452787 40.7376164, 38.4527747 40.7377301, 38.4527161 40.7378324, 38.4524821 40.7380612, 38.4524313 40.7382173, 38.4524436 40.7383195)",,,
189837781,,tertiary,False,False,238.52,"LINESTRING (38.4513317 40.7378778, 38.4512336 40.7380357, 38.4510804 40.7384816, 38.4509271 40.7387649, 38.4505839 40.7392386, 38.4501821 40.7398278)",,,
189837781,,tertiary,False,True,86.91799999999999,"LINESTRING (38.4513317 40.7378778, 38.4514481 40.7376596, 38.4516504 40.7372137, 38.4516639 40.7371396)",,,
1162461152,,residential,False,False,108.129,"LINESTRING (38.4513317 40.7378778, 38.4516556 40.7380183, 38.4521693 40.7382732, 38.4522728 40.7383264, 38.4524436 40.7383195)",,,
