osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed
1078937292,,Z5402,,secondary,False,False,11.181,"LINESTRING (89.7065786 24.4523472, 89.7065902 24.4524472)",,
1078937293,,R451,,primary,True,False,68.542,"LINESTRING (89.7065786 24.4523472, 89.7065089 24.4523544, 89.7059966 24.4523935, 89.705904 24.4524004)",,
1053920838,,,,primary_link,False,True,8.895,"LINESTRING (89.7046454 24.452358, 89.704619 24.4524343)",,
1053920839,,,,primary_link,False,False,8.873,"LINESTRING (89.7059039 24.4524802, 89.705904 24.4524004)",,
1078937291,,,,primary,True,False,69.565,"LINESTRING (89.7059039 24.4524802, 89.7065902 24.4524472)",,
1053920839,,,,primary_link,False,True,8.873,"LINESTRING (89.705904 24.4524004, 89.7059039 24.4524802)",,
1078937293,,R451,,primary,True,False,128.39499999999998,"LINESTRING (89.705904 24.4524004, 89.7054465 24.452435, 89.7051702 24.452435, 89.704894 24.452413, 89.7046454 24.452358)",,
1053920840,,,,primary_link,False,False,9.051,"LINESTRING (89.7087899 24.452467, 89.7087899 24.4523856)",,
530623039,,R451,,primary,True,False,88.611,"LINESTRING (89.7087899 24.452467, 89.7088934 24.4524674, 89.7094933 24.4524666, 89.7096651 24.4524588)",,
1053920840,,,,primary_link,False,True,9.051,"LINESTRING (89.7087899 24.4523856, 89.7087899 24.452467)",,
1053920836,,R451,,primary,True,False,223.89499999999998,"LINESTRING (89.7087899 24.4523856, 89.7077078 24.4523812, 89.7065786 24.4523472)",,
1150896275,,,,residential,False,False,169.395,"LINESTRING (89.7057469 24.45289, 89.7058167 24.4531341, 89.7059052 24.4534052, 89.7059467 24.4535712, 89.7059575 24.4537262, 89.705983 24.4538593, 89.7060084 24.4539423, 89.7060178 24.4541132, 89.7060342 24.4543832)",,
248424959,,,Al Mahmood Avenue,residential,False,True,70.95,"LINESTRING (89.712388 24.4580686, 89.7123515 24.4574314)",,
248424959,,,Al Mahmood Avenue,residential,False,False,280.65400000000005,"LINESTRING (89.712388 24.4580686, 89.7124588 24.4593065, 89.7125209 24.4599355, 89.7125535 24.4602744, 89.7125831 24.4605859)",,
