osmid,highway,oneway,reversed,length,geometry,ref,name,lanes,junction
24376274,secondary,False,True,287.692,"LINESTRING (91.8687045 24.8949179, 91.8690732 24.8950386, 91.8694581 24.895097, 91.8698041 24.8950532, 91.8700938 24.8949777, 91.8702427 24.8949814, 91.8704076 24.8950215, 91.8714314 24.8953855)",,,,
1108459968,secondary,True,False,90.174,"LINESTRING (91.8687045 24.8949179, 91.8686266 24.8950179, 91.8685586 24.895181, 91.8684299 24.8956817)",Z2809,Hazrat Shah Jalal Road,,
133755844,secondary,True,False,125.164,"LINESTRING (91.8664574 24.8992915, 91.8656166 24.8991914, 91.8652268 24.8991463)",,Chowhatta Road,,
509091333,unclassified,False,False,194.732,"LINESTRING (91.8664574 24.8992915, 91.8665823 24.8985538, 91.8665573 24.8984484, 91.8665144 24.8983413, 91.8664017 24.8981272, 91.8661761 24.8976211)",,Doriya para Road,,
133755844,secondary,True,False,30.432,"LINESTRING (91.8652268 24.8991463, 91.8649259 24.8991261)",,Chowhatta Road,,
644717723,residential,False,False,28.747,"LINESTRING (91.8652268 24.8991463, 91.8652283 24.8991284, 91.8652631 24.8988899)",,,,
398431807,primary,False,False,59.986,"LINESTRING (91.8711194 24.8990606, 91.871683 24.8992329)",R249,,,
398431807,primary,False,True,32.62,"LINESTRING (91.8711194 24.8990606, 91.8707977 24.8990908)",R249,,,
644290681,tertiary,False,False,88.05300000000001,"LINESTRING (91.8711194 24.8990606, 91.871153 24.898317, 91.8711878 24.8982813)",,Hawapara Road,,
644290681,tertiary,False,False,27.511000000000003,"LINESTRING (91.8711878 24.8982813, 91.8712391 24.8981339, 91.8712594 24.8980429)",,Hawapara Road,,
644290681,tertiary,False,True,88.05300000000001,"LINESTRING (91.8711878 24.8982813, 91.871153 24.898317, 91.8711194 24.8990606)",,Hawapara Road,,
51194763,tertiary,False,False,144.58100000000002,"LINESTRING (91.8711613 24.8966273, 91.8711836 24.8958043, 91.8712029 24.8957429, 91.8712357 24.8956898, 91.8714314 24.8953855)",,Hawapara Road,,
51194763,tertiary,False,True,159.06799999999998,"LINESTRING (91.8711613 24.8966273, 91.8711948 24.8968852, 91.8712592 24.8971419, 91.8714383 24.8976352, 91.8714604 24.8977453, 91.8714443 24.8978341, 91.8714255 24.8978754, 91.8714081 24.897907, 91.8713266 24.8979834)",,Hawapara Road,,
533838061,residential,False,False,157.375,"LINESTRING (91.8711613 24.8966273, 91.8708 24.8967458, 91.8704201 24.8969076, 91.8703599 24.8969206, 91.8703062 24.8969028, 91.8702775 24.8968206, 91.8702109 24.8968054, 91.8697575 24.8969296)",,,,
533838061,residential,False,True,92.13499999999999,"LINESTRING (91.8711613 24.8966273, 91.8715422 24.8966054, 91.8720666 24.8965251)",,,,
537098460,residential,False,False,5.546,"LINESTRING (91.8696256 24.9020025, 91.8695709 24.9020076)",,East Dorgah Gate,,
644290696,secondary,True,False,151.072,"LINESTRING (91.8696256 24.9020025, 91.8695492 24.9016764, 91.8694538 24.9012315, 91.869328 24.900801, 91.8692868 24.90068)",Z2809,Hazrat Shah Jalal Road,,
398431807,primary,False,False,10.201,"LINESTRING (91.8723927 24.8993094, 91.8724937 24.8993142)",R249,,,
533838058,residential,False,False,36.221,"LINESTRING (91.8723927 24.8993094, 91.8722866 24.8996206)",,,,
398431807,primary,False,True,72.18599999999999,"LINESTRING (91.8723927 24.8993094, 91.8718 24.8992585, 91.871683 24.8992329)",R249,,,
24386307,secondary,False,False,49.142,"LINESTRING (91.8732771 24.8959394, 91.8732453 24.8954984)",,,4,
24386307,secondary,False,True,110.155,"LINESTRING (91.8732771 24.8959394, 91.8733871 24.8964504, 91.8734696 24.8969144)",,,4,
533838061,residential,False,False,146.263,"LINESTRING (91.8732771 24.8959394, 91.8730348 24.8959497, 91.8728779 24.8959826, 91.8727478 24.896069, 91.8725185 24.8963633, 91.8723737 24.8964363, 91.8720666 24.8965251)",,,,
845550024,residential,False,False,52.27,"LINESTRING (91.8650686 24.901996, 91.8645513 24.9020246)",,Dorgah Mohollah Road,,
592883496,residential,False,True,191.61599999999999,"LINESTRING (91.8650686 24.901996, 91.8651826 24.9028867, 91.8652059 24.902941, 91.8652522 24.9029682, 91.8655017 24.9029641, 91.8655311 24.9029747, 91.8655568 24.9029978, 91.8655712 24.9030389, 91.865524 24.9034238)",,Payra,,
