osmid,oneway,highway,reversed,length,geometry,lanes,name,junction,maxspeed
98870260,True,secondary,False,89.34599999999999,"LINESTRING (91.8348592 22.3333752, 91.834119 22.3335261, 91.8340121 22.3335527)",,,,
533482474,True,tertiary,False,86.234,"LINESTRING (91.8348592 22.3333752, 91.8344928 22.3333722, 91.8343668 22.3333486, 91.8342045 22.3333002, 91.8340896 22.3332511, 91.8340471 22.333234)",,,,
251926153,False,secondary,False,16.295,"LINESTRING (91.8302383 22.3349283, 91.8301211 22.3350269)",2,,,
251926153,False,secondary,True,149.21,"LINESTRING (91.8302383 22.3349283, 91.8308124 22.3343424, 91.8309832 22.3342498, 91.8313708 22.3341668)",2,,,
602648036,False,residential,True,123.97399999999999,"LINESTRING (91.8302383 22.3349283, 91.8304588 22.3350567, 91.830499 22.3352925, 91.8305916 22.3353148, 91.8306854 22.3354736, 91.8307807 22.3356038, 91.8309523 22.335739)",,,,
48239177,True,primary,False,41.303,"LINESTRING (91.8311692 22.3372774, 91.8314794 22.3370415)",2,Jubilee Road,,
56245665,False,tertiary,False,43.15,"LINESTRING (91.8311692 22.3372774, 91.8315887 22.3372723)",,,,
56245665,False,tertiary,True,9.768,"LINESTRING (91.8311692 22.3372774, 91.8310762 22.3372952)",,,,
56245665,False,tertiary,False,89.978,"LINESTRING (91.8302141 22.337432, 91.8308793 22.3373328, 91.8310762 22.3372952)",,,,
514098083,False,residential,True,121.164,"LINESTRING (91.8302141 22.337432, 91.8302241 22.3372003, 91.8302281 22.336786, 91.8301611 22.3363469)",,,,
56245665,False,tertiary,True,43.15,"LINESTRING (91.8315887 22.3372723, 91.8311692 22.3372774)",,,,
56245665,False,tertiary,False,99.298,"LINESTRING (91.8315887 22.3372723, 91.8320702 22.3372676, 91.8325519 22.3373104)",,,,
386700759,True,secondary,False,150.79500000000002,"LINESTRING (91.8383396 22.337873, 91.8383124 22.337484, 91.838254 22.3373981, 91.83817 22.3373048, 91.8380863 22.337262, 91.8374044 22.3370855)",,Jail Road,,
"[654694779, 513512131]",False,residential,"[False, True]",76.455,"LINESTRING (91.8383396 22.337873, 91.8383931 22.337874, 91.8387286 22.3378929, 91.8390823 22.3378966)",,Asadgonj Road,,
70601865,False,tertiary,False,23.606,"LINESTRING (91.8325519 22.3373104, 91.832756 22.3374075)",,,,
56245665,False,tertiary,True,99.298,"LINESTRING (91.8325519 22.3373104, 91.8320702 22.3372676, 91.8315887 22.3372723)",,,,
70601865,False,tertiary,True,114.958,"LINESTRING (91.8325519 22.3373104, 91.8324258 22.3372111, 91.8323641 22.3371392, 91.8323132 22.3370499, 91.8322676 22.3369184, 91.8322649 22.336777, 91.8322595 22.3366009, 91.8322425 22.3363692)",,,,
527984048,False,tertiary,False,273.956,"LINESTRING (91.8325519 22.3373104, 91.8327058 22.3373359, 91.8327998 22.3373514, 91.8331377 22.3374419, 91.8340885 22.3375039, 91.8344842 22.3375958, 91.8347919 22.3377759, 91.8350723 22.337945)",,,,
48239177,True,primary,False,65.217,"LINESTRING (91.8322425 22.3363692, 91.8323045 22.3361277, 91.8323626 22.3357937)",2,Jubilee Road,,
70601865,False,tertiary,False,114.95799999999998,"LINESTRING (91.8322425 22.3363692, 91.8322595 22.3366009, 91.8322649 22.336777, 91.8322676 22.3369184, 91.8323132 22.3370499, 91.8323641 22.3371392, 91.8324258 22.3372111, 91.8325519 22.3373104)",,,,
70606572,True,secondary,False,158.865,"LINESTRING (91.8325691 22.3338416, 91.8325321 22.3337189, 91.8324698 22.3335595, 91.8323102 22.3332872, 91.83217 22.3330657, 91.832107 22.3329243, 91.8320829 22.3328685, 91.8320485 22.3327487, 91.8320209 22.3325217)",,সদরঘাট সড়ক,,
