osmid,bridge,ref,highway,oneway,reversed,length,name,geometry
1044090574,,N103,trunk,False,True,73.174,"Kalibarirmor, T A Road","LINESTRING (91.1114854 23.972274, 91.1114227 23.972707, 91.1113627 23.9729214)"
657518995,,,residential,False,False,60.525999999999996,,"LINESTRING (91.1109053 23.9721696, 91.110983 23.9721769, 91.1111292 23.972183, 91.111207 23.9721941, 91.1112875 23.9722235, 91.1113559 23.9722357, 91.1114854 23.972274)"
657518995,,,residential,False,True,128.96699999999998,,"LINESTRING (91.1109053 23.9721696, 91.1108382 23.9721451, 91.1107913 23.9721254, 91.1107497 23.9721022, 91.1107001 23.9720924, 91.1104962 23.972085, 91.110051 23.9720813, 91.1098404 23.9720691, 91.1097787 23.9720581, 91.1097023 23.9720495, 91.1096634 23.9720274)"
753466752,,,residential,False,True,134.712,,"LINESTRING (91.1109053 23.9721696, 91.1108516 23.9720777, 91.1108194 23.9720066, 91.1107993 23.9719453, 91.1107832 23.9717713, 91.1107698 23.9713326, 91.1107752 23.9712248, 91.1108127 23.9711279, 91.1108194 23.9710961, 91.1108382 23.9710373, 91.110857 23.9709919)"
657518995,,,residential,False,False,128.967,,"LINESTRING (91.1096634 23.9720274, 91.1097023 23.9720495, 91.1097787 23.9720581, 91.1098404 23.9720691, 91.110051 23.9720813, 91.1104962 23.972085, 91.1107001 23.9720924, 91.1107497 23.9721022, 91.1107913 23.9721254, 91.1108382 23.9721451, 91.1109053 23.9721696)"
657518995,,,residential,False,True,135.243,,"LINESTRING (91.1096634 23.9720274, 91.109477 23.9718179, 91.1093 23.9715091, 91.1091819 23.9713424, 91.1091524 23.9711267, 91.109139 23.9709454)"
753466750,,,residential,False,True,155.415,,"LINESTRING (91.1096634 23.9720274, 91.1095414 23.9720924, 91.1094984 23.9721071, 91.1094663 23.972112, 91.1093348 23.9721512, 91.1091793 23.9722027, 91.1090478 23.9722247, 91.1089835 23.9722198, 91.1089164 23.9722125, 91.1087581 23.9722002, 91.1086696 23.9721953, 91.1085731 23.9721855, 91.1085141 23.9721781, 91.108439 23.9721634, 91.1083344 23.9721365, 91.1082727 23.972112, 91.1082351 23.9720973, 91.1082008 23.9720742)"
657518994,,,residential,False,False,92.66000000000001,,"LINESTRING (91.109139 23.9709454, 91.1091015 23.9708694, 91.1090773 23.97084, 91.1090237 23.9708106, 91.1089727 23.9707885, 91.1089298 23.9707787, 91.1088788 23.9707763, 91.1088252 23.9707812, 91.1087769 23.9707812, 91.1086884 23.9707885, 91.1085945 23.970791, 91.1085114 23.9707983, 91.1084363 23.9708008, 91.1083826 23.9708081, 91.1083156 23.9707959)"
657518995,,,residential,False,False,135.243,,"LINESTRING (91.109139 23.9709454, 91.1091524 23.9711267, 91.1091819 23.9713424, 91.1093 23.9715091, 91.109477 23.9718179, 91.1096634 23.9720274)"
657518995,,,residential,False,True,103.369,,"LINESTRING (91.109139 23.9709454, 91.1091605 23.9707713, 91.1092195 23.9705336, 91.1093214 23.9702836, 91.109426 23.9700592)"
