osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,width
50739970,Nagahamulla Road,tertiary,40,False,False,82.579,,,"LINESTRING (79.8945869 6.935168, 79.8938388 6.9351743)",
34698616,Kolonnawa Road,secondary,50,False,False,133.064,2,B96,"LINESTRING (79.8945869 6.935168, 79.8945064 6.9348847, 79.894387 6.9339902)",
34698616,Kolonnawa Road,secondary,50,False,True,11.455,2,B96,"LINESTRING (79.8943777 6.9338876, 79.894387 6.9339902)",
34698616,Kolonnawa Road,secondary,50,False,False,94.471,2,B96,"LINESTRING (79.8943777 6.9338876, 79.8943658 6.9336252, 79.8943466 6.9332828, 79.894237 6.9330644)",
"[50739964, 508751887]",Vihara Mawatha,tertiary,40,False,False,64.385,2,,"LINESTRING (79.8943777 6.9338876, 79.8938844 6.9338808, 79.8937945 6.9338835)",
34698616,Kolonnawa Road,secondary,50,False,True,80.552,2,B96,"LINESTRING (79.8920894 6.9324986, 79.8927877 6.932709)",
34698616,Kolonnawa Road,secondary,50,False,False,74.583,2,B96,"LINESTRING (79.8920894 6.9324986, 79.8918094 6.9324775, 79.8916397 6.9324703, 79.8914183 6.9325102)",
34698622,,tertiary,40,False,False,153.65,,,"LINESTRING (79.8920894 6.9324986, 79.8922102 6.9317771, 79.8922858 6.9315244, 79.8923596 6.9311446)",
199146902,,residential,40,False,False,124.454,,,"LINESTRING (79.8920894 6.9324986, 79.8920309 6.9327748, 79.8919371 6.9336066)",
34698618,Wijaya Road,tertiary,40,False,True,50.434,,,"LINESTRING (79.8911683 6.9285336, 79.8916182 6.9284545)",
34698618,Wijaya Road,tertiary,40,False,False,57.33,,,"LINESTRING (79.8911683 6.9285336, 79.8910081 6.9286122, 79.8908537 6.9287238, 79.8907823 6.9288544)",
