osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,lanes,bridge
556290954,B123,Galagedara - Padukka Road,secondary,50,False,False,40.88,"LINESTRING (80.0917104 6.8421427, 80.0916726 6.8422653, 80.0915927 6.8424912)",,,,
930362816,,,secondary,,True,False,9.814,"LINESTRING (80.0917104 6.8421427, 80.0917261 6.8421509, 80.0917437 6.8421537, 80.0917612 6.8421507, 80.0917768 6.8421422, 80.0917888 6.8421292)",15,roundabout,,
286363403,,,residential,30,False,False,107.173,"LINESTRING (80.0932252 6.839938, 80.0923446 6.8395324)",,,,
"[286363554, 1173853975]",B123,Horana - Padukka Road,secondary,50,False,"[False, True]",130.59,"LINESTRING (80.0932252 6.839938, 80.0932254 6.8399375, 80.093253 6.8395558, 80.0931884 6.8387672)",,,,
286366507,,,residential,30,False,False,371.472,"LINESTRING (80.0932252 6.839938, 80.093455 6.8399952, 80.0937528 6.840086, 80.0938237 6.8400794, 80.0938484 6.8400272, 80.0938561 6.8398646, 80.0939062 6.8389342, 80.0940009 6.8383999, 80.093658 6.838369, 80.0935381 6.8383861, 80.0934741 6.8384431, 80.0934234 6.8386374, 80.0933817 6.8387078, 80.0931884 6.8387672)",,,,
286363554,B123,Horana - Padukka Road,secondary,50,False,True,124.68299999999999,"LINESTRING (80.0932252 6.839938, 80.0931286 6.84024, 80.0927148 6.8409316)",,,,
22819747,B240,Padukka - Ingirya Road,secondary,50,False,True,135.919,"LINESTRING (80.0929235 6.8426034, 80.0917888 6.8421292)",,,2,
22819747,B240,Padukka - Ingirya Road,secondary,50,False,False,78.858,"LINESTRING (80.0929235 6.8426034, 80.0934526 6.8428805, 80.0935579 6.842929)",,,2,
286363770,,,tertiary,40,False,True,234.114,"LINESTRING (80.0929235 6.8426034, 80.0933633 6.8413968, 80.0933338 6.8412916, 80.0932809 6.8412496, 80.0927148 6.8409316)",,,,
22819747,B240,Padukka - Ingirya Road,secondary,50,False,False,41.355,"LINESTRING (80.0935579 6.842929, 80.0939302 6.84297)",,,2,
22819747,B240,Padukka - Ingirya Road,secondary,50,False,True,78.858,"LINESTRING (80.0935579 6.842929, 80.0934526 6.8428805, 80.0929235 6.8426034)",,,2,
404852790,,,residential,30,False,True,64.976,"LINESTRING (80.0935579 6.842929, 80.0935871 6.8430599, 80.0936653 6.8432515, 80.0937606 6.8434759)",,,,
286363403,,,residential,30,False,True,107.173,"LINESTRING (80.0923446 6.8395324, 80.0932252 6.839938)",,,,
286363378,,,tertiary,40,False,False,191.33999999999997,"LINESTRING (80.0915538 6.8425771, 80.0915377 6.8425678, 80.0913144 6.842374, 80.0910938 6.8421397, 80.0910106 6.8420178, 80.0909295 6.8418101, 80.0908859 6.8415298, 80.0908758 6.84137, 80.0908926 6.8412402, 80.0909691 6.8411197)",,,,
556290954,B123,Galagedara - Padukka Road,secondary,50,False,False,41.875,"LINESTRING (80.0915538 6.8425771, 80.0915444 6.8426383, 80.0915454 6.8426623, 80.0915538 6.8426889, 80.0915826 6.8427264, 80.0917469 6.8428674)",,,,
556290954,B123,Galagedara - Padukka Road,secondary,50,False,True,10.5,"LINESTRING (80.0915538 6.8425771, 80.0915679 6.8425378, 80.0915927 6.8424912)",,,,
