osmid,oneway,highway,maxspeed,junction,reversed,length,ref,name,geometry
412210235,True,trunk,70,roundabout,False,5.998,,,"LINESTRING (79.9137658 8.9771758, 79.9137123 8.9771866)"
156298075,False,tertiary,50,,True,7.784,B270,Hospital Road,"LINESTRING (79.9134547 8.9771652, 79.913384 8.9771604)"
412209822,True,tertiary,50,,False,27.821,,,"LINESTRING (79.9134547 8.9771652, 79.9136829 8.9772738)"
161167112,False,residential,30,,False,39.675,,Beach Road,"LINESTRING (79.9138061 8.9760074, 79.9139321 8.9763418)"
161167107,False,residential,30,,False,77.025,,,"LINESTRING (79.9138061 8.9760074, 79.9140692 8.9759689, 79.9141197 8.9760424, 79.9142185 8.9763693)"
161167112,False,residential,30,,True,200.44400000000002,,Beach Road,"LINESTRING (79.9138061 8.9760074, 79.9134031 8.9759984, 79.9122958 8.9760954, 79.9119942 8.9761672)"
161167112,False,residential,30,,True,36.38,,Beach Road,"LINESTRING (79.9141545 8.976797, 79.9140041 8.9765055)"
412209817,False,trunk,60,,True,13.321,AA014,Medawachchiya-Talaimannar Road,"LINESTRING (79.9141545 8.976797, 79.9140658 8.9768787)"
412209817,False,trunk,60,,False,22.747999999999998,AA014,Medawachchiya-Talaimannar Road,"LINESTRING (79.9141545 8.976797, 79.9142545 8.9767391, 79.9143318 8.9766913)"
161167107,False,residential,30,,False,27.998,,,"LINESTRING (79.9142185 8.9763693, 79.9140041 8.9765055)"
161167115,False,residential,30,,False,37.906,,,"LINESTRING (79.9142185 8.9763693, 79.9143318 8.9766913)"
161167107,False,residential,30,,True,77.025,,,"LINESTRING (79.9142185 8.9763693, 79.9141197 8.9760424, 79.9140692 8.9759689, 79.9138061 8.9760074)"
161167112,False,residential,30,,False,4.118,,Beach Road,"LINESTRING (79.9139824 8.9764753, 79.9140041 8.9765055)"
161167112,False,residential,30,,True,15.839,,Beach Road,"LINESTRING (79.9139824 8.9764753, 79.9139321 8.9763418)"
197793831,False,residential,30,,True,57.797,,,"LINESTRING (79.9139824 8.9764753, 79.9134816 8.9766349)"
161167107,False,residential,30,,True,27.998,,,"LINESTRING (79.9140041 8.9765055, 79.9142185 8.9763693)"
161167112,False,residential,30,,False,36.38,,Beach Road,"LINESTRING (79.9140041 8.9765055, 79.9141545 8.976797)"
