osmid,highway,maxspeed,oneway,reversed,length,geometry,junction,name,bridge,ref
186724344,tertiary,50,False,False,333.867,"LINESTRING (81.044512 7.6726023, 81.0428519 7.6717175, 81.0427759 7.6716768, 81.0426894 7.6715516, 81.0423204 7.6707324)",,,,
186724346,tertiary,50,True,False,77.91000000000001,"LINESTRING (81.044512 7.6726023, 81.0444636 7.6726906, 81.0444618 7.6728095, 81.0445471 7.6729367, 81.0446354 7.6729773, 81.0447613 7.6729706, 81.0448526 7.6729133)",roundabout,,,
186724348,tertiary,40,False,False,136.66,"LINESTRING (81.0449546 7.6741195, 81.0449477 7.6730968, 81.0448526 7.6729133)",,,,
186724348,tertiary,40,False,True,134.1,"LINESTRING (81.0449546 7.6741195, 81.0447988 7.6744252, 81.0445686 7.6747267, 81.0442945 7.675129)",,,,
355504025,residential,30,False,False,91.80799999999999,"LINESTRING (81.0403021 7.6716534, 81.0403859 7.6720375, 81.0404485 7.6724657)",,,,
"[355752450, 452883806, 452883807]",tertiary,40,False,True,144.14200000000002,"LINESTRING (81.0403021 7.6716534, 81.0400332 7.6709477, 81.0399755 7.6709131, 81.0397777 7.6709237, 81.0397472 7.6709048, 81.0396677 7.6707219, 81.0396477 7.6706826)",,Lihiniyagama Nagaswewa Dehiattakandiya Road,yes,
362110236,primary,70,False,False,123.612,"LINESTRING (81.0403021 7.6716534, 81.040687 7.6714713, 81.0413226 7.6711922)",,Mahiyanganaya-Dimbulagala-Dalukana Road,,AB044
386594700,primary,50,False,True,256.348,"LINESTRING (81.0403021 7.6716534, 81.0400245 7.6717877, 81.0397683 7.6719192, 81.0395765 7.6720375, 81.0394558 7.6721199, 81.0393257 7.6722249, 81.0391916 7.6723472, 81.0390428 7.6724947, 81.0389502 7.6725958, 81.0388631 7.6727101, 81.0387786 7.6728323, 81.0386981 7.6729666, 81.0385989 7.673146)",,Mahiyanganaya-Dimbulagala-Dalukana Road,,AB044
186724351,tertiary,50,False,True,70.562,"LINESTRING (81.0448622 7.6726038, 81.0453003 7.672141)",,,,
186724346,tertiary,50,True,False,43.404,"LINESTRING (81.0448622 7.6726038, 81.0447895 7.6725478, 81.0446784 7.6725239, 81.0445763 7.6725514, 81.044512 7.6726023)",roundabout,,,
186724348,tertiary,40,False,False,134.1,"LINESTRING (81.0442945 7.675129, 81.0445686 7.6747267, 81.0447988 7.6744252, 81.0449546 7.6741195)",,,,
362104277,primary,50,False,True,552.664,"LINESTRING (81.0442945 7.675129, 81.0439217 7.6747702, 81.0436266 7.6744672, 81.0432833 7.6741402, 81.0430285 7.6738797, 81.0425323 7.6733135, 81.0420817 7.6727101, 81.041792 7.6722582, 81.041674 7.6720189, 81.0414122 7.6714029, 81.0413226 7.6711922)",,Dehiattakandiya - Aralaganwila Road,,B517
186724351,tertiary,50,False,False,70.562,"LINESTRING (81.0453003 7.672141, 81.0448622 7.6726038)",,,,
186724346,tertiary,50,True,False,37.307,"LINESTRING (81.0448526 7.6729133, 81.0449173 7.6727728, 81.0449104 7.6726948, 81.0448622 7.6726038)",roundabout,,,
186724348,tertiary,40,False,True,136.66,"LINESTRING (81.0448526 7.6729133, 81.0449477 7.6730968, 81.0449546 7.6741195)",,,,
362110236,primary,70,False,True,121.263,"LINESTRING (81.0423204 7.6707324, 81.0413226 7.6711922)",,Mahiyanganaya-Dimbulagala-Dalukana Road,,AB044
186724344,tertiary,50,False,True,333.86699999999996,"LINESTRING (81.0423204 7.6707324, 81.0426894 7.6715516, 81.0427759 7.6716768, 81.0428519 7.6717175, 81.044512 7.6726023)",,,,
362110236,primary,70,False,False,121.263,"LINESTRING (81.0413226 7.6711922, 81.0423204 7.6707324)",,Mahiyanganaya-Dimbulagala-Dalukana Road,,AB044
362104277,primary,50,False,False,552.664,"LINESTRING (81.0413226 7.6711922, 81.0414122 7.6714029, 81.041674 7.6720189, 81.041792 7.6722582, 81.0420817 7.6727101, 81.0425323 7.6733135, 81.0430285 7.6738797, 81.0432833 7.6741402, 81.0436266 7.6744672, 81.0439217 7.6747702, 81.0442945 7.675129)",,Dehiattakandiya - Aralaganwila Road,,B517
362110236,primary,70,False,True,123.612,"LINESTRING (81.0413226 7.6711922, 81.040687 7.6714713, 81.0403021 7.6716534)",,Mahiyanganaya-Dimbulagala-Dalukana Road,,AB044
186844027,living_street,30,False,True,102.598,"LINESTRING (81.0397081 7.6730251, 81.0404485 7.6724657)",,,,
186844018,living_street,30,False,True,168.756,"LINESTRING (81.0397081 7.6730251, 81.040112 7.6736176, 81.0406355 7.67423)",,,,
186844027,living_street,30,False,False,70.981,"LINESTRING (81.0397081 7.6730251, 81.0393955 7.6732457, 81.0393096 7.6732922, 81.0391512 7.6733281)",,,,
186844027,living_street,30,False,False,49.971,"LINESTRING (81.0390185 7.6733164, 81.0385989 7.673146)",,,,
186844027,living_street,30,False,True,14.681,"LINESTRING (81.0390185 7.6733164, 81.0391512 7.6733281)",,,,
278866664,living_street,30,False,False,216.938,"LINESTRING (81.0390185 7.6733164, 81.0389342 7.6737312, 81.0389902 7.6738886, 81.0393673 7.6742492, 81.0396463 7.6746293, 81.0399082 7.6748952)",,,,
186844014,residential,30,False,True,312.567,"LINESTRING (81.0396477 7.6706826, 81.0391179 7.6709424, 81.0385515 7.6712734, 81.0380515 7.6716423, 81.0377369 7.6721005, 81.0376087 7.6724814)",,,,
"[355752450, 452883806, 452883807]",tertiary,40,False,False,144.142,"LINESTRING (81.0396477 7.6706826, 81.0396677 7.6707219, 81.0397472 7.6709048, 81.0397777 7.6709237, 81.0399755 7.6709131, 81.0400332 7.6709477, 81.0403021 7.6716534)",,Lihiniyagama Nagaswewa Dehiattakandiya Road,yes,
452883807,tertiary,40,False,True,230.166,"LINESTRING (81.0396477 7.6706826, 81.0392828 7.6697568, 81.0388637 7.6687912, 81.0388437 7.6687762)",,Lihiniyagama Nagaswewa Dehiattakandiya Road,,
186844027,living_street,30,False,False,102.598,"LINESTRING (81.0404485 7.6724657, 81.0397081 7.6730251)",,,,
